@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R8,10,12-13,17-19'

@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Gyration_radius numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
45,144,325,188,180,183,bus
54,118,224,118,196,202,saab
44,146,336,186,183,189,bus
57,128,207,125,179,183,van
50,135,265,119,201,208,van
45,147,328,189,179,182,bus
31,173,669,201,187,195,opel
44,124,334,125,203,210,opel
50,135,260,150,191,195,saab
31,152,680,210,188,189,bus
46,147,312,169,191,198,bus
38,137,434,156,198,204,bus
42,148,371,186,190,196,opel
44,143,335,176,189,194,saab
46,143,317,183,181,185,bus
45,146,331,185,183,188,bus
30,176,708,219,186,196,opel
39,132,426,142,192,199,saab
33,152,604,199,188,197,saab
30,182,748,216,185,196,opel
46,148,316,161,199,207,van
45,147,334,188,180,184,bus
44,141,342,174,193,197,opel
44,145,335,176,189,196,bus
30,162,731,209,188,186,bus
30,176,725,236,188,200,opel
50,127,271,141,180,183,saab
46,148,312,166,199,206,van
50,137,260,151,203,209,opel
33,164,608,235,190,200,saab
40,144,399,186,196,203,bus
31,173,696,216,188,199,opel
44,148,347,190,182,187,bus
43,158,363,203,183,194,van
45,141,332,171,179,183,bus
47,124,298,117,201,207,saab
28,163,844,242,184,184,bus
31,175,670,223,186,193,opel
33,158,607,204,192,204,saab
30,173,706,250,187,195,opel
46,143,319,171,179,182,bus
43,149,359,161,186,197,van
45,125,331,137,191,198,opel
51,127,259,145,177,184,opel
48,131,291,126,193,204,saab
45,149,332,164,186,196,van
31,167,701,197,191,203,opel
41,147,381,177,190,195,saab
38,152,460,198,192,199,saab
39,134,418,129,197,204,saab
48,135,295,144,181,189,opel
37,153,471,209,192,199,opel
31,171,698,216,187,197,saab
41,124,371,117,202,205,bus
32,162,648,240,189,197,saab
37,156,481,210,189,194,opel
30,163,722,206,189,198,opel
30,167,713,202,186,200,saab
32,173,648,218,188,196,opel
43,167,365,186,182,192,van
31,173,685,218,184,193,opel
37,134,486,160,192,202,saab
32,166,664,202,188,198,saab
43,143,359,173,185,190,bus
43,158,362,173,183,193,van
35,161,543,235,191,198,opel
43,158,373,186,182,193,van
50,143,275,161,182,184,van
55,132,222,116,197,203,van
43,160,367,186,183,192,van
43,157,367,162,189,199,van
28,160,816,250,183,184,bus
50,142,268,164,191,197,van
57,124,207,127,181,184,van
40,127,401,125,200,204,bus
44,133,334,121,196,205,saab
51,142,249,153,194,201,van
47,128,298,137,193,200,saab
53,137,238,119,191,190,van
34,147,563,174,194,197,bus
31,172,707,203,189,203,saab
36,138,508,173,189,197,saab
30,172,713,218,186,195,opel
51,144,254,162,188,191,van
47,148,294,175,188,196,van
