@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
59,132,177,183,van
60,119,200,207,van
78,160,185,194,van
70,127,189,190,van
70,136,194,202,van
64,133,193,201,van
53,123,179,183,van
80,156,183,193,van
78,160,183,192,van
82,159,183,192,van
84,155,183,195,van
66,133,184,183,van
91,151,197,205,van
75,140,184,185,van
88,157,192,200,van
58,127,199,206,van
70,127,191,190,van
73,143,190,199,van
76,142,189,196,van
92,160,189,200,van
84,149,188,200,van
60,114,190,194,van
53,132,176,183,van
84,156,185,195,van
64,134,192,201,van
82,155,186,197,van
68,139,189,196,van
82,143,191,201,van
74,157,184,191,van
85,152,187,197,van
84,145,199,206,van
49,122,180,184,van
85,155,185,196,van
85,157,187,195,van
68,138,192,201,van
85,159,182,192,van
84,156,182,191,van
87,154,192,201,van
80,148,189,199,van
81,145,194,202,van
70,130,186,185,van
51,119,179,183,van
90,157,192,200,van
84,154,185,196,van
82,159,182,191,van
86,153,185,194,van
76,137,201,209,van
88,155,194,202,van
58,133,181,182,van
87,156,192,202,van
80,146,188,197,van
51,120,181,183,van
78,137,203,210,van
63,123,186,188,van
66,131,188,191,van
74,136,189,193,van
91,157,190,200,van
58,122,197,203,van
79,144,195,203,van
80,159,185,193,van
53,118,180,183,van
64,129,194,201,van
88,150,196,206,van
87,157,183,194,van
85,155,184,196,van
66,126,191,194,van
66,133,201,208,van
77,139,201,209,van
62,116,199,204,van
71,143,187,196,van
70,137,183,183,van
81,156,184,193,van
68,128,182,187,van
62,128,201,208,van
51,118,181,185,van
66,134,191,197,van
68,130,195,203,van
51,119,181,184,van
72,137,196,203,van
75,161,183,192,van
55,132,176,183,van
85,157,184,195,van
69,138,189,195,van
66,140,188,196,van
73,142,191,199,van
66,128,195,200,van
64,135,185,185,van
87,158,183,194,van
66,130,191,194,van
88,159,189,198,van
85,155,184,196,van
88,151,192,199,van
78,142,201,207,van
78,147,189,200,van
66,122,202,208,van
47,117,180,184,van
85,153,196,204,van
78,161,184,193,van
80,147,188,199,van
85,158,189,199,van
60,119,186,190,van
77,157,182,191,van
88,158,194,202,van
82,146,199,206,van
83,158,184,194,van
62,122,181,185,van
70,136,186,187,van
70,133,194,202,van
80,146,199,207,van
62,122,200,208,van
69,135,187,191,van
76,151,187,200,van
76,132,191,192,van
68,131,186,187,van
60,119,192,198,van
66,139,182,183,van
57,114,197,202,van
85,163,185,195,van
78,139,201,208,van
58,122,199,206,van
63,132,193,201,van
72,136,201,209,van
62,130,184,186,van
70,140,192,202,van
60,128,202,209,van
68,127,195,196,van
66,123,193,198,van
73,161,183,191,van
62,127,204,210,van
85,161,185,195,van
85,158,183,193,van
68,128,192,196,van
77,156,183,191,van
68,134,186,186,van
82,144,199,207,van
70,137,196,205,van
63,131,197,204,van
66,137,193,202,van
85,153,186,197,van
73,161,182,193,van
66,120,186,190,van
81,146,189,199,van
81,150,186,196,van
81,150,185,195,van
72,133,192,195,van
79,144,188,197,van
84,159,186,197,van
81,155,183,192,van
64,130,203,210,van
80,160,182,193,van
75,160,182,192,van
62,131,184,184,van
83,162,187,197,van
85,152,186,197,van
66,131,196,201,van
83,157,184,197,van
68,133,201,209,van
64,116,196,203,van
66,139,182,184,van
85,155,192,202,van
88,149,197,207,van
77,140,201,208,van
77,144,190,200,van
53,118,180,183,van
85,155,188,196,van
84,149,189,199,van
78,142,190,201,van
87,157,184,195,van
89,151,187,199,van
76,156,184,193,van
78,160,182,192,van
82,145,199,207,van
58,117,190,194,van
85,163,189,196,van
64,133,193,201,van
52,115,186,190,van
81,147,188,198,van
64,136,193,204,van
70,139,183,185,van
85,169,195,201,saab
63,128,198,204,saab
77,144,194,201,saab
100,198,192,200,saab
83,160,186,191,saab
76,157,198,206,saab
109,199,194,208,saab
89,175,189,195,saab
103,219,188,199,saab
66,142,182,186,saab
57,121,190,195,saab
96,185,191,199,saab
77,140,198,205,saab
109,214,189,202,saab
54,128,179,183,saab
77,155,195,201,saab
92,180,195,205,saab
75,144,186,191,saab
103,208,189,197,saab
57,135,180,184,saab
104,191,190,200,saab
83,169,192,199,saab
72,149,186,191,saab
100,221,187,199,saab
66,137,186,190,saab
60,128,186,192,saab
78,135,190,195,saab
80,144,185,189,saab
85,175,197,210,saab
77,158,193,199,saab
104,201,188,197,saab
83,176,189,195,saab
100,220,189,199,saab
53,116,185,189,saab
101,197,189,197,saab
104,204,188,197,saab
89,177,189,196,saab
103,206,189,198,saab
75,152,182,187,saab
83,149,185,191,saab
69,140,193,204,saab
101,192,189,197,saab
78,153,203,211,saab
105,211,186,197,saab
74,151,187,196,saab
108,217,188,201,saab
108,207,196,205,saab
100,181,192,202,saab
50,115,179,185,saab
100,217,188,197,saab
98,183,195,204,saab
105,201,192,204,saab
90,177,193,201,saab
104,219,189,196,saab
108,221,190,205,saab
104,211,186,196,saab
108,215,189,201,saab
