@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
90,69,165,75,187,191,van
88,85,176,76,184,195,van
83,59,145,84,177,183,van
89,85,173,72,187,197,van
94,66,154,62,201,208,van
90,85,173,75,182,192,van
89,76,163,76,184,193,van
87,81,167,70,189,199,van
88,66,147,66,193,198,van
95,76,173,71,187,200,van
83,62,143,79,181,185,van
93,62,160,78,184,184,van
88,53,137,88,180,183,van
94,87,179,75,184,195,van
89,63,148,76,186,188,van
96,58,154,86,181,182,van
94,81,164,66,194,202,van
93,88,164,65,196,206,van
86,75,170,75,183,192,van
95,66,158,78,184,183,van
89,70,168,78,186,187,van
90,72,158,64,201,209,van
91,80,171,70,189,199,van
94,87,179,75,183,194,van
94,66,159,66,196,201,van
92,62,149,62,204,210,van
89,83,229,97,184,194,van
84,70,159,68,194,202,van
89,84,169,74,182,192,van
89,79,168,71,188,197,van
95,84,163,64,199,206,van
97,62,158,78,184,186,van
90,73,172,77,183,191,van
87,52,135,74,186,190,van
93,78,156,63,203,210,van
91,64,161,68,194,201,van
88,64,150,63,203,210,van
97,66,148,66,195,200,van
85,66,140,73,186,190,van
85,82,170,76,183,193,van
93,73,166,73,187,188,van
89,74,170,79,184,191,van
89,51,137,80,181,185,van
85,68,148,75,182,187,van
98,68,159,72,186,187,van
95,92,176,70,189,200,van
90,78,172,75,184,193,van
91,70,162,67,192,202,van
93,85,172,74,183,195,van
91,66,159,72,191,194,van
88,84,174,73,185,196,van
96,87,167,67,192,201,van
88,58,148,63,199,206,van
91,66,163,69,191,197,van
91,70,159,70,190,194,van
90,81,173,75,185,195,van
93,64,161,67,193,204,van
88,76,156,63,201,209,van
88,55,142,87,176,183,van
91,60,139,67,192,198,van
85,75,168,77,182,191,van
94,85,174,68,189,199,van
84,70,156,64,196,205,van
87,64,157,67,193,201,van
95,83,176,70,187,197,van
89,85,175,74,186,197,van
90,72,159,65,196,203,van
93,82,160,63,199,207,van
83,49,144,85,180,184,van
90,86,272,118,185,194,van
96,77,161,62,201,208,van
85,51,139,81,181,184,van
90,85,175,73,186,197,van
93,82,180,77,183,194,van
89,74,167,72,189,193,van
89,78,170,73,185,194,van
85,68,150,65,195,203,van
89,51,138,82,181,183,van
90,57,155,85,183,182,van
90,66,162,67,193,202,van
94,85,320,135,188,196,van
93,64,163,71,192,201,van
88,80,169,71,188,197,van
89,58,146,63,199,206,van
95,76,175,74,184,193,van
93,78,157,64,201,208,van
86,76,167,71,189,196,van
92,58,142,64,197,203,van
90,75,173,77,182,192,van
95,82,163,64,199,207,van
85,71,171,72,187,196,van
86,62,137,64,199,204,van
93,85,179,76,184,196,van
93,70,156,74,189,190,van
88,60,147,62,202,209,van
94,82,176,76,183,192,van
97,91,166,65,197,205,van
90,73,170,76,182,193,van
89,70,147,64,199,207,van
89,77,171,78,183,191,van
93,85,174,75,184,196,van
94,72,161,69,192,195,van
