@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R5-7,10-11,13,19'

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
65,9,137,146,162,164,van
62,11,183,146,202,152,saab
65,9,204,166,227,246,opel
52,6,118,129,137,125,van
69,6,177,139,202,151,bus
53,6,257,168,275,230,bus
52,5,128,135,148,142,van
67,7,150,144,174,159,bus
69,11,225,178,231,216,opel
62,7,150,142,179,164,bus
62,5,114,132,135,137,van
64,11,197,152,212,159,opel
54,10,155,153,174,165,van
65,7,173,158,189,194,bus
66,8,148,145,171,147,van
64,11,202,164,219,192,opel
68,10,209,162,222,224,opel
63,9,181,155,200,189,opel
68,10,146,139,167,157,van
64,7,154,144,181,177,bus
59,5,152,143,175,177,saab
61,7,153,149,175,199,bus
73,6,156,126,184,124,bus
56,7,151,147,171,176,bus
68,11,214,169,226,212,saab
64,8,169,153,188,190,saab
57,8,132,136,158,121,van
51,6,241,165,265,247,bus
69,5,192,161,212,221,bus
61,10,207,153,227,200,saab
62,10,205,158,222,168,opel
67,9,198,163,217,226,opel
49,7,131,145,160,156,van
54,7,151,147,166,185,bus
54,6,149,144,170,168,opel
66,9,150,147,164,143,van
55,7,234,171,243,229,bus
62,5,203,158,222,219,bus
65,12,212,163,228,220,saab
63,9,186,156,202,176,opel
64,9,156,149,173,182,van
58,4,118,125,138,138,van
66,5,153,136,175,154,bus
64,12,206,163,216,202,saab
60,6,130,130,150,121,van
55,7,150,134,167,165,opel
64,10,185,159,209,193,opel
61,9,178,144,189,138,saab
57,8,153,133,173,153,opel
71,9,211,171,222,223,saab
63,11,160,160,170,176,van
56,10,219,171,219,223,opel
57,3,118,128,137,136,van
62,12,227,178,231,204,opel
64,11,220,166,229,214,saab
56,6,148,145,166,171,bus
60,8,147,142,174,160,opel
57,6,241,170,267,242,bus
68,8,159,134,183,134,saab
72,8,155,133,175,145,bus
62,8,175,132,200,154,saab
53,11,224,178,231,217,opel
57,8,139,127,160,127,opel
54,8,144,146,163,174,saab
51,6,150,141,169,171,bus
55,5,122,128,144,146,van
60,9,150,156,173,200,van
59,7,131,142,154,162,van
56,6,152,150,168,177,bus
58,6,148,136,164,178,saab
64,8,136,145,158,167,van
53,7,149,143,169,160,bus
57,4,122,125,139,128,saab
63,11,219,168,228,198,saab
53,10,219,166,235,218,opel
71,10,205,153,226,197,opel
52,6,257,169,287,261,bus
55,7,138,138,161,158,opel
58,7,174,139,197,160,saab
65,10,193,160,220,237,saab
65,8,169,136,197,141,saab
64,9,198,150,219,191,saab
68,11,219,172,221,216,saab
56,11,159,162,173,185,van
