@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2-3,6,10-11,14,19'

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
41,82,9,143,160,63,van
47,75,6,145,175,75,bus
36,54,6,125,143,82,saab
35,66,6,128,162,64,opel
53,98,10,171,235,74,saab
43,68,8,146,169,83,bus
55,98,10,175,226,76,opel
42,89,11,145,170,72,van
37,60,5,132,141,72,van
45,66,6,144,168,73,bus
45,100,8,147,231,72,opel
45,88,10,157,173,67,van
48,75,10,163,170,75,van
42,63,8,145,166,86,bus
46,85,11,163,176,71,van
56,103,5,169,280,85,bus
54,91,11,170,220,72,opel
48,84,11,165,171,73,van
54,106,11,164,228,71,saab
39,86,7,131,194,74,opel
44,72,6,146,180,81,bus
48,78,11,167,169,76,van
36,77,8,125,174,63,opel
42,65,6,141,175,85,bus
45,68,5,144,169,80,bus
41,66,7,136,154,74,opel
53,110,12,165,231,67,saab
38,66,7,138,160,69,van
45,81,43,160,200,90,van
45,83,10,155,180,75,van
38,88,7,131,188,66,saab
38,80,7,131,186,68,saab
54,103,11,175,229,71,saab
41,73,7,138,175,73,bus
54,106,7,164,256,81,bus
46,101,8,151,208,66,opel
47,81,8,149,187,72,opel
44,71,8,143,159,68,opel
39,77,8,150,161,62,van
45,71,7,144,167,72,bus
44,70,6,143,164,66,bus
36,74,6,127,178,69,bus
37,70,9,134,159,68,van
47,91,5,148,234,79,bus
51,105,10,162,220,72,saab
46,74,9,158,170,79,van
43,68,7,145,172,83,bus
43,70,8,145,169,77,bus
55,100,10,173,224,74,saab
39,72,7,132,170,77,saab
46,92,11,157,176,70,van
55,105,10,177,221,74,opel
49,103,10,156,215,69,opel
53,93,11,165,221,72,saab
45,87,10,149,167,67,van
53,103,11,172,229,71,saab
46,82,8,149,181,61,opel
38,66,6,132,144,70,opel
40,83,8,132,199,71,opel
39,68,8,144,159,72,van
52,101,10,157,214,65,opel
53,105,11,168,224,71,saab
47,88,10,155,186,59,saab
44,66,6,145,170,84,bus
56,109,5,169,272,82,bus
43,92,10,143,200,64,saab
48,83,8,152,195,67,opel
54,102,11,171,222,73,saab
41,88,9,140,192,63,saab
46,74,5,149,185,70,bus
54,108,12,168,226,68,saab
37,77,7,127,179,71,opel
52,104,12,162,220,67,saab
38,75,6,129,199,74,bus
50,103,11,156,223,68,saab
42,64,8,142,150,63,van
44,98,10,141,214,71,opel
52,100,10,165,229,72,saab
43,66,5,145,168,87,bus
41,80,8,144,169,71,van
38,60,5,130,148,75,opel
47,84,7,152,190,70,bus
52,101,10,161,207,64,opel
49,109,11,159,229,71,saab
46,84,11,159,173,72,van
