@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
96,46,339,192,199,van
89,42,345,187,197,van
91,42,268,191,197,van
83,40,247,176,183,van
90,48,370,183,192,van
92,40,241,204,210,van
95,43,339,187,200,van
91,41,330,189,199,van
96,46,354,194,202,van
90,48,354,182,191,van
85,36,207,181,184,van
94,45,367,189,199,van
85,35,203,180,184,van
93,45,364,184,197,van
85,37,253,195,203,van
95,42,347,196,204,van
86,38,208,184,186,van
90,46,373,182,193,van
87,36,205,180,183,van
89,36,291,189,196,van
90,48,374,184,193,van
84,37,221,179,183,van
90,46,366,185,193,van
85,47,358,182,191,van
94,46,358,190,200,van
86,44,305,190,201,van
93,36,260,193,201,van
97,41,247,184,186,van
92,40,277,182,183,van
89,46,356,184,191,van
86,38,301,189,196,van
91,42,331,189,199,van
91,41,249,194,201,van
88,44,363,184,195,van
90,47,355,185,196,van
90,41,246,201,208,van
93,40,275,187,188,van
95,49,365,182,191,van
94,42,246,192,196,van
93,43,281,203,210,van
84,44,349,183,193,van
86,48,371,183,192,van
90,43,279,201,209,van
90,47,389,185,195,van
93,43,351,184,196,van
89,40,314,190,200,van
86,40,225,202,208,van
93,43,334,196,206,van
89,42,338,187,199,van
86,37,209,186,190,van
96,39,255,181,182,van
88,44,351,183,195,van
94,36,265,201,208,van
90,49,365,182,192,van
88,37,207,179,183,van
94,49,363,183,194,van
92,35,222,197,203,van
83,37,218,181,185,van
90,48,366,182,192,van
89,44,352,184,193,van
91,44,280,188,194,van
90,43,332,186,196,van
91,38,296,192,202,van
87,42,264,193,201,van
86,39,212,200,207,van
96,45,316,199,207,van
89,47,354,182,192,van
84,37,280,194,202,van
89,42,254,188,191,van
98,38,251,191,194,van
89,36,206,181,185,van
90,39,261,183,182,van
94,49,367,183,192,van
90,42,259,197,204,van
94,43,359,186,197,van
96,44,355,192,202,van
95,47,371,189,198,van
98,44,300,201,207,van
94,37,262,192,195,van
88,36,204,180,183,van
93,42,240,189,190,van
96,45,351,192,201,van
89,38,278,189,193,van
89,40,311,188,197,van
98,44,367,194,202,van
89,37,213,181,183,van
90,47,345,186,197,van
93,48,354,185,195,van
93,41,309,195,203,van
94,36,242,195,196,van
85,36,212,186,190,van
89,45,362,183,193,van
86,35,208,180,183,van
93,41,309,199,207,van
90,46,369,182,192,van
83,37,219,180,184,van
86,39,203,199,204,van
94,45,313,194,202,van
100,46,363,192,200,van
90,48,375,185,195,van
93,47,354,184,196,van
90,44,272,187,191,van
95,48,379,187,197,van
93,42,268,192,201,van
92,41,275,182,184,van
91,39,308,191,201,van
93,44,348,194,203,van
89,47,364,184,194,van
85,45,362,183,193,van
94,50,351,182,191,van
96,39,294,201,208,van
88,43,350,185,196,van
87,45,294,188,196,van
95,41,314,199,207,van
88,42,253,203,210,van
93,47,355,183,195,van
87,47,325,188,198,van
93,46,339,195,204,van
86,36,266,194,202,van
98,38,243,186,185,van
97,47,359,192,202,van
93,37,238,191,190,van
89,40,209,193,199,van
93,40,249,184,184,van
93,39,290,201,208,van
92,38,194,190,194,van
91,37,256,191,192,van
93,41,284,184,185,van
95,46,372,189,200,van
100,46,387,189,196,van
84,37,278,196,205,van
98,39,261,186,186,van
85,39,241,182,187,van
90,43,281,193,202,van
96,39,258,183,184,van
93,46,371,183,194,van
91,43,253,190,194,van
88,41,318,188,197,van
85,45,324,188,199,van
94,48,357,185,196,van
88,34,243,199,206,van
87,40,317,189,199,van
86,43,285,192,201,van
96,40,269,183,183,van
95,46,381,184,193,van
89,47,352,184,193,van
89,47,369,182,193,van
90,48,333,185,195,van
82,43,289,190,199,van
89,46,368,186,197,van
86,37,284,189,195,van
89,47,349,186,197,van
92,43,282,183,185,van
94,47,354,188,196,van
91,36,211,192,198,van
89,41,223,186,188,van
89,46,351,183,191,van
89,44,273,186,187,van
91,43,326,197,207,van
97,45,365,192,200,van
86,39,204,190,194,van
95,38,253,184,183,van
89,43,356,185,196,van
98,39,251,186,187,van
90,47,376,183,191,van
91,41,237,191,194,van
94,49,366,183,194,van
89,46,367,185,194,van
89,35,237,199,207,van
89,45,347,183,192,van
88,35,246,202,209,van
89,36,265,201,209,van
89,41,330,188,200,van
85,35,200,196,203,van
94,45,357,187,195,van
95,44,312,199,206,van
85,45,307,187,196,van
87,37,196,186,190,van
83,45,305,191,199,van
86,40,330,180,185,saab
99,53,623,191,201,saab
108,49,665,190,199,saab
108,54,608,190,200,saab
90,39,458,189,195,saab
106,52,607,192,204,saab
110,46,561,194,203,saab
106,53,691,187,197,saab
100,54,587,187,196,saab
107,54,696,187,199,saab
91,36,334,196,205,saab
89,43,308,194,201,saab
91,43,327,186,191,saab
101,46,578,192,205,saab
91,45,404,199,208,saab
107,54,694,187,198,saab
105,53,661,186,197,saab
101,51,572,192,201,saab
107,53,627,194,205,saab
85,40,260,191,195,saab
107,51,673,188,198,saab
91,36,298,193,200,saab
104,55,703,188,199,saab
82,36,229,180,184,saab
83,36,238,179,183,saab
85,38,318,183,188,saab
92,46,382,186,191,saab
90,36,216,190,195,saab
109,47,586,190,198,saab
107,54,704,188,197,saab
107,53,704,190,203,saab
91,38,305,186,191,saab
95,53,559,188,196,saab
106,48,635,190,203,saab
84,35,196,183,190,saab
85,40,339,182,187,saab
96,37,378,190,197,saab
89,37,266,184,185,saab
104,55,680,185,194,saab
109,54,720,187,200,saab
113,48,613,193,204,saab
108,54,648,189,197,saab
89,38,351,187,192,saab
109,52,691,189,199,saab
82,36,268,181,182,saab
101,52,527,193,202,saab
95,47,425,191,198,saab
104,50,635,188,196,saab
102,54,638,189,200,saab
93,39,418,197,204,saab
95,45,520,198,211,saab
88,37,265,180,184,saab
105,54,640,189,199,saab
92,37,353,190,195,saab
96,41,297,202,209,saab
108,51,576,194,205,saab
90,50,492,191,199,saab
79,38,295,180,183,saab
104,53,664,188,198,saab
105,54,718,187,199,saab
99,43,521,191,199,saab
100,52,642,187,198,saab
86,41,333,182,185,saab
110,54,669,188,198,saab
89,38,389,192,197,saab
90,34,298,201,207,saab
112,50,639,191,202,saab
113,53,688,188,199,saab
106,52,709,190,205,saab
90,34,224,196,202,saab
109,53,707,188,199,saab
92,38,355,189,195,saab
86,38,433,191,199,saab
83,37,271,180,183,saab
105,45,586,192,200,saab
104,54,669,187,196,saab
82,37,264,179,185,saab
107,55,709,187,197,saab
104,51,641,187,197,saab
104,53,694,188,201,saab
115,52,697,188,197,saab
93,39,246,198,204,saab
111,50,663,190,200,saab
93,51,506,189,196,saab
106,49,645,190,202,saab
109,49,635,191,202,saab
96,40,455,191,200,saab
97,55,658,186,196,saab
88,45,357,188,193,saab
98,42,480,199,208,saab
85,33,184,181,183,saab
98,47,586,194,208,saab
109,54,675,189,202,saab
78,38,299,181,185,saab
105,54,687,189,201,saab
115,53,710,189,199,saab
104,54,686,185,195,saab
85,33,193,179,185,saab
101,48,458,197,210,saab
100,46,415,198,207,saab
93,43,335,189,194,saab
91,39,457,191,198,saab
88,48,460,192,199,saab
80,38,314,180,185,saab
110,53,659,190,203,saab
102,48,600,192,204,saab
119,54,675,192,202,saab
93,42,508,189,197,saab
86,36,270,190,195,saab
97,44,512,191,199,saab
102,55,719,187,199,saab
84,36,290,189,195,saab
101,56,698,187,197,saab
105,51,711,189,200,saab
89,45,390,194,201,saab
84,38,327,185,191,saab
86,40,262,187,191,saab
90,39,396,186,192,saab
97,42,511,194,206,saab
