@relation vehicle

@attribute Radius_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
125,57,134,148,69,194,van
157,48,144,171,65,203,van
131,53,145,152,74,190,van
151,52,129,112,66,200,van
163,45,140,137,64,206,van
144,52,139,150,62,210,van
322,43,163,176,97,194,van
159,46,141,143,70,200,van
110,57,122,139,89,184,van
132,44,164,187,78,191,van
139,43,155,175,76,195,van
162,43,157,185,71,198,van
150,43,160,176,73,194,van
123,51,144,155,78,185,van
157,43,167,186,74,195,van
163,44,158,178,74,195,van
116,52,137,157,84,183,van
131,56,137,153,65,199,van
160,44,148,182,70,199,van
136,52,144,134,72,187,van
139,49,138,137,73,188,van
144,44,156,200,75,195,van
150,48,143,174,69,201,van
134,55,137,150,76,188,van
134,43,167,185,76,192,van
174,43,148,182,69,202,van
170,46,145,140,64,207,van
125,44,160,177,78,191,van
140,52,130,113,63,206,van
167,46,148,176,71,199,van
138,44,170,187,77,191,van
136,44,150,164,73,196,van
133,52,143,157,78,186,van
121,55,125,133,82,183,van
147,50,127,115,66,201,van
136,43,149,161,74,197,van
306,44,156,200,118,194,van
162,48,145,159,63,210,van
150,46,147,179,72,196,van
150,48,134,124,71,195,van
117,52,145,156,78,184,van
161,43,157,178,76,196,van
159,43,158,203,75,194,van
148,51,142,153,68,201,van
162,44,145,147,70,199,van
133,44,153,165,75,196,van
135,44,158,177,79,191,van
161,45,148,171,65,205,van
150,50,142,159,67,201,van
137,43,158,186,76,193,van
169,44,147,179,67,204,van
127,52,132,116,66,196,van
125,50,143,161,81,184,van
137,49,146,166,78,187,van
133,43,161,171,77,192,van
157,49,145,167,64,209,van
142,50,142,164,69,197,van
129,57,135,145,64,204,van
173,43,157,157,67,200,van
159,46,143,127,63,207,van
157,45,157,140,64,207,van
165,49,136,127,67,204,van
147,44,163,188,76,193,van
159,42,157,171,70,200,van
164,46,137,158,68,201,van
138,53,128,112,64,207,van
172,43,150,184,67,200,van
119,53,135,142,75,187,van
153,48,139,123,62,209,van
149,45,152,181,72,198,van
110,57,121,137,90,183,van
126,58,135,145,64,202,van
161,42,160,185,73,195,van
140,44,157,176,74,193,van
246,44,160,177,90,192,van
114,51,139,151,85,182,van
162,46,148,161,64,207,van
163,44,156,176,73,195,van
114,53,139,158,87,183,van
157,48,146,164,67,202,van
175,43,155,192,69,200,van
139,50,136,121,67,201,van
137,43,160,186,76,192,van
333,43,155,187,135,196,van
170,45,147,143,65,206,van
105,57,128,125,86,183,van
144,50,142,162,65,204,van
166,43,150,159,67,202,van
162,43,161,186,75,195,van
178,42,159,184,70,197,van
138,51,135,124,69,192,van
135,44,158,164,75,195,van
141,43,167,186,75,192,van
160,43,151,174,72,196,van
166,46,147,179,66,202,van
125,53,139,132,74,185,van
133,51,146,156,70,194,van
139,54,139,143,63,208,van
148,45,152,199,70,200,van
111,50,140,148,85,183,van
126,52,140,140,78,183,van
140,54,127,112,64,208,van
125,44,151,176,76,193,van
121,44,165,176,77,191,van
250,48,145,172,99,199,van
143,47,131,138,71,196,van
123,56,128,131,73,190,van
125,51,144,162,73,191,van
136,55,132,116,64,203,van
149,43,155,186,75,196,van
115,56,132,129,72,190,van
149,50,134,119,62,209,van
231,45,149,164,91,196,van
139,47,148,175,73,196,van
131,43,163,174,77,193,van
145,51,130,121,65,203,van
109,57,129,125,80,185,van
136,43,163,185,75,192,van
147,44,145,163,72,199,van
115,57,124,127,81,184,van
176,43,149,154,66,202,van
145,48,134,140,68,202,van
162,46,139,157,70,199,van
154,45,148,174,71,199,van
144,44,144,161,72,197,van
141,45,143,158,72,199,van
166,44,156,143,66,203,van
117,57,125,138,85,183,van
164,43,149,182,68,202,van
147,45,144,161,71,197,van
162,43,153,187,74,196,van
120,50,141,139,80,183,van
130,51,138,123,69,194,van
117,52,139,150,86,182,van
112,55,128,146,85,184,van
142,43,155,188,75,197,van
133,44,160,176,74,192,van
146,50,135,128,69,195,van
149,43,158,173,75,193,van
159,46,150,134,67,203,van
124,49,144,172,79,185,van
160,43,157,162,68,199,van
143,50,130,127,66,202,van
169,44,149,174,67,201,van
151,50,135,119,62,208,van
137,43,162,186,75,194,van
164,48,140,126,64,208,van
121,51,142,134,75,186,van
164,42,163,170,71,196,van
158,46,148,166,64,206,van
150,52,143,159,69,196,van
150,50,141,159,67,201,van
133,43,156,173,76,193,van
141,47,130,127,73,196,van
111,52,141,139,80,184,van
163,43,159,176,72,197,van
174,44,144,150,65,204,van
133,54,144,160,66,198,van
114,53,140,157,86,183,van
136,42,153,185,77,191,van
129,57,125,123,65,203,van
147,44,151,186,74,197,van
113,57,128,136,88,183,van
150,44,165,188,73,195,van
162,42,155,172,74,193,van
160,47,150,124,62,208,van
130,58,132,137,72,194,van
137,54,140,150,63,206,van
119,57,129,152,78,186,van
145,43,160,189,77,194,van
155,48,137,124,63,209,van
147,52,141,157,61,208,van
126,53,137,119,71,190,van
138,49,133,128,72,193,van
139,43,162,185,75,191,van
151,48,146,167,72,194,van
142,43,160,185,76,192,van
141,45,145,162,72,200,van
151,51,142,161,63,210,van
131,50,127,141,85,183,saab
192,37,144,138,61,208,saab
191,31,162,190,68,199,saab
206,33,164,240,72,196,saab
162,48,131,126,66,204,saab
234,30,174,214,73,197,saab
121,55,125,128,82,184,saab
192,36,138,173,70,197,saab
195,35,144,166,68,199,saab
161,45,129,153,71,193,saab
137,46,131,157,86,183,saab
167,42,131,144,68,196,saab
168,32,162,221,72,197,saab
162,47,128,137,63,200,saab
191,40,138,131,62,205,saab
197,36,143,153,64,205,saab
195,36,144,165,66,199,saab
197,31,172,222,74,196,saab
206,34,159,201,65,205,saab
176,40,148,179,62,208,saab
135,50,135,166,70,191,saab
181,38,132,154,70,195,saab
213,30,172,216,70,197,saab
156,43,129,137,70,192,saab
228,31,163,220,66,205,saab
133,49,136,162,74,189,saab
176,31,171,218,74,197,saab
194,35,160,178,62,208,saab
147,46,146,174,64,201,saab
160,41,131,158,71,192,saab
139,50,135,150,68,195,saab
213,32,163,202,65,205,saab
206,33,150,191,70,198,saab
162,41,147,177,69,195,saab
136,48,137,164,77,186,saab
200,32,155,215,72,198,saab
211,32,158,184,68,202,saab
193,31,169,218,73,197,saab
206,31,168,209,67,201,saab
194,34,161,219,67,201,saab
209,33,149,210,70,199,saab
211,31,168,198,69,203,saab
187,37,154,222,70,195,saab
203,33,164,235,68,200,saab
200,38,151,205,66,202,saab
187,40,154,175,63,207,saab
221,32,164,238,71,200,saab
178,37,134,160,68,202,saab
150,44,143,177,77,187,saab
207,31,168,200,73,205,saab
153,47,141,169,61,209,saab
219,32,165,224,68,201,saab
201,30,163,202,72,200,saab
148,45,138,173,80,185,saab
217,32,162,195,68,197,saab
138,49,133,151,74,190,saab
134,51,128,143,82,185,saab
146,50,124,148,66,195,saab
188,41,151,174,66,201,saab
204,31,172,203,71,203,saab
182,31,171,214,72,201,saab
202,32,153,200,70,203,saab
191,38,153,187,62,210,saab
179,39,131,144,66,204,saab
133,46,132,149,77,189,saab
182,31,162,217,72,198,saab
202,30,168,214,73,199,saab
197,36,146,152,64,204,saab
132,52,129,132,71,192,saab
197,31,165,196,72,199,saab
174,43,133,130,70,195,saab
201,34,162,184,62,208,saab
177,41,147,188,70,199,saab
162,44,133,121,63,205,saab
180,39,134,129,63,204,saab
209,32,157,168,64,207,saab
171,42,128,123,61,204,saab
202,34,154,165,61,208,saab
126,52,127,142,72,187,saab
178,38,152,198,68,199,saab
151,46,139,170,74,189,saab
197,35,162,203,67,202,saab
130,56,127,132,68,195,saab
172,32,168,223,73,197,saab
119,53,125,139,82,183,saab
132,46,131,145,75,188,saab
204,31,159,215,71,199,saab
210,31,169,216,71,197,saab
186,31,159,203,71,202,saab
176,39,132,142,67,199,saab
208,33,151,183,64,204,saab
213,33,158,204,65,204,saab
140,45,133,173,82,185,saab
187,42,134,134,69,197,saab
188,36,158,220,69,199,saab
149,44,143,176,69,194,saab
154,41,148,184,71,191,saab
132,50,125,144,83,184,saab
202,35,144,175,72,197,saab
165,43,128,124,60,211,saab
114,50,126,144,86,182,saab
196,33,152,199,73,197,saab
130,54,130,145,74,188,saab
169,41,131,137,68,197,saab
199,31,156,188,68,200,saab
205,30,175,213,71,200,saab
211,35,156,195,65,206,saab
157,42,126,123,65,201,saab
219,32,171,223,74,196,saab
197,35,162,194,64,205,saab
151,47,142,158,64,205,saab
136,54,118,118,65,202,saab
141,45,132,149,74,191,saab
210,30,172,212,71,199,saab
136,47,131,149,69,191,saab
213,30,177,213,71,199,saab
193,32,156,213,70,202,saab
195,33,149,186,67,200,saab
201,32,162,194,65,206,saab
142,45,140,165,72,191,saab
152,44,136,140,70,196,saab
137,44,134,160,76,187,saab
192,38,135,165,66,205,saab
189,38,132,156,69,198,saab
191,33,158,234,70,198,saab
170,38,139,160,68,200,saab
165,45,128,131,66,203,saab
223,32,164,210,67,203,saab
213,32,167,220,72,196,saab
140,46,136,178,79,185,saab
201,34,143,195,73,197,saab
228,31,168,214,71,199,saab
222,31,173,229,71,199,saab
225,30,167,202,70,200,saab
186,36,138,168,67,206,saab
169,42,148,181,67,199,saab
119,50,127,146,79,185,saab
190,32,166,202,74,198,saab
215,35,158,214,67,201,saab
118,52,127,140,81,184,saab
127,58,121,127,70,189,saab
161,43,143,187,67,198,saab
193,31,163,203,72,201,saab
205,30,166,214,71,199,saab
184,31,168,218,71,197,saab
202,34,160,237,71,196,saab
203,35,157,231,68,199,saab
175,39,134,138,68,199,saab
231,31,172,217,71,196,saab
231,31,171,216,72,197,saab
212,32,162,240,71,197,saab
211,32,167,216,64,205,saab
189,31,174,214,70,201,saab
190,38,155,169,59,210,saab
220,31,167,232,66,202,saab
144,50,123,125,63,206,saab
120,48,128,145,81,183,saab
171,42,132,115,60,209,saab
203,31,165,214,72,197,saab
184,38,140,147,63,205,saab
197,34,149,160,65,203,saab
203,31,167,216,72,199,saab
122,59,123,128,76,190,saab
176,39,152,185,67,198,saab
183,40,134,149,72,195,saab
181,31,167,214,72,199,saab
129,46,130,158,83,185,saab
220,30,170,202,73,199,saab
199,31,168,221,72,198,saab
115,61,119,127,86,183,saab
201,31,171,221,73,198,saab
170,38,134,152,72,194,saab
197,32,159,186,67,202,saab
184,41,125,139,66,203,saab
192,37,155,197,65,201,saab
231,31,165,222,67,206,saab
136,48,125,138,71,195,saab
201,31,173,221,74,194,saab
191,39,136,141,67,199,saab
171,43,134,125,63,208,saab
117,54,126,128,78,184,saab
208,36,150,158,64,211,saab
189,39,153,190,64,201,saab
209,36,156,230,70,196,saab
172,42,144,158,61,209,saab
234,31,168,228,68,201,saab
146,52,134,158,63,204,saab
225,31,169,212,68,202,saab
184,34,147,198,73,197,saab
208,35,148,169,68,200,saab
104,59,118,127,83,185,saab
209,32,158,220,73,196,saab
158,47,124,117,61,207,saab
199,31,162,212,67,199,saab
221,31,169,212,72,201,saab
155,46,141,147,71,195,bus
158,47,143,173,66,199,bus
162,43,136,154,72,195,bus
165,46,141,172,71,193,bus
125,45,147,188,82,184,bus
226,32,148,186,79,191,bus
235,26,171,260,86,184,bus
194,26,175,261,85,183,bus
194,30,162,209,80,186,bus
137,45,146,183,75,191,bus
124,46,144,171,87,182,bus
155,45,144,176,72,196,bus
164,43,131,139,66,204,bus
137,45,151,179,81,183,bus
197,34,158,198,74,198,bus
166,44,134,143,69,201,bus
160,30,165,208,81,188,bus
187,40,144,186,70,203,bus
199,39,150,180,69,203,bus
151,46,143,173,68,203,bus
205,36,138,151,72,197,bus
120,45,145,186,81,184,bus
125,46,146,172,83,184,bus
183,43,127,127,69,205,bus
171,44,144,179,69,201,bus
184,28,171,229,77,187,bus
125,45,140,172,85,182,bus
164,27,165,243,84,182,bus
159,45,141,171,67,200,bus
187,41,143,183,70,201,bus
136,46,143,183,81,185,bus
154,28,164,222,82,184,bus
223,26,169,239,85,183,bus
179,45,141,178,69,201,bus
116,46,141,171,85,182,bus
120,45,146,190,80,185,bus
204,30,156,213,77,189,bus
203,37,154,206,71,199,bus
188,32,158,219,77,190,bus
207,33,159,188,75,194,bus
184,42,133,145,70,200,bus
122,46,143,171,87,182,bus
156,45,144,159,78,188,bus
169,44,146,186,75,189,bus
123,46,145,171,85,182,bus
123,45,147,185,81,182,bus
169,27,165,247,84,183,bus
194,39,148,171,69,203,bus
122,45,144,186,84,183,bus
189,29,158,217,82,186,bus
173,43,142,177,68,206,bus
165,45,140,152,72,195,bus
172,26,169,264,85,183,bus
152,44,142,164,75,192,bus
207,33,161,221,75,195,bus
165,43,146,190,74,194,bus
141,43,149,199,77,189,bus
161,27,166,242,85,183,bus
190,41,145,166,67,206,bus
171,44,135,144,68,200,bus
205,36,152,201,70,201,bus
173,44,137,151,69,200,bus
154,45,147,186,88,185,bus
152,44,145,176,71,196,bus
188,37,129,137,74,199,bus
133,45,146,176,81,184,bus
150,44,144,177,80,187,bus
195,38,152,185,69,206,bus
167,27,172,239,83,186,bus
113,45,141,171,85,183,bus
177,44,143,168,76,189,bus
152,45,142,158,74,190,bus
203,31,159,214,78,189,bus
182,41,124,117,71,205,bus
125,45,145,185,84,183,bus
120,46,145,174,87,181,bus
219,34,154,209,74,195,bus
168,31,153,198,78,189,bus
148,45,144,171,80,185,bus
185,42,147,192,72,199,bus
183,26,174,255,85,183,bus
187,31,152,210,77,189,bus
150,45,144,184,80,184,bus
132,46,144,172,83,182,bus
170,45,146,189,71,191,bus
208,31,161,218,76,191,bus
146,44,147,195,75,188,bus
155,45,138,152,72,195,bus
198,33,146,167,79,191,bus
204,38,150,182,69,203,bus
181,26,169,261,85,184,bus
148,46,136,141,69,199,bus
154,45,143,173,78,186,bus
180,37,158,194,70,202,bus
141,44,145,179,84,184,bus
199,27,169,268,82,183,bus
183,42,136,153,74,195,bus
252,45,144,185,119,185,bus
128,45,147,176,79,187,bus
120,46,143,160,85,182,bus
227,27,162,262,88,182,bus
127,46,143,171,85,182,bus
121,46,147,175,87,182,bus
118,44,147,177,82,185,bus
123,45,146,173,83,183,bus
180,43,131,143,72,200,bus
177,26,170,261,87,181,bus
156,44,143,157,75,193,bus
185,40,130,133,66,205,bus
183,33,148,201,74,191,bus
186,41,134,148,73,197,bus
130,44,149,191,81,186,bus
180,43,143,173,77,190,bus
191,34,147,174,73,197,bus
169,44,145,171,76,187,bus
153,43,145,184,75,192,bus
154,44,143,160,76,189,bus
205,45,144,188,127,183,bus
185,26,168,230,83,184,bus
186,39,136,129,71,203,bus
191,28,170,242,85,184,bus
191,40,128,135,69,202,bus
206,35,156,198,73,199,bus
186,42,144,178,67,206,bus
140,45,145,185,82,183,bus
141,44,148,190,80,187,bus
185,40,153,172,68,205,bus
126,46,145,186,86,182,bus
139,44,146,178,81,186,bus
209,38,138,161,69,201,bus
188,44,136,148,72,197,bus
139,46,145,171,83,184,bus
201,29,165,231,79,187,bus
194,32,161,214,78,192,bus
155,45,135,145,72,196,bus
199,35,153,171,74,195,bus
199,32,159,205,74,193,bus
197,36,139,151,72,199,bus
173,30,159,206,83,184,bus
213,35,145,182,71,198,bus
179,41,144,191,69,198,bus
193,38,137,156,68,204,bus
116,45,141,172,85,183,bus
184,39,131,137,71,202,bus
161,34,141,162,75,196,bus
129,45,150,177,83,183,bus
125,46,145,172,86,182,bus
