@relation vehicle

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
70,49,172,185,van
88,43,154,202,van
70,53,119,190,van
90,44,143,203,van
87,43,182,202,van
80,46,161,207,van
66,52,140,183,van
79,46,149,197,van
85,44,178,195,van
51,57,125,185,van
84,46,166,206,van
73,43,186,193,van
64,52,139,184,van
47,57,139,184,van
85,44,165,196,van
66,51,162,191,van
88,43,185,198,van
75,44,176,191,van
87,43,186,195,van
84,44,164,195,van
85,43,186,196,van
68,51,134,186,van
85,43,174,196,van
66,54,160,198,van
87,43,186,194,van
77,46,143,200,van
85,43,186,192,van
51,57,125,183,van
58,52,113,206,van
60,58,137,194,van
73,46,179,199,van
82,46,158,201,van
66,50,161,184,van
85,44,176,195,van
58,55,116,203,van
64,49,170,201,van
78,48,126,208,van
62,52,157,208,van
78,43,186,193,van
68,51,121,203,van
66,50,164,197,van
66,48,167,194,van
62,54,112,208,van
58,57,148,194,van
70,48,172,199,van
66,50,115,201,van
62,57,145,204,van
68,52,116,196,van
85,43,159,202,van
64,50,159,201,van
72,49,167,209,van
90,43,184,200,van
66,52,112,200,van
81,46,157,199,van
85,43,173,193,van
81,45,164,196,van
68,48,174,201,van
53,53,157,183,van
85,43,162,199,van
70,49,166,187,van
84,44,164,196,van
76,42,172,193,van
49,55,146,184,van
81,44,200,195,van
88,44,182,199,van
85,43,187,196,van
64,50,159,201,van
82,45,137,206,van
78,43,185,192,van
82,43,161,197,van
78,48,159,210,van
87,43,203,194,van
76,47,138,196,van
70,47,130,202,van
76,44,176,193,van
66,48,164,202,van
85,42,185,195,van
84,45,158,199,van
53,55,133,183,van
80,43,174,193,van
88,45,143,206,van
64,57,123,203,van
82,43,173,193,van
82,43,189,194,van
60,52,109,209,van
63,50,162,204,van
73,42,185,191,van
62,52,157,186,van
75,43,171,192,van
44,57,137,183,van
85,43,178,196,van
76,51,124,192,van
64,49,127,204,van
58,57,152,186,van
78,47,171,207,van
70,53,132,185,van
85,43,175,195,van
78,46,171,201,van
58,52,150,182,van
64,51,155,185,van
70,53,152,190,van
68,47,127,196,van
83,43,176,194,van
62,52,150,210,van
85,43,186,195,van
72,50,128,195,van
70,50,139,183,van
88,45,140,207,van
82,43,185,191,van
91,45,171,205,van
82,43,186,192,van
81,44,188,193,van
85,44,161,197,van
78,45,199,200,van
80,43,186,193,van
79,46,134,203,van
84,45,162,200,van
83,43,187,196,van
81,45,181,198,van
83,42,184,197,van
66,56,131,190,van
84,44,176,192,van
71,46,179,196,van
62,55,135,185,van
66,54,143,208,van
66,50,148,183,van
91,43,192,200,van
63,55,150,188,van
68,52,159,196,van
60,56,153,199,van
85,44,186,197,van
74,49,128,193,van
77,48,123,209,van
62,52,156,184,van
75,49,149,185,van
57,58,145,202,van
80,45,174,199,van
80,44,147,199,van
60,56,118,198,van
70,49,121,205,van
70,51,156,194,van
73,46,176,199,van
78,43,176,194,van
55,53,158,183,van
69,49,162,191,van
66,50,119,208,van
84,44,187,191,van
57,51,151,182,van
53,57,136,183,van
53,57,138,183,van
68,53,142,187,van
72,48,171,203,van
85,44,150,204,van
85,44,179,204,van
51,57,127,184,van
70,50,127,202,van
69,48,124,195,van
80,44,176,193,van
52,58,144,190,van
60,55,141,207,van
77,44,187,191,van
77,44,177,191,van
63,50,121,201,van
66,53,155,194,van
70,53,112,207,van
82,46,140,207,van
76,44,159,200,van
58,54,150,206,van
76,48,124,209,van
81,46,179,202,van
68,50,119,209,van
86,44,200,194,van
73,49,137,188,van
59,52,157,183,van
64,51,153,201,van
51,56,147,183,van
88,43,182,202,van
85,44,184,197,van
66,47,175,196,van
72,42,158,209,saab
72,50,150,195,saab
76,40,139,197,saab
103,31,212,201,saab
83,40,190,193,saab
74,42,134,197,saab
101,33,174,197,saab
108,31,201,203,saab
53,59,128,190,saab
96,35,231,199,saab
89,35,166,199,saab
105,32,224,201,saab
95,34,237,196,saab
78,50,148,195,saab
104,32,195,197,saab
80,42,115,209,saab
54,52,140,184,saab
89,37,155,196,saab
83,47,137,200,saab
98,36,173,197,saab
101,30,213,199,saab
95,35,175,197,saab
83,38,152,194,saab
109,31,212,201,saab
63,54,145,188,saab
77,41,174,201,saab
112,32,194,206,saab
104,32,197,198,saab
59,51,143,185,saab
63,52,158,204,saab
108,31,198,203,saab
100,37,160,202,saab
106,32,218,199,saab
88,38,156,198,saab
107,31,229,199,saab
101,36,168,206,saab
96,36,165,199,saab
104,32,210,203,saab
69,48,126,204,saab
110,31,203,202,saab
54,50,146,185,saab
85,41,158,192,saab
81,41,188,199,saab
104,31,214,199,saab
105,33,235,200,saab
81,40,175,207,saab
108,31,203,201,saab
83,41,184,191,saab
75,46,145,188,saab
94,35,214,201,saab
77,45,153,193,saab
101,33,204,204,saab
74,44,140,196,saab
103,32,215,198,saab
77,42,181,199,saab
85,41,139,203,saab
98,31,216,197,saab
79,40,179,208,saab
109,31,212,202,saab
108,31,200,205,saab
71,43,125,208,saab
66,49,151,190,saab
104,35,169,200,saab
66,48,164,186,saab
110,31,220,205,saab
52,55,128,184,saab
83,45,149,191,saab
69,43,187,198,saab
105,30,202,200,saab
83,39,142,199,saab
69,47,169,209,saab
77,47,158,205,saab
105,34,195,205,saab
89,38,154,195,saab
64,45,173,185,saab
108,32,216,205,saab
100,35,178,208,saab
80,46,170,189,saab
82,43,137,192,saab
83,41,155,191,saab
55,48,145,183,saab
83,37,222,195,saab
105,32,222,196,saab
103,31,217,198,saab
87,40,149,195,saab
50,59,127,185,saab
85,39,133,210,saab
100,30,202,199,saab
85,39,190,201,saab
66,54,118,202,saab
108,32,202,205,saab
72,45,165,191,saab
85,38,187,210,saab
101,31,216,197,saab
54,54,128,184,saab
98,33,183,204,saab
105,32,168,207,saab
109,31,214,201,saab
109,32,213,202,saab
96,31,217,198,saab
105,36,158,211,saab
75,48,138,195,saab
90,36,230,196,saab
72,44,121,205,saab
77,45,131,203,saab
100,30,214,199,saab
108,30,202,200,saab
98,31,218,197,saab
101,35,203,202,saab
63,46,158,185,saab
72,50,125,206,saab
86,39,129,204,saab
100,33,234,198,saab
86,39,138,199,saab
81,39,185,198,saab
86,42,144,196,saab
78,43,124,211,saab
109,31,214,201,saab
107,32,200,203,saab
98,38,165,205,saab
74,42,123,204,saab
66,52,142,187,saab
100,31,220,195,saab
109,34,165,208,saab
98,36,152,204,saab
106,31,232,202,saab
58,46,157,183,saab
102,33,240,196,saab
77,42,123,201,saab
105,35,194,205,saab
100,33,186,200,saab
63,47,146,185,saab
96,35,195,206,saab
101,31,222,196,saab
51,50,144,182,saab
104,31,217,196,saab
77,44,177,187,saab
103,32,240,197,saab
104,32,186,202,saab
98,34,219,201,saab
75,47,149,191,saab
104,32,223,196,saab
78,39,141,199,saab
101,30,200,201,saab
88,38,205,202,saab
71,49,145,186,saab
108,31,203,203,saab
57,50,144,184,saab
100,34,160,203,saab
63,50,166,191,saab
106,33,210,199,saab
100,34,201,205,saab
101,31,221,198,saab
106,32,184,202,saab
71,43,130,195,saab
108,31,214,199,saab
90,38,198,199,saab
60,52,132,192,saab
103,30,216,197,saab
90,37,138,208,saab
53,58,127,189,saab
104,32,220,196,saab
76,41,177,195,saab
66,49,162,189,saab
82,43,170,193,saab
57,56,132,195,saab
80,43,144,195,saab
106,32,223,197,saab
103,30,214,199,saab
78,38,160,200,saab
105,33,178,204,saab
101,32,202,198,saab
76,42,169,206,saab
104,31,190,199,saab
66,47,117,207,saab
101,34,195,197,saab
96,33,191,198,saab
90,37,197,201,saab
108,31,224,204,saab
98,31,216,199,saab
76,44,176,194,saab
62,45,173,185,saab
77,46,174,201,saab
54,50,141,183,saab
40,61,127,183,saab
104,33,199,197,saab
106,32,220,196,saab
81,40,131,205,saab
66,46,178,185,saab
103,30,214,197,saab
75,44,160,187,saab
100,34,184,208,saab
90,36,220,199,saab
104,34,198,197,saab
108,31,209,201,saab
93,30,206,184,bus
105,27,243,182,bus
75,43,190,194,bus
74,41,183,201,bus
70,45,172,185,bus
68,46,180,187,bus
73,43,135,205,bus
66,46,174,182,bus
65,45,186,184,bus
84,34,209,195,bus
100,27,262,182,bus
70,45,156,188,bus
72,44,174,188,bus
76,45,152,195,bus
102,26,261,184,bus
70,46,170,193,bus
68,45,180,191,bus
79,37,206,199,bus
76,36,186,200,bus
72,41,127,204,bus
106,26,264,183,bus
76,43,173,190,bus
96,28,242,184,bus
88,32,219,190,bus
75,43,154,195,bus
73,38,185,206,bus
76,43,143,200,bus
70,45,188,183,bus
66,46,160,182,bus
73,45,183,191,bus
86,35,183,197,bus
101,28,242,184,bus
66,45,173,183,bus
72,46,183,185,bus
73,41,124,204,bus
70,46,173,203,bus
73,45,188,184,bus
102,27,247,183,bus
63,45,185,182,bus
75,36,151,197,bus
104,26,230,184,bus
77,39,180,203,bus
98,31,210,189,bus
70,45,178,201,bus
106,26,232,184,bus
70,39,171,203,bus
105,26,255,183,bus
70,40,172,205,bus
71,45,176,187,bus
80,35,198,199,bus
66,46,171,182,bus
73,40,125,204,bus
74,43,192,195,bus
80,33,188,194,bus
88,33,201,191,bus
77,38,182,203,bus
61,46,172,182,bus
70,46,141,199,bus
68,45,179,183,bus
73,44,176,196,bus
85,33,163,193,bus
65,45,172,182,bus
102,28,228,185,bus
68,45,171,185,bus
75,40,135,202,bus
71,45,173,186,bus
95,32,200,194,bus
70,42,178,206,bus
103,27,242,183,bus
68,44,164,192,bus
77,36,148,198,bus
70,45,186,184,bus
71,44,198,186,bus
70,39,129,203,bus
64,46,171,182,bus
75,42,127,202,bus
75,42,145,200,bus
70,44,143,201,bus
81,34,198,198,bus
91,32,214,192,bus
98,27,245,184,bus
77,36,151,199,bus
109,26,261,183,bus
88,34,174,197,bus
64,46,173,184,bus
72,45,145,196,bus
66,44,159,207,bus
72,44,177,185,bus
66,46,186,182,bus
103,27,239,186,bus
71,44,191,186,bus
79,37,194,202,bus
74,39,137,202,bus
70,44,168,189,bus
69,44,179,184,bus
76,42,157,193,bus
84,35,198,199,bus
83,33,167,191,bus
72,41,191,198,bus
95,29,217,186,bus
73,44,173,188,bus
78,41,148,197,bus
66,45,163,182,bus
70,41,117,205,bus
98,28,222,184,bus
73,44,151,200,bus
76,44,144,200,bus
64,46,172,182,bus
71,45,176,184,bus
73,44,160,189,bus
70,45,186,183,bus
71,45,171,200,bus
92,31,214,189,bus
73,42,172,204,bus
69,44,195,188,bus
71,44,190,187,bus
86,33,221,195,bus
72,44,177,187,bus
68,45,190,185,bus
70,45,152,195,bus
106,26,261,181,bus
68,46,176,184,bus
72,46,169,198,bus
76,44,179,201,bus
70,46,171,182,bus
70,45,187,186,bus
66,44,173,185,bus
79,35,171,195,bus
93,30,208,188,bus
70,46,147,195,bus
71,46,172,193,bus
103,28,250,184,bus
70,43,119,208,bus
84,35,154,197,bus
68,46,184,184,bus
68,44,186,189,bus
66,45,168,183,bus
66,45,155,191,bus
68,45,176,183,bus
98,29,231,187,bus
76,42,153,195,bus
68,45,178,183,bus
89,32,205,193,bus
81,38,156,204,bus
75,43,139,204,bus
62,43,165,209,bus
92,30,209,186,bus
66,45,159,188,bus
68,41,166,206,bus
84,38,161,201,bus
70,45,185,183,bus
68,46,177,203,bus
89,35,182,198,bus
66,46,175,182,bus
59,46,172,182,bus
83,36,163,198,bus
107,26,260,184,bus
68,45,189,182,bus
65,46,176,183,bus
76,44,148,197,bus
73,42,132,206,bus
76,44,157,193,bus
70,45,185,188,bus
82,34,162,196,bus
68,45,173,185,bus
72,40,186,203,bus
70,45,153,189,bus
65,45,171,183,bus
65,46,171,182,bus
94,31,218,191,bus
71,44,189,190,bus
63,45,173,184,bus
70,45,176,184,bus
71,45,158,190,bus
69,46,177,182,bus
66,45,185,185,bus
98,30,213,189,bus
75,42,192,199,bus
71,44,157,197,bus
64,43,177,206,bus
74,45,139,200,bus
60,46,171,182,bus
102,28,229,187,bus
70,44,171,187,bus
74,43,199,189,bus
71,45,189,191,bus
106,26,257,182,bus
77,37,141,201,bus
65,45,177,183,bus
65,46,171,182,bus
72,38,138,202,bus
68,45,186,185,bus
74,39,136,200,bus
89,31,198,189,bus
79,40,133,205,bus
68,44,183,191,bus
91,37,151,200,opel
93,36,153,200,opel
98,31,199,196,opel
69,44,168,203,opel
92,37,171,206,opel
98,30,214,197,opel
