@relation vehicle

@attribute Compactness numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
96,9,44,339,van
90,8,49,279,van
89,10,44,352,van
89,9,46,311,van
90,10,43,355,van
87,10,46,317,van
90,6,52,246,van
91,8,44,331,van
94,10,43,359,van
89,7,54,225,van
91,8,51,249,van
84,11,44,349,van
98,8,47,300,van
88,3,57,204,van
93,8,46,309,van
93,8,49,279,van
91,9,45,330,van
98,8,53,243,van
86,2,57,208,van
85,5,53,241,van
89,7,49,278,van
89,6,56,209,van
88,7,53,249,van
87,10,50,265,van
95,10,42,379,van
94,7,52,246,van
86,7,55,212,van
90,46,45,332,van
93,10,44,348,van
89,6,55,223,van
85,8,46,307,van
91,8,48,289,van
88,12,44,351,van
95,9,44,347,van
95,10,44,339,van
89,10,44,349,van
89,10,44,351,van
94,11,43,366,van
92,5,58,194,van
90,8,48,283,van
91,8,51,256,van
93,11,43,371,van
94,9,50,262,van
93,6,49,275,van
94,10,44,351,van
94,9,50,258,van
88,7,52,246,van
84,7,49,278,van
84,5,55,221,van
92,6,55,222,van
89,5,56,213,van
98,7,51,261,van
90,11,43,365,van
90,11,43,374,van
94,10,43,357,van
97,10,45,334,van
89,10,44,345,van
88,6,54,227,van
85,5,56,212,van
94,9,46,313,van
91,9,50,268,van
89,11,44,354,van
90,7,49,272,van
93,7,52,249,van
95,11,43,371,van
91,9,45,323,van
90,9,48,281,van
91,6,56,211,van
85,6,57,200,van
100,9,43,363,van
83,6,55,218,van
88,6,52,243,van
96,10,43,354,van
88,11,43,363,van
86,8,47,301,van
93,11,44,355,van
89,9,45,330,van
87,6,58,196,van
91,8,51,253,van
94,8,50,265,van
92,9,45,319,van
95,11,43,365,van
88,5,57,207,van
89,11,44,352,van
90,11,43,369,van
93,12,43,354,van
93,9,53,238,van
96,8,52,258,van
91,25,47,296,van
90,10,44,354,van
93,7,53,240,van
89,11,43,356,van
91,7,48,280,van
89,48,43,364,van
93,8,48,281,van
82,55,48,289,van
96,6,52,255,van
90,49,44,346,van
90,11,43,373,van
94,10,43,363,van
90,11,43,366,van
94,10,43,363,van
97,8,52,246,van
89,11,43,362,van
93,9,49,268,van
85,8,46,307,van
93,7,49,284,van
86,5,57,204,van
96,8,50,269,van
85,9,45,324,van
94,10,44,357,van
90,7,51,261,van
