@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3,6-8,14,19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
90,66,9,137,48,67,van
93,98,11,183,36,64,saab
96,103,9,204,32,74,opel
89,51,6,118,57,80,van
99,77,6,177,36,72,bus
101,104,6,257,26,83,bus
85,68,5,128,53,75,van
83,66,7,150,45,78,bus
98,101,11,225,30,74,opel
86,68,7,150,44,75,bus
92,60,5,114,58,72,van
99,105,11,197,34,65,opel
93,85,10,155,44,75,van
93,79,7,173,37,70,bus
91,80,8,148,44,70,van
107,101,11,202,33,65,opel
101,105,10,209,32,73,opel
97,94,9,181,36,64,opel
87,81,10,146,46,70,van
82,72,7,154,44,80,bus
84,77,5,152,44,77,saab
79,74,7,153,43,77,bus
95,73,6,156,41,71,bus
80,71,7,151,45,79,bus
109,109,11,214,31,68,saab
89,85,8,169,39,64,saab
93,63,8,132,50,67,van
109,102,6,241,27,84,bus
98,86,5,192,33,75,bus
106,107,10,207,32,70,saab
109,107,10,205,32,65,opel
96,104,9,198,33,67,opel
93,62,7,131,52,78,van
82,63,7,151,45,81,bus
89,82,6,149,45,68,opel
93,88,9,150,45,65,van
107,102,7,234,28,77,bus
99,88,5,203,32,77,bus
117,110,12,212,31,66,saab
100,96,9,186,35,62,opel
97,87,9,156,43,68,van
87,53,4,118,57,85,van
89,75,5,153,43,72,bus
107,108,12,206,32,65,saab
85,68,6,130,51,65,van
84,71,7,150,45,80,opel
99,88,10,185,35,66,opel
98,90,9,178,37,61,saab
82,73,8,153,44,75,opel
97,104,9,211,32,74,saab
89,78,11,160,43,73,van
102,98,10,219,31,72,opel
88,53,3,118,57,88,van
101,100,12,227,30,73,opel
115,100,11,220,30,71,saab
86,70,6,148,46,86,bus
92,75,8,147,45,62,opel
109,96,6,241,28,85,bus
96,74,8,159,42,69,saab
94,75,8,155,42,70,bus
90,89,8,175,38,70,saab
98,108,11,224,30,73,opel
84,74,8,139,49,72,opel
89,77,8,144,46,64,saab
87,60,6,150,46,85,bus
83,49,5,122,55,85,van
90,81,9,150,44,75,van
90,63,7,131,50,65,van
86,65,6,152,45,83,bus
87,66,6,148,46,79,saab
90,72,8,136,49,64,van
85,66,7,149,46,85,bus
89,52,4,122,55,82,saab
107,108,11,219,31,69,saab
104,110,10,219,30,74,opel
103,96,10,205,32,71,opel
114,102,6,257,26,85,bus
90,78,7,138,48,67,opel
96,78,7,174,38,68,saab
95,95,10,193,34,71,saab
98,78,8,169,39,67,saab
109,96,9,198,33,70,saab
107,103,11,219,30,70,saab
95,82,11,159,43,75,van
