@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,7,12,14,17,19'

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Minor_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
73,153,361,66,200,bus
62,122,223,64,200,van
79,174,465,71,197,bus
77,140,293,64,198,saab
86,153,346,118,185,van
104,205,628,74,186,opel
103,209,653,66,191,opel
83,172,445,72,188,saab
84,171,446,69,196,bus
100,197,583,70,191,saab
87,157,363,75,184,van
105,201,602,69,191,opel
82,146,319,64,199,van
70,147,323,76,186,bus
104,197,578,73,189,saab
107,222,728,67,189,opel
64,136,279,67,193,van
74,151,337,70,187,saab
90,177,469,71,190,opel
104,219,705,71,189,saab
71,153,342,81,180,bus
74,157,367,61,197,saab
58,122,225,63,199,van
68,147,325,74,185,bus
57,114,195,64,197,van
101,222,722,71,186,opel
66,131,258,66,196,van
53,116,197,70,185,saab
54,129,245,81,180,saab
88,173,452,66,195,saab
103,200,598,73,187,opel
66,132,252,72,183,saab
72,158,385,70,200,bus
91,151,334,65,197,van
78,147,323,70,189,van
77,154,350,75,184,opel
100,250,923,88,182,bus
109,217,704,72,189,opel
83,176,467,70,189,saab
64,133,265,67,193,van
78,140,287,66,194,opel
108,216,685,68,190,opel
72,133,263,63,200,saab
70,149,326,81,181,bus
69,135,266,66,193,opel
70,150,328,82,181,bus
64,135,262,78,185,van
75,154,362,72,192,bus
74,162,394,63,198,opel
71,145,322,67,195,bus
66,152,340,87,180,opel
71,150,330,78,181,bus
89,186,533,71,195,bus
103,221,718,72,186,opel
109,220,709,70,189,saab
71,157,365,63,196,saab
76,137,281,63,201,van
61,150,326,85,179,bus
105,207,637,64,193,saab
70,152,342,76,186,bus
66,128,246,66,195,van
105,205,623,71,189,opel
104,220,712,72,189,saab
59,132,250,84,177,van
66,123,227,66,193,van
71,144,312,71,188,bus
104,191,543,68,190,saab
66,142,295,77,182,saab
77,139,289,62,201,van
70,167,427,69,200,bus
103,206,635,72,189,saab
98,225,766,79,188,bus
101,213,667,72,187,saab
73,143,307,71,190,van
55,132,249,87,176,van
98,218,719,77,189,bus
92,188,526,64,195,opel
70,148,332,69,193,bus
105,201,602,64,193,opel
93,189,536,72,188,opel
63,122,219,64,195,opel
72,166,427,70,200,bus
96,189,534,71,190,opel
72,137,283,65,196,van
