@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1-3,11,17,19'

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Major_variance numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
97,43,73,176,200,bus
86,34,62,141,200,van
94,49,79,196,197,bus
88,42,77,165,198,saab
90,48,86,272,185,van
95,48,104,227,186,opel
107,53,103,222,191,opel
91,39,83,197,188,saab
91,42,84,189,196,bus
104,52,100,218,191,saab
94,48,87,179,184,van
95,46,105,223,191,opel
92,40,82,165,199,van
89,42,70,176,186,bus
100,46,104,222,189,saab
103,54,107,221,189,opel
93,36,64,161,193,van
87,39,74,174,187,saab
84,39,90,209,190,opel
107,56,104,226,189,saab
81,46,71,172,180,bus
90,36,74,177,197,saab
89,40,58,146,199,van
83,44,68,170,185,bus
85,39,57,134,197,van
99,55,101,225,186,opel
94,35,66,159,196,van
85,34,53,137,185,saab
83,37,54,146,180,saab
93,47,88,197,195,saab
96,47,103,220,187,opel
82,37,66,148,183,saab
94,37,72,184,200,bus
97,45,91,166,197,van
91,46,78,168,189,van
87,45,77,181,184,opel
106,54,100,280,182,bus
100,51,109,238,189,opel
90,49,83,205,189,saab
87,42,64,157,193,van
88,36,78,161,194,opel
101,53,108,220,190,opel
93,34,72,158,200,saab
85,45,70,169,181,bus
89,36,69,154,193,opel
85,42,70,177,181,bus
93,42,64,164,185,van
91,46,75,178,192,bus
94,37,74,178,198,opel
95,43,71,169,195,bus
85,40,66,170,180,opel
82,43,71,171,181,bus
94,45,89,204,195,bus
104,57,103,223,186,opel
108,54,109,229,189,saab
95,37,71,178,196,saab
88,39,76,156,201,van
86,43,61,169,179,bus
104,49,105,217,193,saab
88,43,70,180,186,bus
97,35,66,148,195,van
104,55,105,221,189,opel
108,53,104,226,189,saab
83,40,59,145,177,van
88,42,66,147,193,van
88,44,71,167,188,bus
95,46,104,210,190,saab
85,40,66,164,182,saab
91,39,77,159,201,van
96,46,70,183,200,bus
108,49,103,227,189,saab
102,54,98,246,188,bus
104,53,101,216,187,saab
85,45,73,173,190,van
88,40,55,142,176,van
100,50,98,232,189,bus
107,45,92,202,195,opel
88,39,70,167,193,bus
97,48,105,212,193,opel
92,52,93,214,188,opel
85,38,63,137,195,opel
98,38,72,189,200,bus
95,43,96,217,190,opel
90,44,72,159,196,van
