@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,7,17-19'

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
74,152,189,195,bus
107,208,190,202,opel
72,152,180,185,bus
82,159,183,194,van
70,130,190,194,van
66,148,180,182,bus
84,157,182,192,van
84,190,195,195,bus
103,195,191,198,opel
71,151,186,190,bus
107,218,188,199,saab
77,150,184,193,opel
83,156,185,196,van
95,199,192,194,bus
106,208,190,202,saab
81,166,197,205,saab
53,116,183,190,saab
78,157,192,198,opel
85,156,183,195,van
89,212,190,189,bus
64,150,182,185,saab
40,112,181,183,saab
108,215,188,199,saab
75,157,182,191,van
88,175,191,198,saab
60,118,193,199,van
70,126,199,207,van
81,166,198,207,saab
70,146,194,201,bus
109,260,182,183,bus
72,146,192,196,bus
85,155,185,196,van
77,177,196,198,bus
90,153,194,203,van
75,154,188,194,bus
76,161,188,192,opel
105,212,186,194,opel
101,200,192,202,opel
64,134,179,188,opel
86,170,191,199,saab
77,161,194,201,saab
82,159,183,193,van
93,183,193,200,opel
98,220,188,197,opel
86,177,192,198,opel
98,195,192,201,saab
66,137,188,194,van
109,218,191,202,opel
105,247,181,182,bus
72,156,193,198,bus
107,223,187,201,opel
73,136,187,188,van
57,135,183,182,van
58,118,184,186,van
88,168,186,192,opel
69,152,193,198,saab
89,201,193,193,bus
85,160,195,203,saab
72,134,188,198,opel
69,138,204,210,opel
63,133,187,191,saab
70,148,181,183,bus
69,141,202,209,saab
77,149,188,193,saab
104,206,187,196,saab
44,119,180,183,van
83,175,197,206,opel
76,162,184,193,van
74,164,200,202,bus
82,153,187,192,saab
104,210,187,194,opel
70,139,190,199,van
109,222,188,199,opel
93,217,188,188,bus
85,151,195,204,van
90,183,189,196,saab
98,214,187,196,opel
101,196,186,194,opel
68,151,180,185,bus
64,134,183,184,van
68,150,185,191,bus
55,142,180,183,saab
69,135,187,190,opel
70,162,200,205,bus
51,135,181,182,saab
