@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
94,64,19,185,196,van
97,67,20,192,200,van
91,58,18,191,197,van
87,58,17,180,183,van
98,63,18,201,207,van
94,67,19,194,202,van
85,60,18,195,203,van
89,59,18,189,196,van
89,59,20,184,191,van
92,52,18,182,184,van
89,54,17,181,183,van
91,63,18,188,194,van
93,66,20,183,195,van
94,54,19,186,197,van
93,56,18,189,190,van
94,61,18,201,208,van
90,59,18,197,204,van
93,66,19,196,206,van
90,56,20,182,191,van
96,63,19,199,207,van
84,61,18,196,205,van
89,58,17,199,207,van
84,59,17,179,183,van
96,66,19,192,202,van
91,57,19,189,199,van
89,56,17,193,199,van
85,57,17,196,203,van
93,51,18,185,185,van
87,62,19,188,198,van
93,63,19,199,207,van
87,54,17,186,190,van
88,55,20,183,195,van
83,53,18,176,183,van
93,69,18,193,204,van
90,64,18,196,203,van
88,62,18,201,209,van
95,62,19,199,206,van
89,53,18,188,191,van
93,51,18,184,185,van
88,62,18,203,210,van
95,63,20,189,200,van
91,56,17,192,198,van
93,49,18,184,184,van
92,52,18,183,185,van
90,62,20,185,193,van
89,58,18,186,187,van
98,55,18,191,194,van
89,54,20,182,193,van
85,56,17,197,202,van
97,64,18,195,200,van
93,56,20,184,197,van
100,64,20,189,196,van
82,105,18,190,199,van
88,57,17,180,183,van
90,60,20,184,193,van
95,65,19,199,207,van
88,59,18,202,209,van
90,58,20,183,191,van
97,56,18,184,186,van
93,66,19,195,204,van
85,69,18,190,199,van
90,64,18,187,191,van
86,61,18,194,202,van
89,65,19,190,200,van
90,64,18,201,209,van
96,48,18,183,184,van
93,57,18,193,201,van
90,64,20,185,195,van
94,57,20,182,191,van
91,59,18,201,209,van
84,58,20,183,193,van
90,48,18,183,182,van
91,61,19,197,207,van
95,66,20,184,193,van
90,59,20,183,192,van
89,59,20,183,193,van
91,61,18,194,201,van
92,48,19,182,183,van
88,52,17,179,183,van
90,65,18,193,202,van
89,55,20,182,192,van
93,58,20,183,194,van
90,97,19,186,196,van
96,68,19,194,202,van
83,55,17,180,184,van
93,54,19,184,196,van
89,61,19,187,199,van
94,70,20,190,200,van
89,58,19,188,200,van
89,52,20,183,191,van
89,54,20,184,193,van
93,52,18,191,190,van
86,54,17,186,190,van
85,53,20,182,191,van
86,54,17,180,183,van
88,62,19,188,197,van
85,55,17,180,184,van
90,56,20,182,192,van
95,66,19,196,204,van
85,63,19,187,196,van
96,67,19,192,201,van
90,57,20,182,192,van
94,64,18,192,196,van
90,58,20,182,193,van
96,62,18,201,208,van
95,57,19,187,200,van
86,59,18,189,196,van
96,50,18,183,183,van
89,63,20,185,194,van
91,66,19,189,199,van
93,58,18,187,188,van
87,64,18,193,201,van
98,67,20,194,202,van
96,64,19,192,199,van
89,64,19,188,197,van
94,54,20,183,194,van
94,54,18,195,196,van
94,56,20,183,192,van
92,58,17,197,203,van
86,68,18,190,201,van
90,126,19,185,194,van
86,59,17,202,208,van
93,65,19,184,196,van
98,49,18,186,186,van
89,58,17,199,206,van
92,63,19,199,206,van
88,53,18,176,183,van
92,62,17,190,194,van
93,68,18,192,201,van
91,68,19,191,201,van
90,60,19,185,196,van
87,58,18,188,196,van
89,102,20,183,192,van
87,64,18,193,201,van
91,56,18,191,194,van
96,51,18,181,182,van
85,56,20,183,193,van
94,138,19,188,196,van
93,66,18,201,208,van
89,52,17,181,185,van
94,64,20,183,194,van
94,62,18,196,201,van
89,58,19,186,197,van
86,60,17,200,207,van
86,61,17,200,208,van
97,64,20,192,202,van
91,66,18,192,202,van
90,64,20,185,195,van
94,64,20,184,195,van
85,55,17,186,190,van
90,58,19,186,197,van
86,64,18,192,201,van
83,53,17,181,185,van
88,56,20,184,195,van
94,63,20,189,199,van
95,56,20,182,191,van
91,55,18,190,194,van
94,68,20,187,195,van
88,57,17,193,198,van
87,68,19,189,199,van
86,56,17,184,186,van
86,55,17,190,194,van
84,62,18,194,202,van
85,52,18,182,187,van
89,66,20,186,197,van
95,64,20,189,198,van
86,59,17,199,204,van
83,53,18,177,183,van
90,60,19,185,195,van
83,68,18,191,199,van
93,65,19,194,203,van
85,56,17,181,184,van
93,63,20,185,195,van
86,58,20,183,192,van
90,60,18,201,208,van
98,56,18,186,187,van
89,64,19,185,196,van
97,63,19,197,205,van
91,61,19,189,200,van
87,53,18,181,186,saab
104,61,24,188,201,saab
108,55,24,189,201,saab
85,58,19,182,186,saab
109,66,24,188,201,saab
84,59,19,183,187,saab
111,61,23,196,205,saab
104,64,25,189,203,saab
101,61,23,192,205,saab
89,59,19,187,192,saab
93,59,20,197,204,saab
104,59,23,191,198,saab
100,62,21,195,205,saab
107,62,24,187,198,saab
85,57,17,181,183,saab
106,54,24,187,197,saab
105,57,24,186,197,saab
94,60,21,195,204,saab
85,53,17,179,185,saab
101,72,24,187,197,saab
94,60,20,193,199,saab
85,54,19,183,188,saab
90,62,21,189,195,saab
78,51,19,181,185,saab
109,64,23,190,198,saab
91,59,20,199,208,saab
90,64,20,195,203,saab
105,62,25,189,200,saab
93,69,22,189,196,saab
101,69,24,188,199,saab
106,60,24,188,197,saab
92,67,19,190,195,saab
91,53,19,186,191,saab
86,56,18,187,191,saab
90,61,21,191,199,saab
94,62,20,200,210,saab
87,57,18,186,192,saab
92,56,20,186,191,saab
104,68,24,188,199,saab
87,58,19,187,196,saab
100,61,20,198,207,saab
88,60,19,180,183,saab
106,64,24,190,202,saab
104,63,24,188,198,saab
87,58,19,181,185,saab
89,64,20,194,201,saab
85,56,19,182,187,saab
112,56,24,191,202,saab
105,68,24,189,199,saab
96,58,21,192,202,saab
89,57,17,181,184,saab
93,63,22,189,197,saab
108,63,23,194,205,saab
91,60,19,196,205,saab
93,66,21,195,202,saab
90,59,19,203,209,saab
104,59,24,190,201,saab
96,68,20,190,197,saab
107,68,25,190,204,saab
113,62,23,193,204,saab
109,68,24,189,202,saab
91,60,20,186,191,saab
96,67,22,193,201,saab
102,68,24,189,200,saab
107,68,25,187,197,saab
85,58,17,185,189,saab
104,64,24,187,196,saab
93,56,18,200,206,saab
102,67,25,187,199,saab
101,60,21,197,210,saab
101,60,22,192,201,saab
106,64,25,190,205,saab
97,71,24,186,196,saab
88,58,18,184,188,saab
90,59,20,186,192,saab
105,69,25,187,199,saab
86,61,19,182,185,saab
96,58,21,191,200,saab
106,64,23,192,204,saab
91,60,21,188,194,saab
98,61,21,199,208,saab
90,60,19,197,204,saab
97,60,20,198,206,saab
91,64,21,195,205,saab
84,54,19,185,191,saab
107,71,25,189,196,saab
99,63,23,188,197,saab
89,61,20,187,193,saab
89,63,18,193,204,saab
105,60,22,196,205,saab
101,62,22,193,202,saab
109,60,24,189,199,saab
109,63,25,188,199,saab
89,59,20,192,197,saab
119,65,24,192,202,saab
103,56,24,187,196,saab
89,54,19,194,201,saab
82,54,18,183,187,saab
95,64,22,198,211,saab
102,64,23,192,204,saab
109,63,25,187,200,saab
110,66,24,190,203,saab
89,53,18,184,185,saab
95,66,22,190,200,saab
97,59,21,196,205,saab
115,64,25,189,199,saab
100,60,23,189,197,saab
108,62,23,190,200,saab
89,62,19,188,193,saab
90,63,21,189,195,saab
108,65,24,189,197,saab
83,57,18,179,183,saab
110,64,24,188,198,saab
105,63,25,189,203,saab
88,58,18,198,205,saab
95,61,20,196,208,saab
97,63,22,191,199,saab
89,64,20,195,201,saab
91,55,19,184,189,saab
89,58,21,189,196,saab
108,56,25,189,199,saab
103,66,23,191,199,saab
115,62,24,188,197,saab
108,57,25,189,201,saab
99,66,23,191,201,saab
97,71,25,186,200,saab
100,60,21,201,210,saab
94,59,19,193,198,saab
104,66,23,188,196,saab
107,64,23,194,205,saab
97,66,22,190,197,saab
90,55,17,196,202,saab
95,65,22,188,196,saab
80,55,19,180,185,saab
108,73,25,187,197,saab
92,66,19,189,195,saab
96,56,18,202,209,saab
86,59,18,186,190,saab
88,60,21,192,199,saab
91,61,19,193,200,saab
113,62,24,188,199,saab
104,66,24,185,194,saab
83,61,18,180,183,saab
79,55,19,180,183,saab
90,57,17,190,195,saab
96,66,22,189,197,saab
105,61,23,192,200,saab
104,61,24,185,195,saab
84,57,17,183,190,saab
93,63,20,192,197,saab
93,57,19,189,194,saab
86,60,19,196,203,saab
93,64,20,192,199,saab
91,59,20,192,199,saab
91,56,19,195,201,saab
117,65,24,194,205,saab
99,63,22,191,199,saab
107,66,24,188,197,saab
97,59,22,194,206,saab
104,54,24,187,197,saab
105,70,24,189,201,saab
93,64,20,188,195,saab
107,63,25,190,203,saab
108,61,24,190,199,saab
102,67,23,188,197,saab
91,56,19,186,191,saab
111,60,24,190,200,saab
104,61,24,193,207,saab
100,65,23,187,196,saab
108,62,23,189,198,saab
104,65,24,187,198,saab
116,67,24,192,206,saab
109,69,25,188,201,saab
83,55,18,180,184,saab
98,67,23,187,196,saab
86,56,18,183,189,saab
108,64,25,188,199,saab
86,58,18,190,195,saab
90,59,18,201,207,saab
86,60,21,191,199,saab
91,63,21,191,198,saab
103,60,22,198,208,saab
92,57,20,190,195,saab
106,61,24,190,203,saab
93,62,22,195,204,saab
100,59,24,187,198,saab
98,65,23,189,197,saab
106,67,25,187,201,saab
82,53,18,181,182,saab
98,64,20,197,205,saab
82,53,18,180,184,saab
85,59,18,191,195,saab
98,65,20,192,199,saab
88,56,19,188,193,saab
89,62,19,185,189,saab
95,59,20,191,198,saab
81,73,19,183,189,bus
100,70,21,198,199,bus
91,67,19,192,200,bus
102,64,22,195,193,bus
81,69,19,180,185,bus
107,49,28,179,186,bus
80,54,19,179,183,bus
87,75,19,194,201,bus
97,65,19,200,204,bus
83,59,19,185,191,bus
92,71,20,195,202,bus
95,69,21,196,198,bus
98,69,22,194,195,bus
99,62,23,191,190,bus
85,53,19,180,182,bus
86,54,19,180,182,bus
94,69,19,199,206,bus
84,65,19,184,188,bus
85,58,19,181,186,bus
85,103,19,180,183,bus
101,57,26,185,185,bus
96,74,20,196,200,bus
98,63,22,194,197,bus
98,74,22,195,195,bus
97,73,21,197,200,bus
87,51,19,178,182,bus
85,55,19,180,183,bus
94,71,21,197,199,bus
95,73,19,199,204,bus
89,62,19,186,189,bus
83,69,18,188,193,bus
86,56,19,179,182,bus
84,64,19,185,192,bus
83,67,19,182,188,bus
85,56,19,179,182,bus
86,54,19,180,182,bus
81,61,19,182,187,bus
110,57,27,183,183,bus
96,70,20,200,203,bus
87,66,19,186,190,bus
96,70,19,201,205,bus
105,71,22,194,194,bus
81,53,19,179,183,bus
89,66,19,188,195,bus
