@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
88,84,135,55,158,195,van
91,77,153,59,139,209,van
86,58,119,56,129,186,van
89,74,135,59,158,191,van
89,85,147,58,151,197,van
88,53,113,57,128,183,van
93,85,133,54,153,196,van
93,88,170,66,147,206,van
85,47,110,55,122,184,van
93,78,162,64,145,210,van
83,49,112,55,128,184,van
96,80,162,63,148,207,van
97,91,161,63,148,205,van
86,75,136,58,163,192,van
89,70,138,58,128,207,van
85,82,133,56,156,193,van
90,57,114,48,139,182,van
86,70,143,61,130,202,van
93,84,150,63,165,195,van
85,71,150,63,147,196,van
92,66,125,52,143,184,van
92,58,136,58,132,203,van
89,85,144,58,144,197,van
90,85,149,60,155,196,van
92,82,163,63,140,206,van
98,66,130,55,138,194,van
87,81,149,62,152,198,van
89,68,149,60,134,209,van
89,66,125,53,144,191,van
90,75,133,55,161,192,van
89,83,322,133,163,194,van
94,66,151,61,135,208,van
89,51,109,52,129,185,van
86,76,143,59,131,196,van
96,77,160,62,150,208,van
90,62,147,60,141,208,van
90,73,137,58,158,193,van
86,66,139,59,139,208,van
91,66,142,58,142,197,van
91,66,151,63,146,194,van
89,77,125,52,160,191,van
90,73,136,58,153,191,van
93,64,123,51,144,185,van
88,66,133,57,144,198,van
98,68,121,49,142,186,van
86,60,115,54,132,190,van
85,80,154,64,148,199,van
90,85,141,57,167,192,van
88,64,151,62,142,210,van
83,53,114,53,140,183,van
97,66,151,64,129,200,van
90,72,157,64,144,203,van
94,87,162,64,161,195,van
88,58,140,59,130,206,van
93,70,126,52,137,190,van
91,84,141,57,143,199,van
94,91,175,70,155,200,van
93,62,117,49,145,184,van
96,70,120,50,141,183,van
92,66,111,48,140,183,van
89,78,150,63,160,194,van
95,88,162,64,157,198,van
90,66,157,65,146,202,van
95,76,162,66,155,193,van
93,73,139,58,138,188,van
89,74,138,59,133,193,van
93,85,163,66,158,195,van
93,82,145,58,160,194,van
93,78,164,66,140,208,van
94,81,166,67,147,202,van
95,82,170,65,145,207,van
90,78,142,59,160,192,van
89,58,137,58,140,206,van
90,72,157,64,145,209,van
95,85,174,66,144,204,van
98,70,125,52,139,185,van
87,64,150,64,142,201,van
83,59,116,53,137,183,van
94,68,127,54,132,196,van
85,73,167,69,148,199,van
86,58,125,55,134,194,van
94,87,159,64,158,194,van
87,66,139,58,148,196,van
94,82,136,54,149,197,van
93,82,159,63,143,207,van
96,64,111,48,141,184,van
95,92,159,63,157,200,van
93,85,169,66,147,204,van
97,88,173,67,157,200,van
91,64,148,61,142,201,van
90,85,157,64,167,195,van
92,70,124,52,144,185,van
86,44,110,54,121,183,van
84,70,145,62,134,202,van
88,85,139,56,155,195,van
90,81,231,97,149,196,van
82,70,250,105,145,199,van
89,81,147,64,163,193,van
87,53,117,58,125,183,van
89,81,246,102,160,192,van
89,60,131,56,137,199,van
96,88,160,64,148,199,van
90,86,306,126,156,194,van
90,77,132,56,164,191,van
97,87,164,64,149,202,van
96,58,117,51,139,182,van
91,70,133,55,146,194,van
84,80,140,58,157,193,van
85,68,145,60,130,203,van
94,85,333,138,155,196,van
95,84,158,62,148,206,van
93,70,131,56,145,190,van
92,62,144,59,139,210,van
86,68,150,64,143,201,van
96,85,166,66,150,202,van
94,82,137,56,160,192,van
93,83,142,56,155,197,van
89,77,159,65,141,200,van
87,64,150,64,141,201,van
90,78,134,56,167,192,van
85,51,115,56,124,184,van
95,83,178,72,159,197,van
89,85,149,59,158,193,van
86,62,129,59,135,204,van
89,84,163,66,159,197,van
85,66,123,55,128,190,van
93,64,165,69,136,204,van
93,63,139,57,136,201,van
88,84,136,55,150,196,van
90,85,161,64,160,195,van
