@relation vehicle

@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
156,44,160,78,van
158,43,158,75,van
157,44,158,79,van
157,43,161,75,van
136,49,146,78,van
119,57,121,90,van
116,57,125,65,van
159,43,160,76,van
157,43,155,76,van
140,47,148,73,van
131,50,142,65,van
130,51,130,65,van
140,47,150,62,van
132,50,136,67,van
122,54,127,64,van
119,56,132,72,van
127,53,137,71,van
151,45,148,65,van
157,43,155,69,van
119,55,134,61,van
152,44,144,72,van
156,44,165,73,van
132,52,137,84,van
154,44,149,67,van
160,43,161,77,van
156,44,163,76,van
131,52,144,72,van
157,43,150,67,van
134,49,142,71,van
135,51,139,85,van
133,50,142,67,van
151,44,145,72,van
123,55,137,76,van
161,43,163,75,van
147,45,152,70,van
137,48,137,63,van
143,46,148,71,van
142,46,147,70,van
144,46,143,63,van
136,48,134,68,van
160,43,160,73,van
155,44,160,90,van
161,43,158,76,van
156,43,153,74,van
136,49,138,73,van
127,52,132,66,van
118,56,137,65,van
140,49,141,77,van
157,44,164,78,van
145,46,145,64,van
119,56,130,67,van
126,53,144,72,van
129,51,142,68,van
130,53,139,74,van
133,50,135,62,van
120,56,127,82,van
146,46,148,64,van
137,50,141,80,van
155,43,148,69,van
134,50,142,69,van
137,48,144,65,van
157,44,165,77,van
155,43,155,75,van
157,43,155,75,van
137,48,146,72,van
148,44,145,70,van
139,48,140,64,van
159,43,159,72,van
118,57,129,78,van
152,44,155,73,van
130,51,146,70,van
114,58,132,72,van
128,52,129,66,van
136,49,136,67,van
159,43,160,77,van
133,50,134,62,van
155,43,157,76,van
139,50,140,85,van
137,49,140,64,van
154,44,150,73,van
123,55,125,82,van
146,45,144,71,van
133,50,135,69,van
122,54,140,63,van
123,54,144,66,van
139,50,143,81,van
119,57,124,81,van
161,43,159,75,van
159,43,162,75,van
122,55,132,64,van
163,42,160,73,van
140,47,139,67,van
127,52,130,63,van
160,43,163,77,van
139,48,145,99,van
142,47,131,71,van
133,52,139,86,van
131,51,144,73,van
144,46,150,67,van
127,53,145,74,van
137,48,146,67,van
160,43,167,76,van
131,52,145,78,van
151,44,149,71,van
150,45,147,65,van
149,45,157,64,van
150,44,156,75,van
128,53,135,75,van
155,43,149,74,van
158,43,149,66,van
