@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Major_variance numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
82,43,70,231,190,van
93,43,88,164,196,van
89,40,77,168,190,van
89,45,81,200,183,van
90,46,80,169,185,van
90,48,78,173,183,van
88,43,84,174,185,van
98,44,88,173,194,van
90,43,72,158,201,van
93,46,85,169,195,van
83,40,53,142,176,van
88,41,80,169,188,van
96,44,85,167,192,van
90,43,81,200,186,van
93,43,85,174,184,van
90,47,73,172,183,van
90,47,85,175,186,van
85,36,51,139,181,van
97,47,87,173,192,van
90,49,85,173,182,van
84,37,70,159,194,van
96,46,88,173,194,van
89,46,84,173,186,van
86,39,60,140,200,van
95,41,82,163,199,van
89,47,83,229,184,van
89,38,74,167,189,van
85,47,75,168,182,van
92,41,66,160,182,van
88,37,51,135,179,van
88,35,60,147,202,van
91,43,70,159,190,van
91,41,66,159,191,van
98,38,66,160,191,van
86,43,68,161,192,van
94,45,85,170,187,van
87,45,66,168,188,van
89,47,85,175,186,van
87,36,53,138,180,van
90,46,73,170,182,van
91,44,66,166,188,van
93,41,79,165,195,van
91,37,76,157,191,van
88,44,84,176,183,van
89,36,51,137,181,van
93,42,64,163,192,van
86,37,60,141,186,van
96,46,88,173,192,van
89,41,63,148,186,van
93,44,90,170,194,van
90,46,75,173,182,van
83,37,49,144,180,van
93,46,82,180,183,van
84,37,53,141,179,van
95,49,82,173,182,van
94,46,91,172,190,van
94,49,87,179,183,van
90,48,77,169,182,van
89,36,68,153,201,van
96,39,58,154,181,van
93,47,85,179,184,van
89,47,81,170,184,van
95,43,76,173,187,van
96,45,80,161,199,van
93,43,78,156,203,van
89,37,51,138,181,van
89,36,68,166,189,van
90,43,66,162,193,van
85,35,64,138,196,van
96,39,77,161,201,van
92,43,70,164,183,van
98,38,70,157,186,van
85,45,71,171,187,van
86,44,78,168,190,van
91,43,88,165,197,van
90,44,69,165,187,van
92,38,60,135,190,van
94,45,85,174,189,van
85,45,82,170,183,van
94,42,68,154,192,van
96,45,87,167,192,van
87,37,52,135,186,van
89,42,66,162,188,van
94,45,81,164,194,van
90,39,57,155,183,van
92,40,66,159,182,van
91,41,64,161,194,van
86,36,70,153,194,van
96,39,64,160,183,van
86,38,76,167,189,van
94,50,84,171,182,van
94,37,72,161,192,van
91,36,60,139,192,van
93,37,70,156,191,van
88,42,64,150,203,van
86,38,58,140,184,van
86,37,69,163,189,van
89,46,77,171,183,van
91,41,84,170,189,van
85,36,66,140,186,van
93,48,84,171,185,van
96,40,70,162,183,van
97,45,88,173,192,van
90,41,62,149,201,van
85,45,80,169,188,van
98,39,68,164,186,van
91,42,80,171,189,van
89,40,79,168,188,van
89,40,60,143,193,van
88,34,58,148,199,van
93,36,63,158,193,van
87,42,64,157,193,van
89,47,84,169,182,van
98,39,68,159,186,van
89,45,85,177,183,van
94,48,83,177,185,van
94,49,82,176,183,van
86,40,66,145,202,van
89,42,89,170,187,van
95,46,76,175,184,van
90,47,85,179,185,van
91,38,70,162,192,van
89,42,85,173,187,van
86,35,44,139,180,van
94,47,85,320,188,van
95,48,83,176,187,van
95,42,85,168,196,van
85,35,47,136,180,van
83,37,62,143,181,van
90,48,81,173,185,van
95,38,66,158,184,van
97,41,62,158,184,van
89,35,70,147,199,van
93,45,83,180,184,van
85,37,68,150,195,van
93,41,75,164,184,van
93,47,85,172,183,van
95,46,92,176,189,van
90,48,78,172,184,van
94,36,68,155,195,van
93,40,73,166,187,van
93,41,82,160,199,van
86,39,58,140,190,van
89,43,85,173,185,van
89,44,76,163,184,van
94,36,66,154,201,van
89,46,78,170,185,van
93,39,78,157,201,van
100,46,90,170,192,van
90,48,85,175,185,van
98,44,78,160,201,van
86,39,62,137,199,van
83,45,73,169,191,van
94,43,82,176,186,van
89,41,84,172,188,van
85,39,68,148,182,van
84,44,80,166,183,van
89,47,80,175,182,van
92,35,58,142,197,van
90,42,63,154,197,van
100,46,85,176,189,van
87,47,81,171,188,van
91,39,82,164,191,van
88,36,53,137,180,van
94,49,87,178,183,van
87,40,81,167,189,van
93,40,62,160,184,van
88,44,85,176,184,van
89,46,74,170,184,van
95,44,84,163,199,van
86,48,75,170,183,van
90,48,78,169,182,van
89,44,70,168,186,van
84,37,70,156,196,van
91,42,66,163,191,van
95,47,88,176,189,van
90,47,85,177,185,van
93,42,70,156,189,van
92,40,62,149,204,van
109,54,109,226,189,saab
102,51,104,220,188,saab
112,50,110,232,191,saab
106,53,98,224,188,saab
103,49,100,202,198,saab
85,40,75,173,182,saab
95,53,95,220,188,saab
89,43,77,163,194,saab
98,47,109,207,194,saab
95,47,81,196,191,saab
94,40,85,184,200,saab
96,45,101,218,189,saab
119,54,106,223,192,saab
91,36,77,177,195,saab
92,45,76,184,190,saab
91,45,79,184,199,saab
108,52,109,229,189,saab
88,37,63,141,184,saab
86,40,63,152,187,saab
105,51,105,207,196,saab
88,37,57,151,180,saab
104,53,108,226,188,saab
104,51,108,232,190,saab
105,53,108,226,189,saab
88,38,58,163,180,saab
90,34,66,165,201,saab
100,47,88,186,201,saab
101,55,108,229,188,saab
98,51,96,207,191,saab
94,46,77,181,193,saab
99,43,89,210,191,saab
107,54,96,221,187,saab
108,49,109,229,190,saab
94,38,88,188,195,saab
87,38,71,158,181,saab
117,52,110,228,194,saab
96,37,74,183,190,saab
91,39,72,170,184,saab
93,42,98,206,189,saab
102,48,105,214,192,saab
107,53,108,216,194,saab
89,38,82,179,187,saab
86,36,78,155,190,saab
98,48,101,216,189,saab
84,44,77,175,183,saab
87,41,66,164,181,saab
105,53,105,224,186,saab
101,48,85,192,197,saab
98,42,90,189,199,saab
111,50,103,223,190,saab
107,54,98,229,187,saab
102,54,106,228,189,saab
96,40,100,205,192,saab
89,38,80,186,192,saab
108,56,103,232,187,saab
108,51,100,214,194,saab
86,41,66,155,183,saab
78,38,63,162,181,saab
109,53,103,229,188,saab
100,54,102,224,187,saab
82,37,59,151,179,saab
105,45,100,214,192,saab
93,51,90,211,189,saab
97,41,88,192,196,saab
108,54,105,216,190,saab
101,51,98,219,192,saab
89,48,85,188,195,saab
98,39,81,184,197,saab
109,47,96,219,190,saab
107,55,103,221,187,saab
89,45,77,190,194,saab
104,53,108,226,189,saab
113,53,93,221,188,saab
97,42,101,208,194,saab
105,54,100,232,187,saab
109,54,103,229,187,saab
90,39,89,200,189,saab
100,43,92,200,195,saab
93,44,98,202,195,saab
84,36,75,166,189,saab
90,36,57,137,190,saab
89,38,77,174,188,saab
116,53,110,231,192,saab
115,51,100,207,198,saab
86,40,66,162,186,saab
115,53,100,229,189,saab
93,45,81,180,192,saab
89,42,80,166,185,saab
110,46,100,209,194,saab
97,45,76,180,198,saab
91,43,72,168,186,saab
110,53,104,223,190,saab
104,51,105,220,187,saab
105,54,108,226,189,saab
99,48,104,221,188,saab
105,51,108,232,189,saab
107,51,103,226,188,saab
91,39,88,197,191,saab
90,37,80,172,201,saab
88,48,90,200,192,saab
109,49,109,225,191,saab
98,38,78,197,192,saab
101,46,105,213,192,saab
79,38,55,153,180,saab
100,52,104,220,187,saab
85,33,40,130,181,saab
104,54,100,225,185,saab
92,37,86,181,190,saab
106,49,106,224,190,saab
102,55,101,226,187,saab
104,55,100,224,185,saab
82,36,54,146,180,saab
89,40,89,202,189,saab
101,51,112,223,190,saab
82,36,51,150,181,saab
106,54,101,228,187,saab
100,46,81,189,198,saab
98,50,90,195,193,saab
96,41,69,162,202,saab
85,33,50,136,179,saab
83,36,54,143,179,saab
106,48,107,227,190,saab
106,53,98,235,187,saab
92,46,83,185,186,saab
107,54,108,223,190,saab
85,40,72,159,191,saab
105,54,106,217,189,saab
109,54,103,229,188,saab
104,50,106,223,188,saab
91,40,98,194,195,saab
106,52,101,214,192,saab
103,53,106,220,187,saab
91,36,83,163,193,saab
96,50,94,214,193,saab
104,55,107,232,188,saab
91,40,83,189,186,saab
91,38,75,165,186,saab
104,54,101,218,187,saab
96,40,78,197,191,saab
112,50,104,223,191,saab
109,53,109,226,188,saab
111,53,108,217,196,saab
97,44,96,202,191,saab
104,53,101,218,188,saab
87,37,60,154,186,saab
93,37,76,191,192,saab
93,39,63,149,198,saab
92,38,71,181,189,saab
88,45,82,180,188,saab
95,45,105,202,198,saab
92,36,78,169,203,saab
86,40,62,165,180,saab
97,55,104,222,186,saab
80,38,63,168,180,saab
86,38,86,191,191,saab
108,53,103,224,188,saab
109,52,104,220,189,saab
103,51,105,222,187,saab
106,52,108,229,190,saab
84,35,53,135,183,saab
97,53,105,226,186,saab
90,50,90,211,191,saab
107,53,108,228,190,saab
104,50,96,207,195,saab
89,47,83,189,187,saab
90,39,85,189,186,saab
93,39,86,186,197,saab
83,37,54,152,180,saab
93,39,87,200,188,saab
99,53,105,221,191,saab
97,44,95,216,190,saab
93,43,76,172,189,saab
98,55,104,223,187,saab
84,38,83,177,185,saab
101,56,101,232,187,saab
85,38,75,171,183,saab
115,52,100,229,188,saab
110,51,104,226,191,saab
107,54,98,221,188,saab
89,36,69,164,193,saab
110,54,102,222,188,saab
103,46,106,217,191,saab
89,35,52,139,181,saab
90,36,85,187,195,saab
92,37,80,180,190,saab
86,36,77,174,196,saab
91,39,83,190,192,saab
86,41,64,165,182,saab
113,48,98,216,193,saab
90,43,72,174,203,saab
108,54,103,228,189,saab
91,36,72,166,196,saab
94,43,69,175,193,saab
90,34,66,148,196,saab
89,37,54,151,184,saab
101,52,101,208,193,saab
81,43,68,172,180,bus
89,41,76,181,191,bus
85,44,66,170,180,bus
87,43,65,169,180,bus
81,45,68,186,180,bus
109,55,96,267,184,bus
86,46,70,170,183,bus
89,44,68,171,179,bus
109,55,102,265,184,bus
103,52,103,254,183,bus
107,57,106,275,181,bus
86,42,64,170,179,bus
95,47,73,184,200,bus
83,41,70,168,188,bus
85,45,70,171,181,bus
95,36,73,184,199,bus
96,49,98,228,188,bus
84,43,70,173,181,bus
90,41,71,175,192,bus
93,37,73,175,196,bus
101,53,91,231,192,bus
98,35,70,184,202,bus
97,47,88,214,192,bus
86,44,70,170,181,bus
79,43,72,175,182,bus
87,44,65,170,179,bus
92,37,75,180,195,bus
102,51,92,247,188,bus
87,43,70,177,184,bus
97,37,70,167,201,bus
84,44,65,169,179,bus
80,43,71,170,180,bus
83,46,71,174,181,bus
98,46,77,184,200,bus
81,42,63,166,179,bus
80,44,68,170,180,bus
83,46,68,172,185,bus
91,40,76,169,192,bus
89,40,72,175,192,bus
81,45,68,167,179,bus
91,42,66,169,201,bus
96,47,77,188,199,bus
81,43,68,175,182,bus
92,45,74,179,195,bus
106,53,98,263,185,bus
85,42,66,173,180,bus
85,44,70,241,180,bus
87,39,70,164,192,bus
114,57,102,287,182,bus
113,57,109,288,182,bus
86,46,73,170,180,bus
86,43,68,179,188,bus
107,55,103,269,179,bus
94,43,64,169,199,bus
94,37,73,171,197,bus
85,43,69,178,181,bus
96,43,82,215,195,bus
100,51,89,219,193,bus
87,41,76,171,188,bus
93,45,86,203,194,bus
85,42,59,166,179,bus
94,44,70,171,199,bus
96,46,74,185,196,bus
84,42,76,179,187,bus
101,56,104,275,180,bus
98,38,70,189,200,bus
87,44,70,167,194,bus
94,39,75,175,192,bus
87,42,70,177,185,bus
85,43,66,169,179,bus
78,43,70,169,181,bus
92,39,76,179,195,bus
82,41,70,172,187,bus
96,37,74,188,196,bus
96,44,68,179,202,bus
88,44,70,163,196,bus
86,42,65,169,179,bus
97,38,75,199,197,bus
85,43,64,168,180,bus
82,45,68,169,181,bus
100,50,81,206,197,bus
96,41,77,205,196,bus
95,43,83,189,196,bus
106,54,105,269,181,bus
107,55,98,258,186,bus
99,51,88,222,191,bus
81,46,71,177,182,bus
94,45,72,181,193,bus
105,51,80,214,194,bus
84,43,76,180,185,bus
85,42,66,172,180,bus
80,43,68,171,179,bus
99,48,79,202,195,bus
107,57,102,243,187,bus
82,43,73,181,183,bus
89,44,72,166,191,bus
82,44,72,174,180,bus
100,49,80,206,198,bus
86,45,73,170,189,bus
80,45,71,171,181,bus
92,37,75,184,198,bus
81,43,68,169,179,bus
101,54,106,256,185,bus
87,39,74,173,195,bus
85,43,66,166,179,bus
81,44,72,180,182,bus
86,44,65,168,178,bus
87,41,73,175,190,bus
85,45,65,170,179,bus
88,40,78,185,193,bus
101,42,62,169,202,bus
88,40,73,174,196,bus
94,43,68,164,198,bus
110,58,106,278,181,bus
100,36,73,189,200,bus
82,43,73,178,185,bus
91,45,76,170,195,bus
79,47,74,175,183,bus
85,42,66,169,180,bus
102,45,83,225,193,bus
100,48,95,216,192,bus
86,45,71,167,189,bus
89,40,76,174,193,bus
80,43,68,169,179,bus
82,44,72,181,183,bus
108,57,106,285,182,bus
81,47,69,171,183,bus
81,45,68,173,183,bus
102,45,85,217,195,bus
93,47,84,190,198,bus
93,49,79,189,197,bus
85,43,66,168,179,bus
90,38,75,168,195,bus
89,44,70,164,193,bus
98,49,84,208,195,bus
83,44,70,166,188,bus
84,45,66,168,184,bus
82,45,68,169,181,bus
100,47,70,179,200,bus
88,46,74,180,189,bus
86,42,65,175,179,bus
81,44,68,170,179,bus
86,45,71,172,187,bus
82,44,63,166,179,bus
87,46,71,175,186,bus
85,41,66,173,184,bus
