@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R5,10-11,13-14,19'

@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
66,158,223,220,73,saab
69,169,227,223,74,opel
64,146,217,163,76,bus
55,130,168,158,83,saab
61,129,186,130,63,opel
70,186,225,218,70,opel
59,132,167,136,80,opel
69,169,226,212,72,saab
56,144,168,173,82,bus
53,127,151,146,79,saab
49,142,164,134,75,van
58,130,141,145,74,saab
56,145,156,152,74,van
57,146,170,180,66,opel
59,172,223,217,73,opel
73,134,185,148,73,bus
56,142,177,173,81,bus
55,175,219,224,74,opel
62,135,191,121,63,opel
68,138,175,157,71,bus
56,155,176,175,76,van
57,177,225,211,71,opel
65,157,179,178,76,van
56,126,177,123,65,saab
60,169,224,218,73,saab
61,158,211,220,69,saab
64,138,172,152,72,bus
69,170,232,202,73,saab
56,143,169,171,85,bus
61,158,197,180,62,opel
54,151,163,176,76,van
58,171,224,203,71,opel
60,131,163,157,86,saab
60,144,181,174,70,opel
59,152,196,185,67,saab
64,142,168,180,75,bus
59,163,232,203,72,saab
53,126,146,128,78,saab
68,136,189,129,71,bus
53,131,165,149,69,saab
61,152,227,193,71,opel
58,153,172,185,77,van
68,137,164,158,68,van
62,161,218,200,67,opel
70,156,206,198,73,bus
54,159,254,206,83,bus
62,148,190,193,67,opel
56,129,184,140,67,opel
57,156,212,186,65,opel
67,149,173,154,66,van
75,167,264,228,82,bus
54,147,169,175,87,bus
55,139,170,166,71,opel
60,153,192,187,62,saab
53,145,173,163,85,bus
57,125,138,123,65,van
55,141,215,162,75,bus
66,140,157,126,64,van
56,143,158,157,78,van
64,148,173,182,70,van
67,158,214,214,67,saab
64,160,177,185,73,van
66,164,223,210,67,saab
70,155,172,192,69,van
60,148,214,201,74,bus
63,159,214,201,65,saab
70,131,184,127,71,bus
58,166,228,191,71,opel
65,164,224,240,72,saab
72,144,171,178,67,bus
68,148,173,182,69,van
62,145,178,179,84,bus
57,170,171,187,77,van
47,164,263,222,82,bus
64,144,175,171,80,bus
63,172,219,219,75,opel
56,164,169,187,78,van
69,147,186,186,88,bus
64,167,175,186,74,van
65,145,163,140,64,van
57,133,185,157,74,opel
56,148,185,184,71,saab
60,148,181,181,67,saab
58,124,155,148,66,saab
55,128,140,131,73,van
