@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
88,149,157,64,van
66,139,143,81,van
53,123,125,82,van
72,137,144,65,van
64,135,144,78,van
70,127,137,71,van
85,155,155,135,van
71,143,147,72,van
57,114,135,64,van
78,160,167,76,van
66,123,144,66,van
88,150,147,65,van
66,137,146,67,van
81,147,152,72,van
82,155,149,74,van
85,152,155,73,van
81,150,156,75,van
60,128,129,62,van
84,149,145,72,van
87,157,158,75,van
62,130,143,78,van
85,161,167,74,van
87,158,162,75,van
62,122,129,79,van
55,132,139,87,van
80,159,156,74,van
68,128,143,69,van
66,131,144,73,van
81,146,139,70,van
64,133,142,67,van
70,126,128,64,van
84,157,160,74,van
76,151,149,71,van
68,139,130,73,van
76,156,151,76,van
91,157,155,69,van
80,148,145,70,van
77,157,164,78,van
51,119,128,86,van
62,122,127,64,van
69,135,145,75,van
70,130,146,70,van
84,149,143,72,van
85,163,160,73,van
81,155,160,90,van
59,132,137,84,van
84,156,165,73,van
87,156,149,68,van
78,160,160,76,van
60,119,134,61,van
68,134,142,75,van
82,159,160,76,van
80,146,144,71,van
70,127,145,74,van
58,122,140,63,van
60,118,137,65,van
60,119,130,67,van
75,140,141,77,van
68,130,130,65,van
88,157,157,67,van
66,128,129,66,van
87,154,149,67,van
53,118,125,85,van
91,151,148,65,van
70,136,134,68,van
82,159,162,75,van
49,122,128,85,van
51,118,129,80,van
85,155,157,76,van
70,139,145,99,van
74,157,158,79,van
66,137,146,72,van
81,145,147,66,van
84,156,170,77,van
82,145,145,64,van
68,127,132,66,van
66,133,135,62,van
78,160,160,73,van
64,129,142,68,van
70,139,144,79,van
68,128,135,75,van
89,151,145,72,van
70,137,140,64,van
85,163,163,71,van
64,130,142,63,van
70,133,130,66,van
77,156,160,78,van
85,158,158,75,van
76,142,131,71,van
83,157,155,75,van
85,159,167,75,van
75,157,165,77,van
70,140,139,67,van
66,134,142,69,van
90,153,156,66,van
80,160,163,77,van
72,136,145,64,van
66,126,144,72,van
66,122,139,63,van
76,162,155,74,van
58,118,129,78,van
88,158,149,66,van
85,153,151,74,van
70,136,146,78,van
62,116,135,64,van
66,120,128,73,van
66,131,127,66,van
73,142,144,71,van
68,138,143,69,van
47,117,122,89,van
85,156,158,74,van
57,135,139,85,van
66,130,138,69,van
64,134,141,80,van
84,159,159,72,van
66,140,148,73,van
84,145,148,64,van
64,133,141,67,van
82,146,140,64,van
77,144,141,70,van
81,150,149,91,van
44,119,121,90,van
82,159,160,77,van
58,117,134,69,van
60,119,132,72,van
80,146,148,64,van
73,161,158,76,van
88,159,157,71,van
85,157,155,76,van
53,118,128,88,van
53,132,140,86,van
78,147,152,70,van
85,155,150,67,van
84,155,158,75,van
63,131,142,65,van
85,155,151,72,van
62,131,145,78,van
60,114,132,72,van
82,144,143,63,van
52,115,126,74,van
85,158,157,68,van
78,142,147,70,van
78,161,159,75,van
51,119,124,81,van
85,151,147,67,van
66,139,140,85,van
76,137,137,63,van
78,142,148,63,van
85,153,144,65,van
85,157,156,73,van
80,156,157,74,van
64,136,136,67,van
85,155,153,75,van
73,136,138,73,van
68,131,144,72,van
79,144,139,71,van
70,137,141,80,van
82,143,137,68,van
87,157,161,75,van
86,153,156,118,van
83,156,153,74,van
77,139,139,62,van
78,139,140,64,van
58,122,132,64,van
77,140,150,62,van
75,161,163,75,van
85,155,155,75,van
73,161,153,77,van
82,159,156,76,van
64,134,142,71,van
62,128,141,61,van
58,133,139,86,van
64,116,125,65,van
88,155,148,69,van
63,132,136,67,van
92,160,157,70,van
88,151,148,70,van
73,143,148,71,van
51,120,127,82,van
100,197,158,70,saab
66,136,136,74,saab
63,146,130,83,saab
100,181,134,68,saab
74,159,134,69,saab
100,216,173,74,saab
105,210,163,73,saab
108,219,168,69,saab
66,132,127,72,saab
105,202,164,68,saab
78,169,136,67,saab
101,192,143,73,saab
90,183,156,70,saab
81,160,147,70,saab
106,207,164,71,saab
66,123,118,65,saab
80,154,129,69,saab
100,198,149,67,saab
101,186,138,67,saab
72,150,133,63,saab
94,187,158,67,saab
103,219,172,70,saab
55,142,128,81,saab
90,175,152,68,saab
101,188,162,67,saab
82,153,129,70,saab
109,216,171,72,saab
101,222,173,70,saab
77,158,148,67,saab
108,221,168,73,saab
106,208,158,68,saab
79,163,148,62,saab
104,204,162,68,saab
77,149,129,71,saab
75,152,134,76,saab
66,137,133,74,saab
104,208,163,70,saab
108,218,170,67,saab
103,221,174,73,saab
86,170,134,68,saab
69,140,131,66,saab
108,220,172,71,saab
104,197,147,73,saab
85,169,139,61,saab
103,206,155,72,saab
109,221,169,72,saab
106,207,158,73,saab
76,157,149,63,saab
104,215,162,67,saab
72,146,132,77,saab
108,217,168,67,saab
80,144,139,74,saab
77,155,126,65,saab
96,198,150,70,saab
100,217,165,72,saab
101,201,158,65,saab
83,164,150,72,saab
104,211,164,67,saab
50,115,118,83,saab
98,177,135,66,saab
54,128,125,82,saab
66,148,136,79,saab
105,221,167,70,saab
77,144,146,64,saab
66,142,137,77,saab
95,193,160,71,saab
98,203,151,64,saab
86,167,134,63,saab
90,181,158,69,saab
105,204,165,68,saab
106,208,166,69,saab
96,185,144,66,saab
105,211,168,71,saab
63,142,130,77,saab
72,154,144,61,saab
101,213,166,74,saab
108,215,168,68,saab
83,169,132,67,saab
83,142,128,63,saab
90,178,144,61,saab
76,159,147,69,saab
54,135,127,85,saab
83,160,148,71,saab
104,211,171,74,saab
88,171,155,59,saab
81,168,152,67,saab
103,208,162,71,saab
85,175,153,62,saab
100,185,160,62,saab
77,150,128,66,saab
100,221,170,73,saab
93,216,165,72,saab
53,116,121,70,saab
104,206,167,72,saab
71,157,134,63,saab
89,186,144,68,saab
101,197,152,68,saab
81,166,138,62,saab
60,128,129,71,saab
89,177,133,70,saab
53,116,123,76,saab
109,212,159,71,saab
72,132,135,68,saab
77,140,142,64,saab
69,152,143,67,saab
103,222,175,71,saab
80,161,131,68,saab
69,141,141,61,saab
104,201,152,73,saab
101,213,168,72,saab
76,149,143,69,saab
101,217,171,72,saab
40,112,119,86,saab
58,148,131,86,saab
75,144,131,69,saab
105,191,162,64,saab
52,122,125,82,saab
100,214,173,74,saab
100,220,166,71,saab
83,149,132,74,saab
83,176,154,70,saab
85,160,125,66,saab
74,151,136,70,saab
57,121,127,68,saab
71,154,133,70,saab
108,222,168,71,saab
104,191,148,68,saab
77,161,151,66,saab
96,218,170,71,saab
109,220,174,70,saab
81,166,154,63,saab
66,140,124,61,saab
88,175,140,63,saab
107,207,153,70,saab
106,203,149,70,saab
98,195,161,67,saab
88,170,131,66,saab
54,125,126,78,saab
83,160,133,72,saab
103,220,168,73,saab
77,152,143,77,saab
103,211,156,68,saab
78,135,124,66,saab
110,217,165,67,saab
63,133,135,70,saab
110,214,159,71,saab
105,208,162,72,saab
104,219,172,71,saab
105,198,150,66,saab
88,175,132,69,saab
101,222,177,71,saab
109,214,169,68,saab
89,175,132,70,saab
102,198,164,72,saab
98,183,146,64,saab
76,164,134,67,saab
108,217,163,72,saab
78,174,139,68,saab
75,147,131,75,saab
110,212,163,66,saab
108,207,167,64,saab
71,137,127,75,saab
103,214,167,70,saab
63,125,130,74,saab
108,206,163,65,saab
74,157,128,61,saab
108,220,163,72,saab
98,218,169,71,saab
100,196,159,65,saab
103,219,172,71,saab
95,188,144,72,saab
83,172,134,72,saab
72,133,123,63,saab
98,216,171,74,saab
105,207,157,64,saab
72,149,140,72,saab
85,169,153,64,saab
54,134,127,79,saab
105,201,152,64,saab
98,185,138,70,saab
87,169,134,72,saab
82,154,149,69,saab
108,215,168,71,saab
64,150,138,80,saab
85,163,131,71,saab
101,213,172,74,saab
51,135,126,86,saab
104,220,167,72,saab
105,187,150,64,saab
102,213,171,73,saab
54,129,127,81,saab
107,218,173,71,saab
106,213,167,66,saab
88,173,151,66,saab
98,215,169,73,saab
92,180,143,64,saab
81,186,158,74,bus
88,192,147,73,bus
68,151,146,75,bus
77,177,134,74,bus
91,202,148,79,bus
98,225,165,79,bus
68,150,147,81,bus
101,238,163,85,bus
68,150,145,80,bus
70,146,141,69,bus
70,149,142,78,bus
77,177,139,72,bus
66,148,145,87,bus
68,151,147,88,bus
65,152,141,85,bus
66,150,146,83,bus
79,185,153,74,bus
69,150,144,87,bus
66,149,145,85,bus
70,141,143,66,bus
75,154,131,71,bus
