@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,4,6,9'

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.11,0.1675,10
I,0.085,0.095,7
F,0.175,0.815,19
F,0.155,0.5305,16
I,0.05,0.0175,4
F,0.12,0.2135,10
M,0.14,0.38,14
F,0.165,0.507,10
M,0.145,0.328,15
I,0.085,0.103,7
F,0.09,0.085,7
I,0.065,0.04,7
F,0.19,0.5065,10
F,0.16,0.37,10
M,0.13,0.32,10
M,0.16,0.432,15
I,0.12,0.1265,7
F,0.13,0.1305,8
I,0.065,0.026,5
M,0.18,0.4205,13
F,0.17,0.295,10
M,0.105,0.0905,9
F,0.155,0.315,18
I,0.09,0.0885,8
F,0.195,0.598,16
F,0.195,0.406,15
F,0.205,0.4775,14
M,0.17,0.509,16
F,0.15,0.4085,16
M,0.145,0.33,10
M,0.145,0.2385,8
M,0.16,0.3995,19
I,0.1,0.122,13
I,0.095,0.0915,14
F,0.19,0.283,9
M,0.185,0.329,13
M,0.185,0.354,16
M,0.14,0.3485,11
I,0.105,0.0695,9
I,0.07,0.026,6
I,0.055,0.0215,5
I,0.05,0.008,5
M,0.155,0.3605,17
M,0.13,0.357,13
F,0.155,0.5345,11
M,0.175,0.486,15
F,0.18,0.3665,12
I,0.155,0.3005,16
M,0.05,0.0155,3
F,0.13,0.192,13
I,0.16,0.495,17
I,0.155,0.4145,13
I,0.145,0.267,13
F,0.115,0.165,11
F,0.155,0.382,20
I,0.15,0.376,14
M,0.14,0.164,14
F,0.115,0.111,9
I,0.145,0.369,12
F,0.14,0.1525,12
M,0.075,0.0455,9
M,0.055,0.018,7
I,0.115,0.223,9
I,0.12,0.193,11
I,0.09,0.0595,6
M,0.155,0.2775,13
F,0.18,0.158,22
F,0.115,0.1475,11
M,0.13,0.2405,11
M,0.12,0.298,15
M,0.135,0.2855,14
M,0.09,0.143,10
M,0.14,0.2485,9
F,0.165,0.369,13
M,0.135,0.1675,9
M,0.11,0.157,9
F,0.125,0.2125,15
M,0.13,0.3375,8
M,0.125,0.4815,9
M,0.15,0.3895,9
