@relation abalone

@attribute Height numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.145,0.179,15
0.145,0.1375,15
0.185,0.217,15
0.135,0.1585,15
0.16,0.164,15
0.12,0.161,15
0.14,0.1505,15
0.2,0.2035,15
0.14,0.1415,15
0.13,0.1635,15
0.19,0.303,15
0.14,0.238,15
0.225,0.221,15
0.145,0.283,15
0.145,0.1,15
0.2,0.318,15
0.175,0.3705,15
0.14,0.18,15
0.185,0.318,15
0.18,0.4005,15
0.175,0.216,15
0.145,0.121,15
0.17,0.297,15
0.15,0.14,15
0.125,0.1045,15
0.135,0.096,15
0.15,0.3065,15
0.13,0.243,15
0.15,0.202,15
0.185,0.1585,15
0.145,0.153,15
0.165,0.2425,15
0.225,0.3335,15
0.13,0.1505,15
0.115,0.291,15
0.145,0.209,15
0.18,0.219,15
0.16,0.296,15
0.17,0.1905,15
0.105,0.116,15
0.15,0.212,15
0.185,0.3205,15
0.17,0.212,15
0.145,0.1635,15
0.115,0.057,15
0.175,0.247,15
0.175,0.259,15
0.175,0.48,15
0.17,0.3045,15
0.23,0.372,15
0.095,0.101,15
0.185,0.2785,15
0.185,0.2325,15
0.21,0.2835,15
0.12,0.167,15
0.175,0.4105,15
0.16,0.158,15
0.165,0.2205,15
0.18,0.3705,15
0.15,0.221,15
0.165,0.2805,15
0.18,0.2805,15
0.19,0.3425,15
0.14,0.224,15
0.14,0.1075,15
0.2,0.2035,15
0.165,0.2775,15
0.16,0.164,15
0.135,0.1675,15
0.185,0.2435,15
0.12,0.2015,15
0.165,0.204,15
0.15,0.2235,15
0.175,0.2065,15
0.2,0.4255,15
0.175,0.183,15
0.19,0.2655,15
0.19,0.306,15
0.16,0.142,15
0.195,0.346,15
0.125,0.1765,15
0.175,0.2325,15
0.225,0.2145,15
0.16,0.2565,15
0.14,0.146,15
0.145,0.262,15
0.135,0.133,15
0.14,0.1015,15
0.16,0.2295,15
0.13,0.2065,15
0.195,0.44,15
0.145,0.1685,15
0.155,0.2505,15
0.16,0.236,7
0.105,0.1005,7
0.095,0.056,7
0.125,0.13,7
0.185,0.142,7
0.07,0.0335,7
0.095,0.072,7
0.095,0.0575,7
0.09,0.063,7
0.095,0.059,7
0.115,0.071,7
0.055,0.0275,7
0.1,0.082,7
0.095,0.0585,7
0.09,0.051,7
0.095,0.045,7
0.09,0.065,7
0.11,0.0835,7
0.08,0.0355,7
0.075,0.0315,7
0.105,0.056,7
0.09,0.0415,7
0.11,0.118,7
0.11,0.0985,7
0.105,0.104,7
0.135,0.047,7
0.145,0.166,7
0.125,0.1435,7
0.1,0.1,7
0.125,0.082,7
0.1,0.0755,7
0.09,0.067,7
0.125,0.126,7
0.115,0.17,7
0.075,0.0255,7
0.11,0.0755,7
0.075,0.0275,7
0.1,0.08,7
0.13,0.127,7
0.07,0.0395,7
0.1,0.054,7
0.09,0.0335,7
0.12,0.0885,7
0.105,0.1395,7
0.095,0.094,7
0.14,0.182,7
0.11,0.0525,7
0.115,0.0765,7
0.08,0.024,7
0.1,0.07,7
0.11,0.083,7
0.115,0.119,7
0.12,0.11,7
0.1,0.053,7
0.1,0.0825,7
0.095,0.08,7
0.115,0.118,7
0.11,0.0715,7
0.135,0.0855,7
0.11,0.0705,7
0.11,0.0885,7
0.1,0.08,7
0.085,0.0345,7
0.11,0.096,7
0.08,0.0385,7
0.15,0.203,7
0.125,0.159,7
0.075,0.038,7
0.1,0.057,7
0.13,0.1585,7
0.09,0.0425,7
0.08,0.0345,7
0.135,0.1435,7
0.11,0.09,7
0.1,0.1075,7
0.1,0.045,7
0.08,0.0345,7
0.1,0.099,7
0.14,0.1715,7
0.09,0.053,7
0.1,0.0465,7
0.125,0.13,7
0.085,0.0465,7
0.125,0.166,7
0.135,0.129,7
0.12,0.11,7
0.15,0.157,7
