@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.4,0.823,15
M,0.56,1.494,15
I,0.38,0.523,15
F,0.475,1.0185,15
F,0.48,1.0675,15
I,0.525,1.6935,15
F,0.5,1.626,15
F,0.4,0.6245,15
F,0.56,1.639,15
M,0.43,1.0615,15
M,0.44,0.744,15
M,0.495,1.5145,15
M,0.47,1.105,15
M,0.385,0.6775,15
M,0.365,0.514,15
M,0.495,1.2415,15
M,0.545,1.2425,15
M,0.4,0.7775,15
M,0.52,1.676,15
I,0.455,0.8435,15
F,0.4,0.759,15
M,0.405,1.2565,15
F,0.545,1.5415,15
M,0.45,0.922,15
M,0.48,1.467,15
M,0.53,1.3905,15
M,0.455,1.055,15
M,0.44,1.092,15
M,0.465,0.995,15
F,0.435,1.106,15
M,0.5,1.1045,15
F,0.47,1.0325,15
M,0.49,1.153,15
F,0.4,0.6515,15
I,0.35,0.525,15
M,0.435,0.843,15
M,0.475,0.9365,15
F,0.38,0.605,15
F,0.55,1.6885,15
F,0.47,1.031,15
M,0.44,0.909,15
M,0.47,1.114,15
F,0.54,1.5715,15
M,0.39,0.592,15
F,0.45,1.0035,15
F,0.46,1.094,15
F,0.41,0.657,15
M,0.42,0.72,15
F,0.44,1.0905,15
F,0.54,1.221,15
M,0.435,0.883,15
I,0.36,0.498,15
M,0.435,0.858,15
M,0.45,1.011,15
M,0.51,1.598,15
F,0.405,0.829,15
F,0.47,1.115,15
F,0.475,1.0075,15
M,0.535,1.791,15
F,0.515,1.2415,15
M,0.57,2.033,15
M,0.41,0.99,15
M,0.47,1.1405,15
F,0.49,1.1775,15
F,0.415,0.8415,15
I,0.415,0.595,15
F,0.39,0.5555,15
F,0.53,1.3955,15
M,0.325,0.2885,15
M,0.465,0.849,15
F,0.5,0.953,15
M,0.495,1.4935,15
M,0.35,0.5755,15
F,0.395,0.6515,15
M,0.4,0.6605,15
I,0.485,1.208,15
F,0.505,1.415,15
F,0.495,1.437,15
M,0.345,0.476,15
F,0.36,0.537,15
F,0.535,1.773,15
F,0.375,0.604,15
M,0.53,1.2635,15
I,0.405,0.6765,15
M,0.46,0.906,15
M,0.405,0.695,15
M,0.565,1.521,15
M,0.515,1.5165,15
F,0.415,0.783,15
I,0.39,0.5825,15
F,0.495,1.213,15
F,0.425,0.7995,15
M,0.49,1.194,15
I,0.29,0.232,7
I,0.275,0.2205,7
I,0.33,0.335,7
I,0.275,0.2345,7
I,0.315,0.3675,7
I,0.28,0.2655,7
I,0.25,0.1825,7
I,0.285,0.2415,7
I,0.275,0.2295,7
I,0.35,0.4155,7
I,0.33,0.38,7
I,0.365,0.511,7
I,0.35,0.4545,7
I,0.215,0.1155,7
I,0.35,0.4,7
I,0.34,0.434,7
I,0.26,0.1965,7
I,0.3,0.144,7
F,0.27,0.597,7
I,0.355,0.5325,7
I,0.35,0.4445,7
F,0.32,0.6475,7
M,0.385,0.6425,7
I,0.305,0.2825,7
I,0.37,0.534,7
I,0.31,0.344,7
I,0.275,0.22,7
F,0.265,0.1855,7
F,0.46,0.9945,7
M,0.28,0.2225,7
I,0.375,0.5205,7
I,0.3,0.3265,7
I,0.27,0.204,7
F,0.38,0.689,7
I,0.3,0.3035,7
M,0.465,1.046,7
I,0.36,0.542,7
I,0.26,0.1985,7
I,0.32,0.3055,7
F,0.38,0.573,7
I,0.265,0.2055,7
I,0.275,0.251,7
M,0.415,0.667,7
M,0.375,0.6215,7
I,0.35,0.494,7
I,0.335,0.3535,7
I,0.345,0.449,7
I,0.31,0.3075,7
I,0.24,0.1715,7
I,0.25,0.4015,7
I,0.365,0.4175,7
M,0.24,0.17,7
I,0.24,0.1735,7
I,0.25,0.1735,7
I,0.345,0.3215,7
I,0.285,0.243,7
I,0.24,0.1455,7
M,0.41,0.56,7
I,0.305,0.268,7
I,0.335,0.524,7
I,0.195,0.084,7
I,0.335,0.411,7
I,0.25,0.465,7
I,0.335,0.33,7
I,0.33,0.3905,7
I,0.34,0.407,7
I,0.35,0.4195,7
I,0.3,0.286,7
M,0.325,0.39,7
I,0.335,0.447,7
I,0.27,0.2135,7
M,0.405,0.6925,7
I,0.265,0.185,7
F,0.35,0.4555,7
I,0.335,0.3305,7
I,0.345,0.418,7
I,0.38,0.5125,7
I,0.355,0.474,7
I,0.35,0.4675,7
I,0.32,0.3625,7
M,0.45,1.198,7
M,0.4,0.775,7
I,0.335,0.3885,7
I,0.235,0.1515,7
I,0.305,0.2645,7
I,0.3,0.32,7
I,0.27,0.2225,7
I,0.345,0.47,7
I,0.3,0.252,7
I,0.2,0.0975,7
I,0.4,0.657,7
I,0.385,0.572,7
I,0.325,0.313,7
I,0.32,0.3045,7
I,0.33,0.38,7
M,0.215,0.129,7
M,0.21,0.1085,7
I,0.31,0.339,7
F,0.375,0.4915,7
I,0.275,0.223,7
I,0.22,0.1425,7
M,0.36,0.5795,7
F,0.23,0.156,7
I,0.265,0.2315,7
I,0.335,0.501,7
I,0.37,0.637,7
I,0.345,0.4415,7
F,0.295,0.2685,7
I,0.375,0.5495,7
M,0.405,0.7315,7
I,0.38,0.494,7
M,0.265,0.222,7
I,0.345,0.365,7
I,0.325,0.346,7
I,0.325,0.4665,7
I,0.325,0.425,7
F,0.29,0.282,7
M,0.395,0.8115,7
I,0.265,0.1845,7
I,0.335,0.3935,7
F,0.37,0.594,7
M,0.39,0.6435,7
F,0.41,0.7745,7
I,0.275,0.217,7
I,0.355,0.4255,7
F,0.375,0.4605,7
F,0.45,0.938,7
M,0.345,0.43,7
I,0.385,0.6005,7
I,0.275,0.2065,7
I,0.255,0.1755,7
M,0.25,0.181,7
I,0.235,0.17,7
I,0.345,0.4155,7
I,0.27,0.218,7
M,0.32,0.414,7
I,0.33,0.32,7
I,0.3,0.343,7
I,0.405,0.769,7
I,0.36,0.4635,7
I,0.35,0.5365,7
M,0.38,0.65,7
F,0.325,0.4335,7
F,0.4,0.583,7
M,0.225,0.1345,7
I,0.28,0.2235,7
I,0.37,0.5745,7
I,0.355,0.4485,7
I,0.29,0.2385,7
I,0.385,0.568,7
M,0.46,1.127,7
M,0.37,0.6315,7
M,0.385,0.556,7
I,0.335,0.3245,7
I,0.325,0.3685,7
M,0.295,0.335,7
I,0.26,0.1765,7
F,0.375,0.5805,7
I,0.295,0.293,7
F,0.435,0.839,7
I,0.375,0.6025,7
F,0.37,0.5265,7
I,0.335,0.3295,7
I,0.28,0.3155,7
I,0.4,0.654,7
I,0.26,0.19,7
I,0.225,0.1105,7
I,0.37,0.5055,7
I,0.33,0.44,7
I,0.25,0.1715,7
I,0.305,0.271,7
F,0.295,0.3005,7
I,0.31,0.313,7
I,0.23,0.129,7
I,0.29,0.2445,7
I,0.31,0.127,7
I,0.325,0.325,7
I,0.375,0.5695,7
M,0.46,0.9035,7
M,0.36,0.4955,7
F,0.485,1.2795,7
M,0.195,0.106,7
I,0.28,0.2865,7
I,0.29,0.2825,7
M,0.36,0.4285,7
F,0.425,0.963,7
I,0.315,0.3095,7
M,0.28,0.564,7
M,0.325,0.3295,7
I,0.345,0.4475,7
F,0.44,0.7115,7
I,0.285,0.281,7
I,0.275,0.2295,7
F,0.525,1.445,7
M,0.465,0.9555,7
F,0.38,0.486,7
I,0.37,0.513,7
I,0.25,0.186,7
M,0.415,0.7945,7
M,0.325,0.3785,7
I,0.335,0.4895,7
I,0.295,0.203,7
I,0.345,0.409,7
I,0.27,0.1855,7
M,0.4,0.723,7
I,0.3,0.316,7
I,0.3,0.2665,7
M,0.255,0.1875,7
I,0.2,0.1035,7
I,0.28,0.257,7
I,0.27,0.196,7
I,0.345,0.4035,7
I,0.2,0.086,7
F,0.425,0.952,7
F,0.365,0.9145,7
I,0.305,0.336,7
M,0.3,0.3355,7
I,0.355,0.5195,7
I,0.26,0.211,7
I,0.31,0.336,7
M,0.295,0.2555,7
I,0.215,0.1275,7
I,0.315,0.303,7
I,0.34,0.3645,7
F,0.225,0.1485,7
I,0.3,0.27,7
I,0.27,0.196,7
M,0.36,0.544,7
I,0.395,0.77,7
I,0.355,0.442,7
I,0.265,0.2,7
M,0.235,0.258,7
I,0.35,0.4905,7
M,0.39,0.7125,7
I,0.285,0.226,7
I,0.225,0.1005,7
I,0.36,0.478,7
M,0.45,0.948,7
I,0.23,0.14,7
I,0.29,0.319,7
I,0.29,0.2625,7
F,0.46,1.019,7
I,0.29,0.2485,7
I,0.225,0.187,7
F,0.35,0.4425,7
I,0.305,0.3415,7
I,0.32,0.3735,7
I,0.295,0.2535,7
I,0.32,0.3465,7
I,0.385,0.5735,7
I,0.26,0.1785,7
F,0.46,1.1155,7
I,0.335,0.334,7
M,0.45,0.9,7
I,0.365,0.1315,7
F,0.29,0.3055,7
I,0.38,0.594,7
I,0.33,0.3705,7
I,0.335,0.4195,7
M,0.41,0.7355,7
I,0.32,0.3855,7
F,0.26,0.1915,7
I,0.345,0.3755,7
I,0.365,0.467,7
I,0.335,0.358,7
I,0.23,0.1285,7
I,0.38,0.6645,7
M,0.265,0.197,7
I,0.36,0.466,7
I,0.285,0.257,7
I,0.25,0.1765,7
I,0.37,0.445,7
M,0.37,0.5225,7
I,0.325,0.366,7
M,0.23,0.1165,7
F,0.305,0.368,7
I,0.275,0.1375,7
M,0.345,0.4595,7
I,0.25,0.1745,7
I,0.3,0.2895,7
M,0.345,0.4115,7
I,0.335,0.4215,7
I,0.265,0.2455,7
M,0.155,0.0425,7
I,0.29,0.3,7
F,0.37,0.4785,7
M,0.245,0.15,7
M,0.43,0.8035,7
M,0.32,0.303,7
I,0.315,0.2805,7
F,0.355,0.4705,7
M,0.4,0.6725,7
I,0.29,0.2845,7
M,0.335,0.397,7
I,0.3,0.2815,7
I,0.335,0.3505,7
I,0.28,0.2905,7
I,0.355,0.4155,7
I,0.365,0.459,7
I,0.255,0.187,7
I,0.3,0.282,7
I,0.325,0.3335,7
M,0.375,0.484,7
I,0.39,0.5545,7
I,0.38,0.625,7
I,0.305,0.3535,7
F,0.305,0.3315,7
I,0.275,0.24,7
I,0.2,0.0895,7
I,0.38,0.512,7
I,0.27,0.2255,7
I,0.25,0.2085,7
M,0.265,0.2255,7
I,0.305,0.3415,7
I,0.29,0.2285,7
M,0.33,0.361,7
F,0.395,0.775,7
I,0.33,0.3715,7
F,0.39,0.5445,7
I,0.28,0.218,7
I,0.25,0.2875,7
M,0.405,0.9235,7
I,0.2,0.1165,7
I,0.325,0.385,7
I,0.42,0.5965,7
M,0.335,0.4385,7
I,0.375,0.5785,7
I,0.325,0.35,7
F,0.365,0.566,7
I,0.29,0.258,7
M,0.21,0.1185,7
I,0.325,0.3975,7
I,0.265,0.1865,7
I,0.26,0.1965,7
M,0.405,0.6515,7
I,0.3,0.324,7
I,0.285,0.2305,7
F,0.34,0.391,7
I,0.29,0.2225,7
I,0.28,0.2165,7
I,0.28,0.196,7
I,0.35,0.519,7
I,0.335,0.298,7
I,0.245,0.2015,7
I,0.235,0.183,7
I,0.28,0.2885,7
M,0.17,0.0515,7
M,0.4,0.7075,7
I,0.31,0.317,7
I,0.335,0.362,7
I,0.315,0.3685,7
F,0.515,1.1215,9
F,0.495,1.147,9
I,0.44,0.8515,9
F,0.42,0.6295,9
F,0.41,0.7145,9
M,0.47,1.1735,9
F,0.475,1.056,9
I,0.395,0.5805,9
F,0.47,1.0155,9
F,0.43,0.8105,9
F,0.45,0.9645,9
I,0.4,0.6965,9
F,0.43,0.811,9
I,0.355,0.4915,9
M,0.255,0.2005,9
I,0.425,0.7675,9
I,0.33,0.448,9
I,0.455,1.0015,9
M,0.445,0.9255,9
M,0.455,0.9595,9
M,0.39,0.6355,9
M,0.535,1.5905,9
M,0.475,1.077,9
F,0.29,0.25,9
F,0.515,1.5335,9
M,0.475,1.1385,9
M,0.515,1.5655,9
F,0.43,0.898,9
F,0.54,1.757,9
M,0.495,1.2095,9
I,0.46,0.7635,9
M,0.355,0.528,9
M,0.46,1.247,9
I,0.395,0.537,9
F,0.37,1.183,9
F,0.45,0.9625,9
M,0.495,1.304,9
M,0.57,2.3305,9
F,0.45,0.92,9
I,0.435,0.777,9
I,0.455,0.974,9
M,0.435,0.7345,9
F,0.46,0.921,9
I,0.43,0.7045,9
M,0.51,1.4745,9
M,0.445,0.814,9
F,0.465,0.958,9
F,0.395,0.3635,9
M,0.375,0.5735,9
M,0.35,0.393,9
F,0.495,1.3105,9
M,0.46,0.852,9
F,0.475,1.3875,9
I,0.405,0.573,9
M,0.46,0.9335,9
I,0.37,0.433,9
F,0.49,1.1345,9
F,0.475,0.895,9
F,0.345,0.4165,9
F,0.5,1.2015,9
M,0.455,0.837,9
M,0.45,0.886,9
F,0.39,0.5565,9
M,0.4,0.7765,9
F,0.425,0.844,9
F,0.49,1.115,9
M,0.49,1.1335,9
F,0.465,1.1605,9
F,0.39,0.644,9
M,0.365,1.0765,9
I,0.31,0.315,9
M,0.285,0.253,9
M,0.355,0.3955,9
M,0.46,1.004,9
F,0.42,0.756,9
M,0.27,0.197,9
F,0.525,1.6465,9
M,0.47,1.124,9
F,0.49,1.36,9
F,0.47,1.084,9
M,0.445,0.847,9
M,0.405,0.7175,9
I,0.465,0.9605,9
I,0.36,0.4235,9
F,0.455,0.862,9
M,0.38,0.5765,9
M,0.455,0.93,9
M,0.48,1.192,9
M,0.52,1.4095,9
M,0.435,0.725,9
M,0.37,0.6145,9
M,0.45,0.894,9
M,0.4,0.707,9
I,0.39,0.599,9
M,0.395,0.646,9
I,0.45,0.728,9
F,0.495,1.0835,9
F,0.4,0.778,9
F,0.36,0.4715,9
M,0.425,0.873,9
I,0.375,0.471,9
F,0.51,1.2705,9
M,0.475,1.176,9
I,0.365,0.5465,9
F,0.46,0.9325,9
M,0.435,0.9765,9
F,0.5,1.288,9
M,0.47,1.022,9
M,0.5,1.2915,9
F,0.355,0.4495,9
I,0.425,0.8205,9
F,0.48,1.1685,9
M,0.51,1.407,9
M,0.44,0.802,9
M,0.36,0.431,9
M,0.45,0.9765,9
F,0.5,1.4355,9
I,0.4,0.6965,9
M,0.51,1.542,9
I,0.365,0.49,9
F,0.34,0.482,9
I,0.4,0.5775,9
M,0.41,0.769,9
F,0.505,1.3645,9
M,0.475,0.944,9
I,0.46,0.755,9
F,0.445,0.8,9
M,0.385,0.6595,9
M,0.455,0.7225,9
I,0.5,1.2975,9
M,0.53,1.12,9
M,0.42,0.8115,9
I,0.225,0.152,9
