@relation abalone

@attribute Length numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.585,0.435,0.325,15
0.605,0.469,0.41,15
0.66,0.5905,0.453,15
0.66,0.6025,0.42,15
0.68,0.6055,0.46,15
0.665,0.456,0.49,15
0.64,0.644,0.406,15
0.45,0.2085,0.1655,15
0.61,0.5655,0.295,15
0.52,0.298,0.265,15
0.635,0.5825,0.42,15
0.62,0.579,0.5195,15
0.555,0.416,0.4405,15
0.63,0.56,0.45,15
0.64,0.4445,0.375,15
0.465,0.2015,0.19,15
0.62,0.4805,0.33,15
0.67,0.5985,0.495,15
0.47,0.1725,0.195,15
0.56,0.432,0.26,15
0.48,0.2125,0.24,15
0.6,0.485,0.34,15
0.52,0.2865,0.205,15
0.515,0.215,0.234,15
0.6,0.4865,0.315,15
0.56,0.422,0.33,15
0.64,0.51,0.39,15
0.465,0.214,0.14,15
0.565,0.3895,0.37,15
0.66,0.733,0.54,15
0.445,0.2055,0.1085,15
0.565,0.406,0.285,15
0.695,0.751,0.685,15
0.595,0.358,0.34,15
0.48,0.2105,0.175,15
0.6,0.392,0.29,15
0.655,0.5265,0.315,15
0.57,0.3785,0.24,15
0.62,0.3605,0.36,15
0.53,0.2935,0.245,15
0.525,0.3345,0.24,15
0.495,0.2605,0.19,15
0.65,0.487,0.48,15
0.555,0.377,0.29,15
0.5,0.2505,0.195,15
0.71,0.6465,0.52,15
0.505,0.236,0.2,15
0.535,0.275,0.225,15
0.645,0.587,0.41,15
0.52,0.3535,0.205,15
0.495,0.2015,0.25,15
0.6,0.4425,0.28,15
0.695,0.578,0.39,15
0.625,0.3445,0.305,15
0.605,0.3925,0.31,15
0.485,0.2155,0.18,15
0.55,0.3295,0.2905,15
0.465,0.213,0.215,15
0.505,0.2695,0.205,15
0.48,0.2475,0.1595,15
0.585,0.3815,0.365,15
0.59,0.4415,0.325,15
0.7,0.6805,0.512,15
0.55,0.328,0.255,15
0.59,0.4565,0.34,15
0.605,0.3755,0.385,15
0.61,0.428,0.315,15
0.52,0.261,0.165,15
0.565,0.341,0.255,15
0.655,0.486,0.415,15
0.625,0.5235,0.36,15
0.65,0.693,0.47,15
0.605,0.4695,0.27,15
0.56,0.3835,0.37,15
0.535,0.314,0.3,15
0.505,0.291,0.195,15
0.5,0.242,0.179,15
0.57,0.348,0.31,15
0.455,0.2245,0.15,15
0.52,0.2105,0.26,15
0.635,0.6535,0.58,15
0.52,0.215,0.17,15
0.545,0.2875,0.25,15
0.605,0.503,0.295,15
0.59,0.327,0.335,15
0.62,0.378,0.36,15
0.42,0.1,0.1135,15
0.61,0.391,0.42,15
0.635,0.605,0.365,15
0.48,0.2315,0.255,15
0.675,0.562,0.6,15
0.575,0.4485,0.345,15
0.425,0.1865,0.0985,7
0.365,0.0945,0.06,7
0.58,0.5575,0.29,7
0.525,0.305,0.169,7
0.335,0.0705,0.055,7
0.325,0.085,0.062,7
0.42,0.1645,0.086,7
0.55,0.412,0.24,7
0.385,0.152,0.0735,7
0.395,0.14,0.082,7
0.495,0.233,0.136,7
0.555,0.44,0.24,7
