@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R4,9'

@attribute Height numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.14,11
0.105,9
0.12,8
0.095,7
0.175,12
0.16,21
0.14,13
0.15,9
0.125,10
0.125,10
0.105,10
0.06,5
0.125,9
0.13,10
0.23,16
0.175,20
0.175,10
0.16,11
0.185,10
0.105,12
0.135,13
0.08,8
0.155,12
0.175,15
0.17,15
0.075,6
0.14,11
0.095,9
0.03,3
0.14,14
0.175,23
0.1,10
0.105,7
0.185,13
0.1,11
0.15,11
0.095,8
0.165,15
0.17,20
0.12,11
0.07,6
0.17,18
0.14,22
0.15,11
0.11,10
0.225,15
0.18,11
0.145,10
0.07,5
0.04,3
0.14,11
0.115,15
0.18,11
0.13,12
0.14,16
0.15,10
0.12,13
0.1,13
0.115,11
0.17,12
0.135,13
0.14,18
0.105,15
0.12,7
0.16,19
0.185,11
0.13,10
0.095,10
0.1,7
0.15,13
0.15,11
0.09,10
0.085,8
0.08,9
0.065,7
0.105,12
0.14,17
0.145,10
0.16,11
0.14,12
0.125,9
0.125,9
0.155,10
0.165,9
0.15,10
0.165,14
0.23,17
0.05,6
0.055,5
0.055,4
0.08,5
0.07,5
0.075,6
0.095,6
0.1,6
0.125,7
0.14,8
0.15,8
0.15,9
0.175,10
0.185,10
0.16,9
0.045,4
0.095,6
0.105,7
0.11,7
0.105,7
0.11,6
0.12,9
0.145,8
0.135,9
0.145,9
0.165,9
0.16,8
0.17,10
0.16,8
0.185,10
0.215,11
0.215,11
0.065,5
0.095,6
0.095,6
0.105,8
0.11,7
0.12,8
0.135,9
0.135,9
0.14,9
0.155,10
0.14,9
0.125,9
0.145,9
0.145,8
0.13,10
0.125,9
0.165,10
0.135,9
0.14,10
0.175,9
0.175,10
0.16,12
0.16,11
0.225,11
0.175,10
0.2,11
0.09,7
0.115,9
0.12,8
0.135,7
0.085,8
0.165,11
0.175,10
0.16,9
0.215,11
0.2,12
0.2,11
0.1,7
0.09,8
0.11,7
0.135,10
0.155,9
0.15,9
0.125,9
0.135,8
0.17,9
0.145,10
0.145,11
0.155,8
0.14,8
0.125,9
0.175,10
0.155,9
0.175,11
0.165,11
0.195,11
0.175,11
0.175,15
0.18,7
0.25,12
0.12,7
0.135,8
0.11,8
0.2,10
0.175,9
0.175,9
0.14,8
0.18,13
0.075,6
0.1,7
0.11,7
0.135,10
0.12,9
0.13,6
0.195,9
0.155,12
0.18,12
0.175,11
0.2,12
0.22,10
0.12,7
0.12,8
0.115,10
0.06,5
0.08,5
0.085,8
0.1,7
0.12,7
0.12,8
0.13,8
0.14,7
0.135,8
0.19,10
0.22,17
0.175,10
0.09,8
0.075,5
0.195,11
0.09,5
0.17,13
0.16,13
0.155,6
0.145,13
0.11,7
0.185,15
0.19,17
0.13,10
0.17,14
0.18,14
0.16,13
0.13,9
0.12,8
0.135,11
0.115,9
0.17,21
0.195,17
0.165,16
0.15,13
0.16,15
0.09,10
0.15,8
0.06,11
0.18,16
0.18,16
0.125,13
0.135,12
0.12,9
0.145,14
0.155,18
0.165,12
0.175,14
0.115,7
0.16,12
0.14,15
0.075,6
0.18,11
0.125,6
0.11,7
0.145,7
0.135,7
0.145,8
0.15,8
0.165,9
0.175,12
0.1,7
0.1,7
0.11,8
0.155,8
0.15,7
0.15,8
0.15,8
0.17,9
0.15,7
0.155,9
0.2,9
0.085,6
0.08,7
0.125,7
0.1,7
0.135,9
0.14,10
0.155,10
0.155,9
0.055,4
0.09,8
0.09,6
0.115,7
0.105,9
0.16,10
0.17,11
0.18,11
0.075,6
0.125,8
0.115,8
0.13,8
0.15,9
0.155,10
0.12,10
0.175,11
0.18,10
0.175,11
0.175,9
0.15,9
0.17,11
0.175,12
0.145,11
0.05,4
0.13,9
0.12,9
0.15,8
0.105,8
0.115,7
0.135,10
0.17,10
0.1,9
0.105,10
0.16,20
0.165,10
0.065,7
0.115,11
0.14,11
0.08,9
0.12,10
0.19,12
0.205,13
0.19,14
0.16,13
0.19,12
0.145,14
0.165,13
0.16,14
0.12,14
0.09,9
0.2,19
0.1,8
0.075,8
0.045,5
0.15,12
0.15,18
0.12,9
0.18,8
0.095,5
0.105,6
0.125,8
0.12,8
0.185,9
0.145,8
0.145,8
0.165,11
0.085,6
0.095,8
0.155,8
0.195,11
0.145,10
0.18,10
0.17,11
0.175,9
0.2,10
0.225,13
0.095,8
0.125,9
0.145,9
0.15,10
0.19,10
0.13,9
0.155,9
0.17,11
0.145,9
0.14,9
0.155,13
0.18,12
0.16,12
0.115,8
0.13,10
0.13,9
0.195,11
0.22,14
0.165,12
0.15,14
0.165,19
0.115,9
0.15,12
0.09,9
0.075,9
0.165,16
0.095,6
0.14,19
0.16,10
0.19,13
0.115,8
0.155,12
0.22,10
0.065,10
0.065,6
0.19,11
0.195,10
0.09,6
0.12,8
0.1,7
0.045,4
0.095,6
0.125,8
0.15,9
0.09,7
0.09,6
0.175,9
0.165,10
0.145,10
0.13,8
0.16,10
0.175,12
0.115,8
0.2,11
0.195,11
0.075,6
0.17,11
0.205,9
0.15,10
