@relation abalone-weka.filters.unsupervised.attribute.Remove-V-R8-9

@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.07,7
0.19,11
0.27,14
0.1,7
0.16,10
0.15,10
0.175,7
0.485,13
0.315,13
0.28,15
0.305,10
0.345,12
0.22,11
0.085,8
0.2425,11
0.174,10
0.1565,10
0.345,12
0.255,7
0.195,10
0.135,9
0.12,8
0.08,7
0.22,10
0.003,3
0.005,5
0.06,8
0.0905,8
0.075,7
0.31,14
0.205,17
0.355,12
0.275,10
0.4,13
0.195,12
0.235,10
0.215,12
0.15,8
0.39,14
0.36,15
0.375,21
0.295,18
0.09,7
0.085,10
0.26,18
0.36,17
0.39,15
0.265,12
0.181,11
0.1345,9
0.3,19
0.045,6
0.03,6
0.045,4
0.07,9
0.155,12
0.027,8
0.37,12
0.44,13
0.17,13
0.365,11
0.115,13
0.42,19
0.0835,10
0.06,9
0.054,10
0.065,10
0.165,9
0.063,8
0.08,7
0.195,13
0.105,11
0.09,12
0.245,12
0.265,23
0.19,10
0.144,10
0.005,3
0.195,17
0.255,13
0.165,15
0.215,14
0.265,20
0.45,17
0.28,14
0.32,13
0.195,15
0.1845,9
0.13,10
0.049,7
0.0575,6
0.062,6
0.0735,7
0.077,6
0.1405,8
0.214,9
0.2385,9
0.33,10
0.32,8
0.415,11
0.09,6
0.1,6
0.095,7
0.1195,7
0.143,7
0.17,6
0.115,8
0.186,7
0.25,11
0.2515,9
0.315,9
0.4,10
0.432,11
0.5475,11
0.0225,5
0.055,5
0.117,7
0.13,6
0.1895,10
0.2575,10
0.253,9
0.265,9
0.267,9
0.2885,9
0.353,9
0.4525,11
0.42,10
0.4505,12
0.6785,11
0.15,6
0.0435,5
0.048,7
0.055,6
0.0655,5
0.089,7
0.085,8
0.0765,5
0.12,9
0.141,8
0.171,8
0.164,9
0.225,8
0.248,9
0.215,9
0.236,9
0.2705,10
0.306,9
0.2255,10
0.309,10
0.275,10
0.34,10
0.295,10
0.315,11
0.349,11
0.435,11
0.46,13
0.528,11
0.073,5
0.1075,6
0.189,9
0.22,8
0.249,8
0.2095,9
0.31,11
0.4025,9
0.345,10
0.494,12
0.013,5
0.13,7
0.185,8
0.2875,8
0.2135,10
0.175,7
0.1725,8
0.21,8
0.355,10
0.239,9
0.2945,9
0.315,12
0.3,9
0.3145,12
0.3,9
0.38,9
0.335,10
0.395,12
0.308,12
0.32,11
0.265,11
0.575,11
0.2825,8
0.315,10
0.4375,11
0.06,6
0.1465,9
0.25,9
0.235,9
0.264,11
0.3105,10
0.298,11
0.3225,12
0.348,9
0.4075,10
0.4505,13
0.03,6
0.0495,6
0.185,12
0.2385,11
0.253,9
0.3925,14
0.105,7
0.11,9
0.095,7
0.085,9
0.125,9
0.11,9
0.1505,10
0.725,17
0.005,4
0.23,10
0.445,14
0.445,21
0.26,14
0.315,11
0.042,6
0.175,10
0.2,8
0.295,14
0.415,13
0.125,11
0.24,12
0.345,14
0.32,18
0.265,11
0.195,13
0.125,13
0.215,14
0.095,8
0.1,10
0.2,13
0.24,15
0.263,13
0.2175,11
0.27,19
0.29,15
0.66,16
0.106,12
0.048,7
0.0955,9
0.18,10
0.07,9
0.485,18
0.38,11
0.17,15
0.07,9
0.033,5
0.1625,10
0.2625,11
0.361,10
0.35,8
0.33,10
0.4395,9
0.016,4
0.03,5
0.111,7
0.215,8
0.2505,9
0.29,8
0.13,8
0.1755,8
0.491,10
0.375,10
0.176,8
0.4405,13
0.405,11
0.02,4
0.06,5
0.066,7
0.091,7
0.1,8
0.14,9
0.11,8
0.1325,7
0.2305,8
0.1615,10
0.251,11
0.23,9
0.2705,9
0.22,9
0.278,10
0.24,9
0.295,10
0.465,10
0.0425,7
0.1115,7
0.21,9
0.2595,9
0.319,8
0.435,10
0.255,8
0.244,8
0.259,10
0.315,11
0.2915,11
0.29,9
0.3745,10
0.3525,11
0.352,8
0.293,12
0.2505,8
0.33,9
0.326,10
0.115,8
0.15,7
0.237,10
0.335,11
0.3075,11
0.4695,10
0.0595,7
0.1545,10
0.235,11
0.1175,7
0.2315,8
0.19,8
0.0065,4
0.245,13
0.6855,12
0.13,11
0.12,9
0.13,6
0.31,20
0.05,7
0.37,11
0.119,10
0.29,15
0.05,6
0.22,12
0.555,24
0.405,16
0.22,16
0.135,9
0.42,15
0.58,16
0.112,14
0.085,6
0.335,13
0.385,13
0.09,7
0.337,9
0.28,8
0.292,11
0.409,10
0.045,6
0.0645,6
0.14,7
0.135,8
0.145,9
0.2,7
0.2825,9
0.0765,6
0.27,8
0.1955,8
0.268,8
0.271,9
0.15,9
0.223,8
0.2425,10
0.302,9
0.369,12
0.6195,12
0.009,4
0.126,8
0.3285,9
0.125,8
0.28,8
0.287,10
0.317,9
0.425,12
0.358,11
0.185,7
0.283,9
0.148,8
0.22,10
0.26,10
0.33,10
0.1395,8
0.145,11
0.49,14
0.195,10
0.255,9
0.185,16
0.1775,12
0.36,16
0.3,17
0.0215,5
0.19,11
0.375,20
0.19,16
0.105,8
0.119,6
0.1405,7
0.275,8
0.1525,8
0.03,6
0.275,8
0.085,7
0.2095,8
0.3095,9
0.37,11
0.3855,11
0.506,10
0.48,11
0.3865,9
0.077,7
0.15,9
0.32,9
0.43,11
0.03,6
0.1535,9
