@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R7,9'

@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.1415,9
0.171,10
0.133,12
0.087,10
0.234,12
0.3575,18
0.1165,8
0.11,7
0.16,9
0.168,13
0.189,9
0.2225,12
0.254,13
0.1345,9
0.063,9
0.2055,10
0.0065,5
0.3085,14
0.271,9
0.128,14
0.111,8
0.1125,9
0.144,9
0.193,14
0.287,22
0.003,3
0.0245,5
0.0345,10
0.0545,7
0.217,15
0.1,13
0.245,12
0.0095,4
0.3235,19
0.015,5
0.152,8
0.173,9
0.2905,8
0.2995,20
0.3265,16
0.183,15
0.3135,12
0.1435,14
0.0535,6
0.2115,14
0.2385,11
0.0645,9
0.0585,8
0.1625,19
0.4725,16
0.1395,17
0.3405,21
0.2635,16
0.1765,15
0.3065,15
0.245,10
0.059,6
0.0385,5
0.156,20
0.066,10
0.126,14
0.0385,10
0.0265,7
0.1905,13
0.1675,13
0.0795,13
0.113,10
0.138,12
0.1095,17
0.0525,8
0.0525,9
0.024,7
0.1665,10
0.057,10
0.004,2
0.212,15
0.2175,14
0.15,13
0.236,20
0.2315,13
0.202,15
0.05,9
0.227,11
0.167,10
0.038,6
0.2025,9
0.2575,10
0.26,12
0.113,8
0.175,8
0.244,12
0.162,11
0.291,9
0.029,4
0.0305,6
0.0835,6
0.067,7
0.0925,7
0.0955,7
0.1455,8
0.1225,7
0.207,9
0.2565,9
0.2615,11
0.2445,8
0.278,10
0.275,8
0.326,11
0.236,10
0.308,11
0.0295,6
0.0635,7
0.096,6
0.0935,8
0.116,9
0.1845,9
0.1985,7
0.1915,9
0.2365,10
0.2195,9
0.2255,9
0.1825,9
0.2705,11
0.015,5
0.031,5
0.035,4
0.0655,7
0.035,6
0.045,7
0.0405,6
0.06,7
0.099,7
0.1555,10
0.1615,9
0.147,10
0.1855,8
0.188,10
0.1715,10
0.2195,9
0.1725,9
0.29,10
0.239,12
0.3735,9
0.3125,10
0.342,10
0.4195,12
0.564,12
0.46,12
0.42,14
0.126,6
0.1075,6
0.215,8
0.2085,8
0.3245,11
0.2655,10
0.326,10
0.017,5
0.056,8
0.0525,7
0.0395,6
0.0585,7
0.131,6
0.14,8
0.141,7
0.1305,9
0.16,8
0.144,10
0.238,10
0.2225,10
0.194,10
0.2265,10
0.4205,11
0.308,10
0.337,11
0.223,9
0.269,9
0.314,9
0.339,11
0.487,14
0.131,7
0.139,8
0.2685,10
0.307,10
0.314,9
0.0525,8
0.0665,8
0.0965,9
0.1425,8
0.0915,8
0.159,9
0.2005,9
0.155,9
0.1465,8
0.1785,11
0.195,9
0.174,11
0.337,11
0.2565,10
0.2945,10
0.213,11
0.246,9
0.2555,10
0.2955,10
0.354,12
0.379,10
0.3605,12
0.005,4
0.047,6
0.099,7
0.1175,8
0.085,7
0.2115,9
0.1765,9
0.2225,9
0.1075,11
0.0885,8
0.0385,6
0.2265,12
0.083,9
0.15,9
0.15,12
0.229,17
0.074,10
0.1565,8
0.0965,9
0.112,7
0.036,6
0.0525,6
0.1465,12
0.181,13
0.119,9
0.218,12
0.129,16
0.165,14
0.177,13
0.1175,12
0.121,15
0.59,23
0.215,18
0.159,12
0.1905,18
0.0075,5
0.131,16
0.1125,11
0.252,17
0.146,12
0.026,10
0.12,10
0.037,10
0.142,15
0.208,10
0.0185,6
0.0235,5
0.146,17
0.384,14
0.195,14
0.213,19
0.03,6
0.03,7
0.1445,8
0.3615,11
0.358,13
0.371,13
0.0395,7
0.066,6
0.263,7
0.2745,11
0.323,9
0.3935,13
0.5005,10
0.019,5
0.0795,8
0.108,6
0.135,9
0.119,8
0.204,9
0.159,9
0.1905,8
0.2165,9
0.2615,8
0.352,9
0.2775,9
0.3175,9
0.083,8
0.17,10
0.1575,11
0.244,8
0.1685,11
0.2685,8
0.1715,11
0.377,11
0.525,10
0.021,4
0.054,7
0.1085,9
0.25,10
0.295,12
0.346,11
0.363,11
0.0515,6
0.1365,11
0.174,9
0.1435,8
0.1955,11
0.2035,9
0.1955,11
0.247,10
0.397,10
0.342,10
0.231,8
0.1915,9
0.0825,8
0.103,8
0.163,10
0.1465,10
0.2005,8
0.2395,12
0.1825,9
0.259,11
0.247,11
0.227,11
0.111,8
0.2425,11
0.3795,10
0.068,8
0.1835,8
0.1945,7
0.092,9
0.0365,6
0.1235,11
0.0535,8
0.056,7
0.262,10
0.387,13
0.234,11
0.1045,15
0.2135,18
0.1205,10
0.1775,13
0.1075,15
0.243,13
0.227,16
0.1365,12
0.0045,4
0.284,13
0.09,11
0.046,13
0.073,14
0.0365,11
0.257,17
0.034,10
0.016,5
0.0335,7
0.174,13
0.04,8
0.1005,7
0.182,7
0.341,10
0.238,12
0.1335,7
0.1155,8
0.146,8
0.257,11
0.254,10
0.341,9
0.402,11
0.4435,11
0.039,7
0.08,6
0.1075,8
0.1395,9
0.3055,10
