@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-2,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.43,10
I,0.355,7
F,0.68,19
F,0.54,16
I,0.21,4
F,0.475,10
M,0.58,14
F,0.625,10
M,0.55,15
I,0.385,7
F,0.325,7
I,0.265,7
F,0.635,10
F,0.605,10
M,0.515,10
M,0.56,15
I,0.405,7
F,0.415,8
I,0.23,5
M,0.59,13
F,0.535,10
M,0.37,9
F,0.58,18
I,0.36,8
F,0.74,16
F,0.565,15
F,0.62,14
M,0.635,16
F,0.6,16
M,0.535,10
M,0.47,8
M,0.6,19
I,0.44,13
I,0.385,14
F,0.56,9
M,0.565,13
M,0.565,16
M,0.575,11
I,0.36,9
I,0.24,6
I,0.22,5
I,0.175,5
M,0.575,17
M,0.58,13
F,0.655,11
M,0.655,15
F,0.58,12
I,0.56,16
M,0.21,3
F,0.46,13
I,0.65,17
I,0.615,13
I,0.52,13
F,0.41,11
F,0.59,20
I,0.55,14
M,0.45,14
F,0.37,9
I,0.605,12
F,0.47,12
M,0.31,9
M,0.235,7
I,0.475,9
I,0.46,11
I,0.335,6
M,0.55,13
F,0.52,22
F,0.43,11
M,0.525,11
M,0.52,15
M,0.535,14
M,0.445,10
M,0.52,9
F,0.58,13
M,0.455,9
M,0.44,9
F,0.48,15
M,0.525,8
M,0.54,9
M,0.57,9
M,0.6,11
F,0.635,10
M,0.655,17
F,0.675,9
I,0.465,7
M,0.47,8
F,0.505,9
I,0.505,8
M,0.51,8
M,0.515,7
M,0.57,7
F,0.58,8
M,0.605,11
F,0.62,11
M,0.65,9
F,0.655,10
F,0.66,6
M,0.69,8
I,0.2,4
I,0.265,7
I,0.45,6
I,0.46,7
I,0.47,6
I,0.5,7
F,0.505,7
I,0.51,8
I,0.525,9
I,0.525,8
I,0.53,8
F,0.575,9
F,0.6,9
F,0.655,10
M,0.7,12
F,0.705,9
F,0.73,12
I,0.35,6
I,0.38,6
I,0.395,5
I,0.425,7
I,0.45,9
I,0.455,8
I,0.47,8
I,0.475,8
I,0.48,8
I,0.505,8
I,0.505,7
I,0.555,9
I,0.57,10
M,0.58,10
I,0.585,10
M,0.6,11
F,0.605,12
F,0.62,10
F,0.625,11
F,0.635,9
M,0.65,11
F,0.65,10
F,0.655,10
F,0.72,13
I,0.46,8
I,0.47,6
F,0.505,9
F,0.545,9
M,0.575,8
M,0.6,9
M,0.62,9
F,0.63,10
M,0.65,8
M,0.67,10
F,0.68,12
F,0.7,11
