@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R7,9'

@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.151,19
0.21,9
0.301,10
0.219,15
0.1125,7
0.0405,6
0.2355,14
0.3425,15
0.164,15
0.1675,10
0.1035,9
0.1725,14
0.008,4
0.2425,13
0.1845,8
0.0375,5
0.1815,14
0.067,9
0.1635,10
0.0415,9
0.239,11
0.028,6
0.104,9
0.127,14
0.034,6
0.0495,6
0.114,10
0.1635,14
0.067,8
0.022,5
0.075,11
0.041,5
0.0415,7
0.161,12
0.2655,14
0.2455,14
0.1635,22
0.49,20
0.336,13
0.3885,18
0.472,17
0.392,16
0.3695,20
0.3365,11
0.137,10
0.083,7
0.199,16
0.16,13
0.232,12
0.2665,21
0.2315,11
0.27,23
0.1265,10
0.0925,11
0.201,17
0.201,13
0.008,4
0.2655,13
0.13,9
0.0295,7
0.254,18
0.169,19
0.026,8
0.2325,15
0.0285,5
0.0115,6
0.243,15
0.125,11
0.172,12
0.057,8
0.1315,10
0.03,6
0.0125,6
0.064,7
0.0585,7
0.08,7
0.0935,8
0.1855,8
0.1755,10
0.1815,9
0.2055,12
0.285,11
0.298,10
0.0265,5
0.0535,7
0.037,6
0.11,6
0.1295,8
0.103,8
0.12,7
0.133,9
0.134,8
0.197,8
0.178,11
0.2435,9
0.297,9
0.509,12
0.006,3
0.013,4
0.024,5
0.044,7
0.0865,7
0.1075,6
0.1395,8
0.1245,8
0.1555,9
0.1825,8
0.217,8
0.2175,9
0.211,8
0.3065,10
0.2945,10
0.3135,11
0.405,12
0.4015,10
0.0395,7
0.0595,9
0.0615,6
0.101,9
0.124,7
0.131,9
0.111,9
0.144,9
0.1415,8
0.176,10
0.2535,10
0.227,9
0.2465,10
0.302,10
0.3135,10
0.1785,12
0.2255,10
0.4865,10
0.093,7
0.181,8
0.218,8
0.2205,9
0.239,9
0.2655,9
0.231,10
0.26,9
0.3585,11
0.3015,11
0.4475,10
0.427,10
0.046,6
0.0465,7
0.0575,8
0.0625,7
0.0735,8
0.137,8
0.099,7
0.135,9
0.123,10
0.167,11
0.1725,9
0.149,8
0.218,8
0.2855,7
0.2605,12
0.2575,12
0.22,9
0.2315,10
0.2925,10
0.288,12
0.276,9
0.3545,14
0.253,11
0.3095,13
0.3935,10
0.454,11
0.366,10
0.5185,12
0.2295,8
0.2195,8
0.284,11
0.33,10
0.0055,5
0.064,7
0.067,8
0.096,7
0.099,8
0.148,8
0.106,9
0.16,8
0.158,8
0.1645,8
0.179,9
0.1545,7
0.215,10
0.1955,13
0.1615,10
0.162,10
0.2115,11
0.2005,9
0.1935,10
0.1985,9
0.2785,11
0.227,10
0.2525,11
0.24,10
0.269,9
0.384,10
0.2605,10
0.012,5
0.0235,6
0.0465,7
0.038,6
0.102,8
0.177,10
0.116,8
0.0885,7
0.1035,8
0.2115,11
0.244,9
0.3725,10
0.1355,10
0.0825,7
0.391,27
0.094,7
0.2095,10
0.472,19
0.184,9
0.015,6
0.1035,9
0.2785,15
0.36,13
0.093,8
0.2595,16
0.1635,13
0.2815,13
0.305,11
0.405,13
0.219,14
0.348,13
0.134,8
0.1205,10
0.2015,10
0.1315,12
0.0935,9
0.212,17
0.0675,12
0.083,11
0.1845,14
0.1905,15
0.168,11
0.2155,16
0.2455,12
0.06,8
0.096,15
0.1065,7
0.0705,6
0.05,8
0.1455,9
0.0565,6
0.0405,6
0.1115,6
0.1015,8
0.253,10
0.233,9
0.317,11
0.0875,7
0.132,8
0.215,9
0.1885,9
0.2325,9
0.2835,10
0.277,9
0.2445,10
0.298,9
0.0395,7
0.0445,8
0.2075,8
0.0635,6
0.0855,7
0.128,11
0.2995,11
0.123,8
0.3575,11
0.3255,12
0.463,10
0.028,4
0.041,7
0.0865,8
0.1375,9
0.195,9
0.19,8
0.1985,10
0.225,11
0.3025,9
0.4655,13
0.336,12
0.292,9
0.3265,13
0.2015,9
0.2245,9
0.0765,9
0.104,8
0.1555,11
0.1245,11
0.1515,9
0.157,11
0.211,10
0.1955,12
0.231,9
0.3055,9
0.1065,7
0.021,6
0.0715,11
0.207,18
0.284,17
0.295,17
0.27,10
0.081,12
0.3225,12
0.3025,14
0.318,15
0.306,15
0.15,9
0.3175,12
0.0885,11
0.216,16
0.0705,16
0.0585,12
0.22,17
0.108,10
0.073,10
0.1455,13
0.2535,13
0.196,18
