@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,9'

@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.425,16
0.295,7
0.275,10
0.45,11
0.425,11
0.445,11
0.425,9
0.35,8
0.41,10
0.32,8
0.48,11
0.445,9
0.45,12
0.37,7
0.39,9
0.33,8
0.285,9
0.455,13
0.55,14
0.16,4
0.475,11
0.51,21
0.49,13
0.5,10
0.4,12
0.34,9
0.36,10
0.37,9
0.29,7
0.465,11
0.225,9
0.45,19
0.46,10
0.475,11
0.515,13
0.5,18
0.415,15
0.28,8
0.515,13
0.485,21
0.535,14
0.275,7
0.4,12
0.295,8
0.465,11
0.455,9
0.455,10
0.47,15
0.375,10
0.395,10
0.485,16
0.44,12
0.325,10
0.44,9
0.405,10
0.34,9
0.46,19
0.455,14
0.52,12
0.47,15
0.505,13
0.46,12
0.29,9
0.14,5
0.38,11
0.23,7
0.375,15
0.42,17
0.27,9
0.265,12
0.37,18
0.24,7
0.335,10
0.365,10
0.215,6
0.28,10
0.355,19
0.385,14
0.38,17
0.385,23
0.405,16
0.29,9
0.23,7
0.105,4
0.315,16
0.385,14
0.3,9
0.3,11
0.38,13
0.405,12
0.515,20
0.44,17
0.51,14
0.45,11
0.41,11
0.155,5
0.385,12
0.465,12
0.275,6
0.29,6
0.305,6
0.365,9
0.335,7
0.355,9
0.475,6
0.505,11
0.56,11
0.195,6
0.23,6
0.32,5
0.315,6
0.325,8
0.355,8
0.345,7
0.385,6
0.385,7
0.415,8
0.445,9
0.47,8
0.475,9
0.48,8
0.49,11
0.135,4
0.235,6
0.345,7
0.365,8
0.38,8
0.4,6
0.39,9
0.425,10
0.445,8
0.44,8
0.45,9
0.46,9
0.435,9
0.455,9
0.485,8
0.45,8
0.54,14
0.565,9
0.58,10
0.585,11
0.195,6
0.255,5
0.29,5
0.365,8
0.4,9
0.435,9
0.42,10
0.445,9
0.405,8
0.44,11
0.485,11
0.45,10
0.495,12
0.49,10
0.525,11
0.525,10
0.55,11
0.105,3
0.165,4
0.255,5
0.3,7
0.34,5
0.38,7
0.425,9
0.485,11
0.51,11
0.215,6
0.275,7
0.28,7
0.3,7
0.37,9
0.425,8
0.435,10
0.445,10
0.45,10
0.47,9
0.47,9
0.515,13
0.49,11
0.505,10
0.51,9
0.55,12
0.59,11
0.175,5
0.42,10
0.44,10
0.475,9
0.47,10
0.55,9
0.36,8
0.38,7
0.43,8
0.43,9
0.455,9
0.45,9
0.44,9
0.44,9
0.455,11
0.495,15
0.47,11
0.525,12
0.515,10
0.49,10
0.51,13
0.605,13
0.21,6
0.29,7
0.325,8
0.41,9
0.435,10
0.195,5
0.355,9
0.5,8
0.525,10
0.39,8
0.305,7
0.31,9
0.405,8
0.38,8
0.37,9
0.325,7
0.36,10
0.195,7
0.3,8
0.45,20
0.4,9
0.47,17
0.51,17
0.26,7
0.39,14
0.2,7
0.335,8
0.375,9
0.57,15
0.24,8
0.52,17
0.44,13
0.525,18
0.275,10
0.41,12
0.365,14
0.35,16
0.46,14
0.36,10
0.45,13
0.4,16
0.33,10
0.26,10
0.325,8
0.405,11
0.415,13
0.475,11
0.44,20
0.355,8
0.44,14
0.37,8
0.44,9
0.485,9
0.475,10
0.545,12
0.355,7
0.425,7
0.465,9
0.585,12
0.21,5
0.24,6
0.29,6
0.345,7
0.355,7
0.375,7
0.38,7
0.4,7
0.43,9
0.515,9
0.25,6
0.325,8
0.335,7
0.35,8
0.385,8
0.39,8
0.415,10
0.445,10
0.44,10
0.465,11
0.465,9
0.54,13
0.565,11
0.235,7
0.445,8
0.49,10
0.525,11
0.205,5
0.43,10
0.465,8
0.45,9
0.45,9
0.495,10
0.515,10
0.49,10
0.485,11
0.505,11
0.515,12
0.505,12
0.215,6
0.4,10
0.5,10
0.45,9
0.44,9
0.46,9
0.49,13
0.535,11
0.185,6
0.32,8
0.355,10
0.4,10
0.435,9
0.49,15
0.47,15
0.45,10
0.265,6
0.145,5
0.405,10
0.34,14
0.45,12
0.4,11
0.35,13
0.48,12
0.505,18
0.385,11
0.375,13
0.46,12
0.355,11
0.3,12
0.325,12
0.21,8
0.4,15
0.465,16
0.21,6
0.285,7
0.275,6
0.4,8
0.46,8
0.495,10
0.525,10
0.12,3
0.265,6
0.34,8
0.46,10
0.24,6
0.265,6
0.34,8
0.36,8
0.42,8
0.41,8
0.47,10
0.45,9
0.47,11
0.47,9
0.465,11
0.515,11
0.285,8
0.29,8
0.355,8
0.365,7
0.425,10
0.42,11
0.46,9
0.45,12
0.47,10
0.47,11
0.495,11
0.51,12
0.51,10
0.535,11
0.25,7
0.28,7
0.36,9
0.355,9
0.455,10
0.42,10
0.41,11
0.45,9
0.475,8
0.45,8
0.46,10
0.455,9
0.47,11
0.325,9
0.545,15
0.375,7
0.45,12
0.5,12
0.12,4
0.39,13
0.365,9
0.48,11
0.35,6
0.515,10
0.31,8
0.335,7
0.385,10
0.42,8
0.495,13
0.47,13
0.49,9
0.53,13
0.485,11
0.52,9
0.42,11
0.28,7
0.355,8
0.44,9
0.4,8
0.385,10
0.44,10
