@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.41,15
F,0.4,15
F,0.5,15
F,0.47,15
M,0.51,15
F,0.36,15
F,0.37,15
F,0.475,15
M,0.35,15
M,0.475,15
I,0.525,15
M,0.41,15
M,0.515,15
M,0.435,15
M,0.405,15
M,0.465,15
F,0.4,15
I,0.39,15
M,0.44,15
F,0.53,15
M,0.52,15
M,0.4,15
M,0.495,15
M,0.48,15
F,0.47,15
M,0.415,15
F,0.4,15
M,0.535,15
F,0.49,15
M,0.43,15
F,0.515,15
M,0.495,15
M,0.44,15
I,0.415,15
M,0.49,15
F,0.38,15
I,0.38,15
F,0.46,15
F,0.44,15
M,0.57,15
M,0.475,15
M,0.47,15
F,0.55,15
M,0.39,15
F,0.56,15
M,0.53,15
F,0.415,15
M,0.46,15
M,0.4,15
M,0.47,15
M,0.47,15
F,0.475,15
I,0.455,15
F,0.48,15
M,0.405,15
F,0.39,15
F,0.54,15
F,0.495,15
M,0.475,15
F,0.425,15
M,0.56,15
F,0.575,15
I,0.515,15
M,0.425,15
M,0.345,15
M,0.505,15
M,0.495,15
M,0.42,15
F,0.45,15
M,0.44,15
I,0.35,15
M,0.565,15
M,0.435,15
F,0.5,15
F,0.405,15
F,0.47,15
M,0.53,15
F,0.395,15
M,0.49,15
I,0.405,15
I,0.485,15
F,0.48,15
M,0.435,15
M,0.365,15
F,0.415,15
M,0.465,15
F,0.495,15
F,0.54,15
M,0.45,15
F,0.545,15
M,0.385,15
F,0.39,15
F,0.375,15
I,0.385,7
I,0.29,7
I,0.31,7
I,0.27,7
M,0.335,7
I,0.3,7
M,0.4,7
M,0.21,7
I,0.325,7
M,0.23,7
F,0.365,7
F,0.27,7
F,0.375,7
M,0.28,7
I,0.335,7
I,0.375,7
M,0.405,7
I,0.3,7
M,0.365,7
F,0.325,7
I,0.3,7
I,0.335,7
I,0.305,7
I,0.275,7
I,0.29,7
I,0.36,7
I,0.195,7
M,0.245,7
I,0.345,7
I,0.205,7
I,0.325,7
M,0.385,7
I,0.355,7
F,0.32,7
I,0.29,7
F,0.305,7
F,0.46,7
M,0.4,7
I,0.32,7
I,0.25,7
I,0.24,7
I,0.345,7
I,0.315,7
I,0.31,7
I,0.2,7
M,0.21,7
I,0.22,7
I,0.33,7
I,0.37,7
F,0.35,7
I,0.25,7
M,0.155,7
I,0.26,7
M,0.46,7
I,0.3,7
M,0.415,7
I,0.25,7
I,0.3,7
I,0.275,7
I,0.325,7
I,0.3,7
M,0.4,7
M,0.39,7
I,0.295,7
I,0.265,7
F,0.37,7
M,0.215,7
I,0.355,7
I,0.3,7
I,0.28,7
I,0.335,7
I,0.27,7
I,0.29,7
I,0.36,7
I,0.395,7
I,0.265,7
I,0.32,7
I,0.25,7
I,0.27,7
I,0.315,7
I,0.25,7
I,0.335,7
I,0.33,7
I,0.385,7
I,0.3,7
I,0.39,7
I,0.29,7
I,0.335,7
I,0.385,7
M,0.51,7
F,0.295,7
I,0.275,7
I,0.36,7
M,0.345,7
I,0.28,7
I,0.32,7
I,0.35,7
I,0.26,7
I,0.27,7
I,0.24,7
I,0.315,7
F,0.365,7
M,0.465,7
M,0.265,7
I,0.355,7
F,0.295,7
I,0.31,7
M,0.235,7
F,0.39,7
F,0.29,7
M,0.36,7
I,0.26,7
I,0.345,7
I,0.37,7
M,0.42,7
M,0.17,7
F,0.35,7
I,0.305,7
I,0.255,7
I,0.285,7
I,0.35,7
I,0.38,7
M,0.295,7
I,0.33,7
I,0.31,7
I,0.265,7
I,0.28,7
M,0.37,7
M,0.4,7
F,0.305,7
I,0.265,7
M,0.32,7
M,0.37,7
I,0.34,7
I,0.37,7
I,0.325,7
I,0.315,7
I,0.345,7
I,0.32,7
F,0.38,7
I,0.325,7
I,0.365,7
M,0.465,7
F,0.485,7
I,0.235,7
I,0.35,7
I,0.285,7
M,0.39,7
I,0.34,7
I,0.285,7
I,0.305,7
I,0.335,7
I,0.305,7
I,0.28,7
I,0.37,7
I,0.35,7
I,0.265,7
I,0.275,7
I,0.2,7
F,0.38,7
M,0.45,7
I,0.215,7
I,0.275,7
I,0.25,7
F,0.29,7
F,0.41,7
M,0.24,7
M,0.335,7
I,0.335,7
I,0.395,7
M,0.2,7
I,0.245,7
I,0.29,7
M,0.33,7
I,0.28,7
I,0.275,7
M,0.42,7
F,0.225,7
I,0.325,7
I,0.305,7
I,0.35,7
I,0.25,7
F,0.4,7
I,0.27,7
M,0.24,7
I,0.235,7
I,0.275,7
I,0.275,7
F,0.46,7
I,0.26,7
I,0.345,7
I,0.225,7
I,0.28,7
M,0.36,7
I,0.38,7
I,0.295,7
I,0.31,7
I,0.335,7
I,0.25,7
M,0.39,7
M,0.385,7
F,0.325,7
I,0.375,7
I,0.325,7
I,0.28,7
I,0.38,7
I,0.285,7
I,0.245,7
F,0.435,7
I,0.285,7
I,0.27,7
M,0.405,7
I,0.365,7
I,0.345,7
I,0.265,7
I,0.31,7
F,0.23,7
M,0.41,7
M,0.225,7
M,0.265,7
F,0.44,7
I,0.325,7
I,0.27,7
I,0.275,7
M,0.3,7
I,0.35,7
I,0.335,7
I,0.29,7
I,0.225,7
M,0.325,7
I,0.3,7
M,0.405,7
I,0.4,7
I,0.305,7
I,0.355,7
F,0.35,7
I,0.27,7
I,0.29,7
M,0.255,7
I,0.35,7
I,0.235,7
M,0.36,7
I,0.3,7
I,0.29,7
M,0.375,7
I,0.325,7
I,0.3,7
I,0.405,7
I,0.345,7
I,0.375,7
I,0.275,7
I,0.255,7
I,0.29,7
F,0.375,7
I,0.36,7
I,0.33,7
I,0.34,7
I,0.3,7
I,0.38,7
I,0.335,7
M,0.31,7
F,0.425,7
I,0.25,7
I,0.365,7
F,0.37,7
I,0.355,7
M,0.295,7
I,0.25,7
M,0.345,7
I,0.23,7
I,0.265,7
I,0.215,7
I,0.275,7
M,0.36,7
I,0.295,7
M,0.385,7
I,0.265,7
I,0.375,7
I,0.27,7
I,0.4,7
I,0.335,7
I,0.355,7
F,0.37,7
M,0.25,7
I,0.325,7
F,0.375,7
M,0.395,7
I,0.3,7
I,0.38,7
I,0.31,7
I,0.325,7
F,0.265,7
I,0.28,7
I,0.35,7
I,0.26,7
I,0.31,7
I,0.35,7
I,0.4,7
I,0.365,7
I,0.37,7
I,0.265,7
I,0.345,7
M,0.405,7
M,0.265,7
I,0.28,7
I,0.225,7
M,0.345,7
I,0.29,7
I,0.26,7
M,0.41,7
M,0.38,7
I,0.335,7
I,0.235,7
I,0.325,7
M,0.43,7
I,0.35,7
I,0.345,7
F,0.26,7
I,0.375,7
I,0.25,7
I,0.24,7
I,0.38,7
M,0.465,7
I,0.335,7
I,0.345,7
M,0.45,7
I,0.345,7
I,0.42,7
I,0.2,7
I,0.35,7
I,0.25,7
I,0.335,7
M,0.4,7
I,0.39,7
F,0.425,7
I,0.34,7
F,0.355,7
I,0.23,7
I,0.37,7
M,0.405,7
F,0.395,7
M,0.28,7
I,0.355,7
I,0.26,7
F,0.46,7
I,0.23,7
I,0.335,7
I,0.315,7
I,0.325,7
M,0.195,7
M,0.46,7
M,0.395,9
M,0.52,9
I,0.43,9
I,0.43,9
F,0.435,9
M,0.53,9
F,0.45,9
F,0.365,9
I,0.43,9
I,0.465,9
M,0.445,9
F,0.425,9
I,0.445,9
M,0.43,9
I,0.265,9
F,0.41,9
M,0.35,9
F,0.495,9
M,0.37,9
M,0.4,9
F,0.435,9
M,0.475,9
F,0.475,9
I,0.39,9
I,0.415,9
I,0.455,9
F,0.325,9
F,0.55,9
F,0.425,9
I,0.355,9
I,0.375,9
I,0.415,9
M,0.45,9
F,0.47,9
F,0.405,9
I,0.42,9
M,0.475,9
M,0.52,9
M,0.365,9
F,0.53,9
M,0.305,9
M,0.385,9
M,0.5,9
M,0.46,9
I,0.37,9
I,0.41,9
F,0.39,9
I,0.275,9
F,0.5,9
M,0.435,9
F,0.35,9
F,0.475,9
M,0.265,9
F,0.46,9
F,0.54,9
M,0.49,9
M,0.485,9
M,0.45,9
F,0.4,9
M,0.475,9
M,0.51,9
F,0.45,9
M,0.27,9
M,0.3,9
F,0.43,9
I,0.395,9
F,0.455,9
I,0.36,9
I,0.305,9
M,0.48,9
F,0.485,9
M,0.405,9
M,0.45,9
F,0.525,9
M,0.48,9
I,0.415,9
F,0.475,9
I,0.35,9
M,0.45,9
M,0.355,9
F,0.41,9
M,0.52,9
F,0.5,9
I,0.4,9
I,0.37,9
F,0.335,9
F,0.46,9
M,0.465,9
M,0.485,9
M,0.41,9
M,0.45,9
F,0.455,9
F,0.54,9
I,0.225,9
F,0.47,9
M,0.455,9
M,0.475,9
M,0.28,9
M,0.53,9
I,0.43,9
F,0.38,9
F,0.415,9
M,0.375,9
F,0.375,9
I,0.395,9
F,0.4,9
F,0.385,9
F,0.33,9
F,0.55,9
F,0.505,9
F,0.505,9
M,0.405,9
I,0.315,9
F,0.48,9
M,0.255,9
I,0.43,9
I,0.43,9
I,0.42,9
M,0.515,9
M,0.3,9
I,0.325,9
F,0.37,9
M,0.405,9
M,0.465,9
I,0.34,9
M,0.445,9
F,0.465,9
M,0.425,9
F,0.505,9
I,0.355,9
M,0.515,9
F,0.46,9
M,0.455,9
I,0.37,9
M,0.385,9
F,0.455,9
F,0.475,9
M,0.47,9
F,0.49,9
M,0.465,9
M,0.39,9
I,0.39,9
F,0.46,9
F,0.43,9
M,0.51,9
I,0.395,9
F,0.44,9
F,0.485,9
I,0.26,9
F,0.42,9
M,0.37,9
M,0.485,9
M,0.29,9
M,0.46,9
F,0.465,9
I,0.455,9
M,0.285,9
M,0.335,9
M,0.495,9
F,0.39,9
M,0.47,9
M,0.435,9
M,0.475,9
F,0.43,9
M,0.335,9
F,0.415,9
M,0.41,9
I,0.4,9
