@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,9'

@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.42,9
0.405,10
0.4,12
0.34,10
0.445,12
0.525,18
0.355,8
0.375,7
0.405,9
0.425,13
0.475,9
0.465,12
0.465,13
0.395,9
0.35,9
0.445,10
0.13,5
0.56,14
0.46,9
0.395,14
0.35,8
0.325,9
0.375,9
0.44,14
0.505,22
0.1,3
0.2,5
0.26,10
0.27,7
0.46,15
0.36,13
0.53,12
0.145,4
0.455,19
0.175,5
0.425,8
0.42,9
0.495,8
0.525,20
0.565,16
0.465,15
0.495,12
0.42,14
0.275,6
0.475,14
0.46,11
0.3,9
0.26,8
0.425,19
0.565,16
0.415,17
0.59,21
0.545,16
0.465,15
0.515,15
0.53,10
0.25,6
0.27,5
0.42,20
0.29,10
0.355,14
0.255,10
0.21,7
0.41,13
0.4,13
0.345,13
0.37,10
0.385,12
0.385,17
0.305,8
0.295,9
0.225,7
0.4,10
0.295,10
0.1,2
0.44,15
0.44,14
0.39,13
0.525,20
0.44,13
0.405,15
0.27,9
0.43,11
0.38,10
0.28,6
0.39,9
0.465,10
0.465,12
0.365,8
0.43,8
0.465,12
0.49,11
0.52,9
0.12,4
0.265,6
0.345,6
0.325,7
0.365,7
0.37,7
0.39,8
0.375,7
0.455,9
0.49,9
0.465,11
0.455,8
0.48,10
0.485,8
0.5,11
0.5,10
0.52,11
0.225,6
0.32,7
0.33,6
0.335,8
0.375,9
0.4,9
0.46,7
0.445,9
0.48,10
0.475,9
0.485,9
0.465,9
0.53,11
0.19,5
0.23,5
0.27,4
0.29,7
0.28,6
0.29,7
0.275,6
0.32,7
0.36,7
0.435,10
0.455,9
0.42,10
0.45,8
0.455,10
0.455,10
0.475,9
0.465,9
0.48,10
0.48,12
0.51,9
0.515,10
0.53,10
0.57,12
0.575,12
0.565,12
0.65,14
0.335,6
0.38,6
0.44,8
0.455,8
0.47,11
0.505,10
0.545,10
0.21,5
0.27,8
0.27,7
0.29,6
0.315,7
0.375,6
0.395,8
0.42,7
0.4,9
0.415,8
0.43,10
0.47,10
0.46,10
0.45,10
0.45,10
0.525,11
0.5,10
0.525,11
0.51,9
0.5,9
0.5,9
0.51,11
0.565,14
0.27,7
0.3,8
0.455,10
0.475,10
0.52,9
0.31,8
0.34,8
0.37,9
0.4,8
0.41,8
0.4,9
0.425,9
0.395,9
0.41,8
0.445,11
0.45,9
0.455,11
0.46,11
0.47,10
0.46,10
0.495,11
0.49,9
0.515,10
0.5,10
0.54,12
0.54,10
0.575,12
0.11,4
0.28,6
0.35,7
0.345,8
0.36,7
0.41,9
0.465,9
0.495,9
0.385,11
0.35,8
0.225,6
0.51,12
0.35,9
0.425,9
0.39,12
0.475,17
0.325,10
0.38,8
0.375,9
0.345,7
0.265,6
0.26,6
0.425,12
0.45,13
0.375,9
0.5,12
0.375,16
0.475,14
0.435,13
0.385,12
0.39,15
0.63,23
0.48,18
0.45,12
0.475,18
0.135,5
0.39,16
0.34,11
0.505,17
0.415,12
0.225,10
0.375,10
0.315,10
0.415,15
0.415,10
0.205,6
0.2,5
0.405,17
0.515,14
0.385,14
0.41,19
0.23,6
0.3,7
0.35,8
0.525,11
0.555,13
0.55,13
0.265,7
0.31,6
0.465,7
0.465,11
0.51,9
0.575,13
0.56,10
0.205,5
0.315,8
0.37,6
0.38,9
0.385,8
0.45,9
0.43,9
0.48,8
0.46,9
0.46,8
0.52,9
0.52,9
0.505,9
0.315,8
0.425,10
0.435,11
0.445,8
0.43,11
0.48,8
0.45,11
0.495,11
0.55,10
0.2,4
0.29,7
0.365,9
0.48,10
0.51,12
0.515,11
0.54,11
0.305,6
0.425,11
0.435,9
0.43,8
0.44,11
0.445,9
0.425,11
0.455,10
0.525,10
0.405,10
0.485,8
0.49,9
0.33,8
0.375,8
0.42,10
0.405,10
0.43,8
0.47,12
0.48,9
0.515,11
0.515,11
0.505,11
0.35,8
0.5,11
0.525,10
0.3,8
0.415,8
0.425,7
0.335,9
0.22,6
0.405,11
0.3,8
0.295,7
0.505,10
0.545,13
0.415,11
0.38,15
0.435,18
0.335,10
0.475,13
0.39,15
0.455,13
0.5,16
0.38,12
0.125,4
0.475,13
0.35,11
0.365,13
0.4,14
0.245,11
0.46,17
0.235,10
0.19,5
0.225,7
0.42,13
0.28,8
0.37,7
0.45,7
0.545,10
0.48,12
0.37,7
0.405,8
0.44,8
0.49,11
0.495,10
0.475,9
0.54,11
0.57,11
0.285,7
0.325,6
0.39,8
0.405,9
0.495,10
0.515,11
0.53,11
0.515,11
0.455,8
0.525,10
0.345,7
0.45,8
0.49,11
0.47,11
0.5,13
0.555,11
0.525,9
0.555,12
0.265,7
0.335,7
0.355,8
0.39,9
0.425,9
0.47,9
0.48,10
0.455,10
0.23,7
0.31,8
0.375,8
0.48,9
0.46,7
0.27,10
0.4,11
0.49,18
0.37,11
0.355,8
0.385,7
0.375,6
0.45,6
0.545,11
0.53,9
0.49,9
0.4,8
0.43,10
0.365,9
0.4,8
0.48,9
0.49,11
0.23,7
0.315,8
