@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.66,0.53,0.17,1.3905,0.5905,15
M,0.61,0.475,0.165,1.116,0.428,15
M,0.52,0.4,0.12,0.823,0.298,15
M,0.64,0.565,0.23,1.521,0.644,15
I,0.62,0.485,0.17,1.208,0.4805,15
M,0.535,0.42,0.16,0.72,0.275,15
I,0.48,0.38,0.125,0.523,0.2105,15
F,0.47,0.36,0.145,0.537,0.1725,15
I,0.52,0.415,0.16,0.595,0.2105,15
F,0.61,0.49,0.17,1.1775,0.5655,15
M,0.49,0.39,0.135,0.592,0.242,15
M,0.555,0.44,0.15,1.092,0.416,15
M,0.455,0.365,0.095,0.514,0.2245,15
F,0.6,0.47,0.2,1.031,0.392,15
M,0.445,0.345,0.14,0.476,0.2055,15
M,0.525,0.41,0.13,0.99,0.3865,15
F,0.665,0.53,0.185,1.3955,0.456,15
F,0.645,0.5,0.225,1.626,0.587,15
M,0.655,0.53,0.175,1.2635,0.486,15
M,0.495,0.4,0.12,0.6605,0.2605,15
F,0.53,0.415,0.16,0.783,0.2935,15
F,0.64,0.54,0.175,1.221,0.51,15
F,0.465,0.39,0.14,0.5555,0.213,15
F,0.48,0.4,0.125,0.759,0.2125,15
I,0.655,0.515,0.145,1.25,0.5265,15
F,0.535,0.415,0.185,0.8415,0.314,15
F,0.625,0.515,0.15,1.2415,0.5235,15
I,0.66,0.525,0.18,1.6935,0.6025,15
F,0.71,0.575,0.175,1.555,0.6465,15
F,0.61,0.48,0.175,1.0675,0.391,15
M,0.59,0.46,0.155,0.906,0.327,15
F,0.48,0.37,0.13,0.5885,0.2475,15
M,0.695,0.57,0.2,2.033,0.751,15
M,0.585,0.405,0.15,1.2565,0.435,15
M,0.465,0.35,0.14,0.5755,0.2015,15
M,0.63,0.505,0.225,1.525,0.56,15
F,0.575,0.46,0.185,1.094,0.4485,15
M,0.605,0.47,0.115,1.114,0.3925,15
M,0.59,0.475,0.145,1.053,0.4415,15
M,0.555,0.435,0.135,0.858,0.377,15
F,0.52,0.4,0.13,0.6245,0.215,15
M,0.56,0.45,0.16,0.922,0.432,15
M,0.65,0.545,0.16,1.2425,0.487,15
F,0.605,0.495,0.19,1.437,0.469,15
F,0.565,0.45,0.195,1.0035,0.406,15
M,0.53,0.435,0.16,0.883,0.316,15
F,0.67,0.545,0.16,1.5415,0.5985,15
M,0.6,0.47,0.175,1.105,0.4865,15
F,0.6,0.475,0.15,1.0075,0.4425,15
M,0.62,0.495,0.195,1.5145,0.579,15
F,0.68,0.56,0.165,1.639,0.6055,15
F,0.56,0.435,0.185,1.106,0.422,15
M,0.605,0.475,0.18,0.9365,0.394,15
M,0.55,0.415,0.175,1.042,0.3295,15
F,0.5,0.39,0.13,0.6355,0.2505,15
F,0.52,0.405,0.145,0.829,0.3535,15
I,0.555,0.455,0.17,0.8435,0.309,15
M,0.605,0.47,0.18,1.1405,0.3755,15
M,0.56,0.45,0.175,1.011,0.3835,15
F,0.62,0.47,0.225,1.115,0.378,15
F,0.635,0.505,0.17,1.415,0.605,15
M,0.57,0.465,0.125,0.849,0.3785,15
F,0.69,0.54,0.185,1.5715,0.6935,15
M,0.495,0.4,0.14,0.7775,0.2015,15
I,0.465,0.36,0.105,0.498,0.214,15
F,0.505,0.395,0.145,0.6515,0.2695,15
F,0.54,0.44,0.16,1.0905,0.391,15
M,0.565,0.425,0.135,0.8115,0.341,15
M,0.565,0.44,0.185,0.909,0.344,15
F,0.505,0.41,0.135,0.657,0.291,15
F,0.5,0.375,0.14,0.604,0.242,15
M,0.585,0.455,0.225,1.055,0.3815,15
I,0.52,0.405,0.14,0.6765,0.2865,15
M,0.565,0.465,0.175,0.995,0.3895,15
M,0.695,0.56,0.19,1.494,0.588,15
F,0.7,0.535,0.175,1.773,0.6805,15
M,0.55,0.435,0.145,0.843,0.328,15
F,0.52,0.4,0.12,0.6515,0.261,15
