@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-6,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.475,0.37,0.125,0.5095,0.2165,9
F,0.525,0.38,0.14,0.6065,0.194,14
M,0.45,0.32,0.1,0.381,0.1705,9
M,0.355,0.28,0.095,0.2455,0.0955,11
F,0.705,0.55,0.2,1.7095,0.633,13
M,0.465,0.355,0.105,0.4795,0.227,8
I,0.39,0.295,0.095,0.203,0.0875,7
M,0.52,0.4,0.12,0.58,0.234,8
F,0.46,0.355,0.13,0.517,0.2205,9
F,0.545,0.43,0.165,0.802,0.2935,11
F,0.435,0.395,0.105,0.3635,0.136,9
I,0.435,0.32,0.08,0.3325,0.1485,9
F,0.545,0.41,0.125,0.6935,0.2975,11
I,0.36,0.28,0.08,0.1755,0.081,6
F,0.68,0.515,0.175,1.6185,0.5125,12
F,0.63,0.48,0.15,1.0525,0.392,12
M,0.615,0.48,0.18,1.1595,0.4845,13
M,0.61,0.485,0.17,1.0225,0.419,12
M,0.5,0.405,0.155,0.772,0.346,12
F,0.53,0.435,0.17,0.8155,0.2985,13
F,0.47,0.35,0.145,0.5175,0.187,11
I,0.425,0.38,0.105,0.3265,0.1285,10
I,0.275,0.215,0.075,0.1155,0.0485,7
M,0.565,0.425,0.16,0.9425,0.3495,17
M,0.52,0.45,0.15,0.895,0.3615,14
F,0.64,0.525,0.215,1.779,0.4535,22
M,0.53,0.435,0.155,0.699,0.288,10
M,0.54,0.435,0.18,0.996,0.3835,17
I,0.28,0.21,0.085,0.1065,0.039,4
I,0.3,0.22,0.08,0.121,0.0475,5
M,0.575,0.455,0.145,1.165,0.581,14
M,0.57,0.46,0.14,0.9535,0.4465,12
M,0.605,0.49,0.18,1.227,0.48,18
I,0.465,0.375,0.12,0.471,0.222,9
M,0.535,0.44,0.15,0.6765,0.256,12
F,0.435,0.325,0.11,0.4335,0.178,7
M,0.555,0.45,0.145,0.915,0.4,11
F,0.61,0.485,0.165,1.0915,0.3935,18
M,0.6,0.47,0.155,1.036,0.4375,20
F,0.645,0.55,0.175,1.2915,0.57,14
F,0.67,0.55,0.19,1.3905,0.5425,12
F,0.545,0.415,0.16,0.7715,0.272,10
M,0.63,0.48,0.145,1.0115,0.4235,12
F,0.585,0.465,0.14,0.908,0.381,13
M,0.55,0.45,0.13,0.92,0.378,11
M,0.625,0.5,0.195,1.369,0.5875,17
F,0.625,0.5,0.15,0.953,0.3445,15
F,0.625,0.485,0.19,1.1745,0.4385,17
M,0.275,0.205,0.07,0.094,0.0335,5
I,0.5,0.385,0.15,0.6265,0.2605,10
F,0.475,0.35,0.115,0.452,0.1715,11
F,0.41,0.305,0.1,0.363,0.1735,11
I,0.495,0.39,0.125,0.6655,0.284,11
I,0.52,0.425,0.17,0.6805,0.28,10
M,0.535,0.42,0.15,0.6995,0.2575,12
F,0.55,0.43,0.14,0.7135,0.2565,9
F,0.56,0.445,0.195,0.981,0.305,16
I,0.515,0.39,0.14,0.5555,0.2,12
F,0.525,0.405,0.16,0.658,0.2655,12
M,0.255,0.18,0.065,0.079,0.034,5
F,0.485,0.38,0.15,0.605,0.2155,15
M,0.49,0.39,0.15,0.573,0.225,21
M,0.485,0.37,0.14,0.5725,0.204,10
F,0.535,0.405,0.125,0.927,0.26,16
F,0.43,0.335,0.12,0.444,0.155,13
M,0.315,0.25,0.09,0.203,0.0615,11
I,0.295,0.225,0.09,0.1105,0.0405,7
M,0.485,0.355,0.12,0.547,0.215,10
M,0.62,0.505,0.185,1.5275,0.69,13
M,0.57,0.43,0.12,1.0615,0.348,15
M,0.505,0.385,0.145,0.6775,0.236,15
M,0.56,0.41,0.165,0.93,0.3505,13
M,0.505,0.385,0.15,0.6415,0.246,12
M,0.515,0.405,0.145,0.695,0.215,15
M,0.53,0.41,0.155,0.7155,0.2805,11
M,0.46,0.34,0.135,0.495,0.1655,10
I,0.255,0.185,0.06,0.088,0.0365,5
I,0.35,0.25,0.07,0.18,0.0655,6
I,0.41,0.325,0.1,0.394,0.208,6
I,0.415,0.32,0.11,0.3735,0.175,7
M,0.49,0.385,0.125,0.609,0.3065,8
M,0.55,0.45,0.15,1.0145,0.407,10
M,0.57,0.435,0.13,0.7535,0.349,10
M,0.605,0.455,0.16,1.1035,0.421,9
M,0.615,0.505,0.165,1.34,0.5315,12
M,0.62,0.5,0.165,1.307,0.6355,9
I,0.24,0.175,0.065,0.0665,0.031,3
I,0.325,0.24,0.075,0.187,0.0825,6
I,0.41,0.31,0.09,0.339,0.155,7
I,0.435,0.34,0.115,0.3925,0.1825,6
I,0.45,0.345,0.11,0.47,0.2355,7
