@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R6,8-9'

@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.294,0.26,16
0.097,0.1,7
0.08,0.085,10
0.3945,0.285,11
0.393,0.2,11
0.381,0.26,11
0.3545,0.245,9
0.192,0.135,8
0.302,0.2,10
0.1405,0.1,8
0.474,0.38,11
0.3845,0.285,9
0.3135,0.33,12
0.201,0.165,7
0.231,0.2,9
0.1635,0.1355,8
0.096,0.0925,9
0.374,0.285,13
0.7125,0.59,14
0.025,0.015,4
0.385,0.35,11
0.515,0.57,21
0.5455,0.355,13
0.54,0.38,10
0.234,0.23,12
0.186,0.16,9
0.1665,0.165,10
0.1715,0.155,9
0.121,0.09,7
0.404,0.35,11
0.0485,0.04,9
0.3805,0.41,19
0.341,0.345,10
0.394,0.26,11
0.4105,0.41,13
0.532,0.69,18
0.314,0.3,15
0.1065,0.074,8
0.471,0.535,13
0.4635,0.39,21
0.576,0.39,14
0.097,0.08,7
0.27,0.205,12
0.0865,0.095,8
0.5705,0.355,11
0.408,0.22,9
0.479,0.265,10
0.3755,0.385,15
0.277,0.18,10
0.3165,0.24,10
0.39,0.29,16
0.3475,0.24,12
0.159,0.12,10
0.313,0.2185,9
0.2895,0.177,10
0.151,0.1045,9
0.429,0.26,19
0.44,0.285,14
0.4245,0.48,12
0.378,0.36,15
0.4385,0.36,13
0.3325,0.305,12
0.1115,0.075,9
0.0145,0.01,5
0.1895,0.155,11
0.043,0.04,7
0.242,0.179,15
0.398,0.25,17
0.078,0.059,9
0.0575,0.068,12
0.185,0.169,18
0.0655,0.049,7
0.1205,0.125,10
0.1895,0.158,10
0.045,0.035,6
0.0945,0.075,10
0.1145,0.16,19
0.235,0.215,14
0.2405,0.205,17
0.241,0.24,23
0.3175,0.29,16
0.1175,0.085,9
0.043,0.04,7
0.005,0.005,4
0.1185,0.1195,16
0.1895,0.173,14
0.191,0.1175,9
0.104,0.083,11
0.227,0.22,13
0.2415,0.21,12
0.5295,0.525,20
0.2385,0.3,17
0.6215,0.47,14
0.3365,0.3,11
0.189,0.31,11
0.021,0.015,5
0.211,0.262,12
0.309,0.262,12
0.097,0.0615,6
0.143,0.086,6
0.156,0.091,6
0.2435,0.1465,9
0.2745,0.1105,7
0.2175,0.1525,9
0.547,0.271,6
0.6285,0.3685,11
0.8455,0.455,11
0.0345,0.0245,6
0.056,0.037,6
0.169,0.1,5
0.1645,0.105,6
0.1815,0.1125,8
0.197,0.1335,8
0.196,0.1265,7
0.2925,0.1575,6
0.3195,0.1535,7
0.3475,0.175,8
0.544,0.218,9
0.479,0.309,8
0.572,0.275,9
0.5185,0.3235,8
0.623,0.395,11
0.0135,0.0095,4
0.065,0.039,6
0.222,0.106,7
0.2135,0.1315,8
0.3395,0.1665,8
0.261,0.1385,6
0.2595,0.169,9
0.411,0.2165,10
0.42,0.2215,8
0.336,0.245,8
0.447,0.2645,9
0.5415,0.25,9
0.401,0.222,9
0.945,0.441,9
0.5315,0.2415,8
0.4285,0.2405,8
0.664,0.4735,14
0.895,0.446,9
1.0265,0.5375,10
0.952,0.5,11
0.0545,0.0355,6
0.105,0.05,5
0.096,0.061,5
0.184,0.1245,8
0.2895,0.154,9
0.3475,0.194,9
0.4315,0.2175,10
0.3535,0.207,9
0.27,0.185,8
0.414,0.21,11
0.6315,0.33,11
0.407,0.25,10
0.5765,0.355,12
0.534,0.3455,10
0.7455,0.4325,11
0.564,0.3985,10
0.743,0.45,11
0.0055,0.004,3
0.019,0.036,4
0.0785,0.053,5
0.1185,0.08,7
0.164,0.1015,5
0.2655,0.144,7
0.343,0.215,9
0.5125,0.305,11
0.8885,0.4195,11
0.047,0.0405,6
0.0985,0.066,7
0.119,0.07,7
0.1065,0.08,7
0.179,0.175,9
0.3475,0.213,8
0.327,0.259,10
0.3685,0.236,10
0.463,0.2535,10
0.379,0.22,9
0.5225,0.31,9
0.535,0.395,13
0.5255,0.339,11
0.5215,0.36,10
0.6385,0.3665,9
0.687,0.46,12
0.7275,0.557,11
0.096,0.0705,5
0.6325,0.344,10
0.5075,0.2485,10
0.5575,0.343,9
0.511,0.2565,10
1.0715,0.5015,9
0.2465,0.147,8
0.3285,0.1425,7
0.298,0.23,8
0.321,0.24,9
0.53,0.244,9
0.304,0.22,9
0.3805,0.283,9
0.382,0.234,9
0.4685,0.295,11
0.579,0.5195,15
0.475,0.265,11
0.5435,0.335,12
0.5055,0.3535,10
0.488,0.2925,10
0.483,0.3645,13
0.801,0.646,13
0.0375,0.03,6
0.158,0.078,7
0.1385,0.0925,8
0.3435,0.1765,9
0.3875,0.245,10
0.0475,0.0285,5
0.2005,0.1275,9
0.6165,0.32,8
0.818,0.4275,10
0.3045,0.175,8
0.114,0.095,7
0.124,0.095,9
0.3265,0.175,8
0.2705,0.185,8
0.201,0.145,9
0.1365,0.11,7
0.222,0.16,10
0.0465,0.036,7
0.1335,0.0935,8
0.414,0.405,20
0.295,0.185,9
0.387,0.35,17
0.5635,0.57,17
0.0765,0.065,7
0.3285,0.27,14
0.0305,0.03,7
0.225,0.11,8
0.192,0.205,9
0.751,0.685,15
0.0545,0.04,8
0.566,0.455,17
0.3805,0.28,13
0.5005,0.41,18
0.0725,0.07,10
0.2745,0.1815,12
0.2595,0.177,14
0.1585,0.1335,16
0.55,0.38,14
0.192,0.16,10
0.358,0.26,13
0.258,0.28,16
0.186,0.145,10
0.0725,0.06,10
0.144,0.13,8
0.276,0.215,11
0.272,0.24,13
0.474,0.24,11
0.393,0.375,20
0.1525,0.135,8
0.2025,0.2115,14
0.25,0.163,8
0.4475,0.2485,9
0.587,0.288,9
0.5395,0.309,10
0.6555,0.513,12
0.23,0.12,7
0.44,0.24,7
0.491,0.287,9
1.128,0.5335,12
0.0415,0.035,5
0.0745,0.048,6
0.0925,0.075,6
0.1525,0.125,7
0.2085,0.1185,7
0.233,0.1455,7
0.233,0.136,7
0.377,0.178,7
0.4355,0.201,9
0.506,0.335,9
0.0675,0.0575,6
0.1325,0.101,8
0.169,0.105,7
0.252,0.123,8
0.3985,0.1805,8
0.2415,0.1615,8
0.329,0.199,10
0.5265,0.265,10
0.5405,0.3265,10
0.47,0.25,11
0.6005,0.307,9
0.7885,0.4865,13
0.706,0.45,11
0.098,0.042,7
0.484,0.2325,8
0.575,0.294,10
0.8875,0.405,11
0.088,0.0495,5
0.3525,0.208,10
0.371,0.29,8
0.4615,0.248,9
0.3795,0.26,9
0.5415,0.3185,10
0.667,0.3115,10
0.437,0.28,10
0.634,0.406,11
0.59,0.363,11
0.7255,0.405,12
0.657,0.355,12
0.14,0.0885,6
0.618,0.2875,10
0.5475,0.3315,10
0.3885,0.264,9
0.3305,0.2475,9
0.4005,0.2875,9
0.4915,0.343,13
0.667,0.471,11
0.039,0.025,6
0.1235,0.0725,8
0.207,0.174,10
0.318,0.208,10
0.3415,0.215,9
0.4445,0.375,15
0.3925,0.31,15
0.3595,0.35,10
0.0995,0.065,6
0.011,0.01,5
0.271,0.215,10
0.1375,0.146,14
0.3785,0.265,12
0.216,0.21,11
0.231,0.145,13
0.375,0.29,12
0.6145,0.39,18
0.3005,0.185,11
0.192,0.175,13
0.305,0.205,12
0.184,0.1125,11
0.1435,0.098,12
0.1465,0.14,12
0.038,0.031,8
0.2605,0.19,15
0.377,0.33,16
0.0425,0.03,6
0.1045,0.075,7
0.0945,0.075,6
0.2545,0.1645,8
0.4985,0.2815,8
0.583,0.295,10
0.5815,0.372,10
0.0075,0.014,3
0.122,0.06,6
0.21,0.12,8
0.38,0.255,10
0.0615,0.038,6
0.0785,0.054,6
0.1775,0.125,8
0.196,0.125,8
0.296,0.198,8
0.31,0.2,8
0.6355,0.277,10
0.3605,0.2575,9
0.444,0.2445,11
0.54,0.279,9
0.4265,0.325,11
0.658,0.4115,11
0.1135,0.0675,8
0.135,0.078,8
0.2375,0.14,8
0.1645,0.127,7
0.4205,0.2225,10
0.437,0.32,11
0.326,0.265,9
0.49,0.279,12
0.441,0.305,10
0.5675,0.317,11
0.6215,0.399,11
0.4955,0.385,12
0.5,0.339,10
0.7035,0.4,11
0.1725,0.1255,7
0.165,0.067,7
0.22,0.1035,9
0.1765,0.1325,9
0.533,0.271,10
0.294,0.1825,10
0.2435,0.1895,11
0.437,0.245,9
0.433,0.315,8
0.477,0.2515,8
0.4275,0.3305,10
0.4735,0.274,9
0.4605,0.3945,11
0.146,0.105,9
0.5985,0.495,15
0.2205,0.17,7
0.431,0.235,12
0.4605,0.43,12
0.0075,0.005,4
0.276,0.185,13
0.1515,0.145,9
0.53,0.322,11
0.352,0.135,6
0.7055,0.335,10
0.1125,0.0925,8
0.1355,0.0965,7
0.2075,0.172,10
0.3595,0.1985,8
0.6335,0.35,13
0.675,0.3245,13
0.5845,0.3,9
0.667,0.3555,13
0.467,0.35,11
0.7365,0.37,9
0.321,0.252,11
0.0995,0.0615,7
0.201,0.14,8
0.35,0.259,9
0.2865,0.1765,8
0.375,0.1815,10
