@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6,8-9'

@attribute Length numeric
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.55,0.44,0.8945,0.3145,0.32,19
0.55,0.415,0.7635,0.318,0.2,9
0.615,0.48,1.1615,0.513,0.305,10
0.605,0.475,0.9365,0.394,0.295,15
0.45,0.345,0.4115,0.18,0.135,7
0.31,0.235,0.151,0.063,0.045,6
0.615,0.475,1.1025,0.4695,0.345,14
0.695,0.56,1.494,0.588,0.485,15
0.53,0.435,0.883,0.316,0.335,15
0.53,0.415,0.724,0.3105,0.205,10
0.47,0.365,0.4205,0.163,0.14,9
0.515,0.425,0.766,0.304,0.255,14
0.17,0.13,0.03,0.013,0.01,4
0.575,0.46,0.994,0.392,0.34,13
0.52,0.405,0.776,0.32,0.22,8
0.315,0.21,0.125,0.06,0.035,5
0.58,0.45,0.927,0.276,0.36,14
0.4,0.3,0.315,0.109,0.12,9
0.55,0.405,0.8025,0.244,0.255,10
0.36,0.275,0.1975,0.0745,0.07,9
0.53,0.42,0.8945,0.319,0.245,11
0.27,0.2,0.1205,0.0465,0.04,6
0.455,0.355,0.4495,0.177,0.15,9
0.485,0.395,0.6295,0.2285,0.225,14
0.295,0.215,0.128,0.049,0.04,6
0.36,0.27,0.217,0.0885,0.0715,6
0.47,0.36,0.472,0.182,0.15,10
0.55,0.41,0.7605,0.2505,0.195,14
0.45,0.355,0.4585,0.194,0.14,8
0.265,0.21,0.0965,0.0425,0.03,5
0.385,0.31,0.2845,0.1065,0.1,11
0.265,0.205,0.1055,0.039,0.035,5
0.32,0.255,0.1755,0.073,0.065,7
0.5,0.38,0.5955,0.2135,0.2,12
0.6,0.475,1.0875,0.403,0.325,14
0.61,0.48,1.2,0.56,0.28,14
0.585,0.45,0.8685,0.3325,0.27,22
0.7,0.58,2.13,0.7415,0.58,20
0.675,0.525,1.587,0.6935,0.395,13
0.645,0.525,1.8085,0.7035,0.395,18
0.745,0.585,2.499,0.9265,0.7,17
0.685,0.545,1.768,0.7495,0.485,16
0.675,0.545,1.7345,0.6845,0.605,20
0.63,0.49,1.1775,0.4935,0.285,11
0.485,0.4,0.663,0.313,0.2,10
0.44,0.345,0.365,0.1655,0.11,7
0.63,0.5,1.005,0.367,0.36,16
0.545,0.41,0.625,0.223,0.235,13
0.605,0.5,1.098,0.4765,0.375,12
0.675,0.555,1.4385,0.545,0.465,21
0.615,0.525,1.0385,0.427,0.345,11
0.62,0.52,1.1835,0.378,0.395,23
0.455,0.35,0.5185,0.221,0.135,10
0.44,0.355,0.415,0.1585,0.131,11
0.57,0.44,0.9535,0.3785,0.305,17
0.605,0.47,0.939,0.3385,0.32,13
0.195,0.145,0.032,0.01,0.012,4
0.62,0.485,1.1785,0.4675,0.39,13
0.48,0.375,0.777,0.216,0.17,9
0.295,0.215,0.129,0.05,0.04,7
0.58,0.49,1.3165,0.5305,0.41,18
0.53,0.41,0.8115,0.24,0.24,19
0.37,0.275,0.2225,0.093,0.08,8
0.565,0.44,0.909,0.344,0.255,15
0.28,0.205,0.1165,0.0545,0.03,5
0.25,0.19,0.0765,0.036,0.0245,6
0.525,0.41,0.99,0.3865,0.295,15
0.465,0.36,0.488,0.191,0.155,11
0.52,0.385,0.669,0.2385,0.205,12
0.36,0.265,0.2065,0.078,0.06,8
0.485,0.375,0.556,0.1925,0.1685,10
0.28,0.205,0.1015,0.041,0.03,6
0.235,0.175,0.067,0.027,0.018,6
0.36,0.3,0.27,0.1185,0.0745,7
0.38,0.275,0.1375,0.086,0.0605,7
0.395,0.29,0.319,0.138,0.082,7
0.47,0.375,0.5805,0.266,0.169,8
0.505,0.44,0.8275,0.3415,0.239,8
0.55,0.45,0.875,0.362,0.2765,10
0.575,0.465,0.958,0.442,0.2705,9
0.59,0.46,1.102,0.455,0.33,12
0.625,0.49,1.3825,0.5895,0.381,11
0.66,0.52,1.558,0.755,0.4,10
0.32,0.24,0.1575,0.07,0.0425,5
0.345,0.265,0.2455,0.111,0.065,7
0.385,0.265,0.251,0.124,0.07,6
0.475,0.36,0.5915,0.3245,0.127,6
0.495,0.395,0.6335,0.3035,0.1495,8
0.5,0.385,0.56,0.2835,0.135,8
0.5,0.4,0.6725,0.336,0.1825,7
0.505,0.41,0.642,0.289,0.155,9
0.51,0.405,0.7035,0.347,0.1885,8
0.53,0.425,0.7585,0.325,0.205,8
0.595,0.47,1.121,0.4515,0.155,11
0.595,0.475,1.213,0.621,0.274,9
0.66,0.535,1.5905,0.6425,0.5175,9
0.765,0.6,2.302,1.007,0.6205,12
0.195,0.15,0.0375,0.018,0.011,3
0.245,0.18,0.071,0.03,0.0215,4
0.28,0.21,0.1075,0.0415,0.034,5
0.405,0.3,0.32,0.172,0.093,7
0.43,0.335,0.397,0.1985,0.1035,7
0.45,0.34,0.4925,0.241,0.12,6
0.51,0.405,0.6795,0.3465,0.182,8
0.525,0.4,0.6455,0.325,0.17,8
0.525,0.405,0.7555,0.3755,0.201,9
0.565,0.435,0.99,0.5795,0.206,8
0.57,0.445,0.8775,0.412,0.22,8
0.575,0.445,1.0225,0.549,0.228,9
0.63,0.47,1.1325,0.589,0.287,8
0.63,0.5,1.2645,0.5635,0.3425,10
0.645,0.53,1.39,0.6465,0.3735,10
0.65,0.5,1.202,0.565,0.294,11
0.69,0.53,1.583,0.7355,0.3865,12
0.755,0.58,2.0065,0.8295,0.595,10
0.33,0.25,0.2085,0.102,0.052,7
0.385,0.29,0.2615,0.111,0.0745,9
0.42,0.305,0.328,0.168,0.082,6
0.48,0.37,0.5435,0.244,0.165,9
0.5,0.375,0.5695,0.259,0.157,7
0.52,0.395,0.663,0.3005,0.1905,9
0.53,0.415,0.694,0.3905,0.167,9
0.535,0.41,0.7145,0.335,0.2075,9
0.57,0.45,0.794,0.3815,0.245,8
0.575,0.46,0.892,0.4415,0.22,10
0.585,0.49,1.171,0.522,0.335,10
0.59,0.47,1.187,0.5985,0.31,9
0.6,0.475,1.12,0.565,0.27,10
0.615,0.475,1.129,0.4795,0.3,10
0.62,0.5,1.293,0.596,0.354,10
0.63,0.485,1.062,0.5065,0.3365,12
0.635,0.51,0.986,0.405,0.31,10
0.705,0.565,2.21,1.1075,0.512,10
0.475,0.365,0.459,0.2175,0.1165,7
0.515,0.425,0.9365,0.497,0.2185,8
0.55,0.43,0.84,0.375,0.1945,8
0.58,0.46,1.165,0.65,0.3055,9
0.59,0.465,1.151,0.613,0.2515,9
0.595,0.455,1.04,0.452,0.288,9
0.62,0.485,1.049,0.462,0.25,10
0.63,0.47,1.1005,0.52,0.276,9
0.645,0.51,1.539,0.6405,0.43,11
0.645,0.505,1.318,0.55,0.335,11
0.67,0.51,1.5265,0.651,0.345,10
0.74,0.57,1.8725,0.9115,0.446,10
0.37,0.27,0.2175,0.097,0.065,6
0.39,0.29,0.2225,0.095,0.073,7
0.41,0.3,0.28,0.141,0.075,8
0.415,0.325,0.313,0.139,0.0965,7
0.465,0.345,0.393,0.1825,0.12,8
0.475,0.36,0.6325,0.2825,0.19,8
0.475,0.36,0.4285,0.1965,0.112,7
0.5,0.375,0.559,0.2375,0.169,9
0.515,0.35,0.4745,0.213,0.1275,10
0.53,0.42,0.8365,0.3745,0.249,11
0.54,0.43,0.8195,0.3935,0.2295,9
0.56,0.44,0.7235,0.349,0.2,8
0.575,0.435,1.0305,0.4605,0.36,8
0.61,0.485,1.2795,0.5735,0.355,7
0.62,0.515,1.3255,0.6685,0.335,12
0.62,0.48,1.266,0.6285,0.309,12
0.625,0.5,1.0985,0.4645,0.354,9
0.63,0.485,1.233,0.6565,0.3035,10
0.64,0.515,1.247,0.5475,0.3685,10
0.645,0.5,1.286,0.5645,0.386,12
0.645,0.51,1.2415,0.5815,0.315,9
0.66,0.51,1.6375,0.7685,0.3925,14
0.665,0.505,1.289,0.6145,0.3665,11
0.67,0.52,1.32,0.5235,0.4275,13
0.7,0.565,1.8565,0.8445,0.54,10
0.71,0.56,2.015,0.9215,0.566,11
0.72,0.57,1.8275,0.919,0.485,10
0.74,0.565,2.119,0.9655,0.482,12
0.535,0.385,1.0835,0.4955,0.304,8
0.545,0.42,0.8935,0.4235,0.228,8
0.6,0.495,1.3005,0.6195,0.3285,11
0.675,0.53,1.4465,0.6775,0.389,10
0.185,0.135,0.027,0.0105,0.009,5
0.41,0.335,0.3305,0.1405,0.105,7
0.445,0.33,0.358,0.1525,0.1185,8
0.465,0.37,0.445,0.1635,0.166,7
0.47,0.375,0.487,0.196,0.135,8
0.495,0.38,0.5,0.205,0.1505,8
0.5,0.38,0.5605,0.28,0.15,9
0.515,0.385,0.5785,0.253,0.14,8
0.54,0.39,0.6255,0.2525,0.19,8
0.555,0.435,0.7495,0.341,0.214,8
0.56,0.445,0.832,0.3455,0.279,9
0.565,0.415,0.667,0.302,0.185,7
0.565,0.46,0.8715,0.3755,0.25,10
0.57,0.415,0.88,0.4275,0.238,13
0.575,0.445,0.876,0.3795,0.27,10
0.575,0.45,0.8715,0.45,0.225,10
0.575,0.45,0.8245,0.3375,0.239,11
0.58,0.44,0.8295,0.3365,0.2485,9
0.605,0.49,1.071,0.482,0.352,10
0.605,0.455,0.862,0.334,0.3,9
0.61,0.47,1.1785,0.566,0.294,11
0.615,0.495,1.219,0.564,0.3885,10
0.62,0.49,1.035,0.44,0.285,11
0.64,0.48,1.1145,0.508,0.34,10
0.64,0.49,1.1285,0.477,0.34,9
0.65,0.51,1.375,0.531,0.3985,10
0.655,0.525,1.348,0.5855,0.394,10
0.21,0.15,0.0465,0.017,0.015,5
0.29,0.21,0.1195,0.056,0.03,6
0.35,0.235,0.17,0.0725,0.0495,7
0.36,0.27,0.2185,0.1065,0.062,6
0.43,0.32,0.3675,0.1675,0.105,8
0.6,0.45,0.837,0.37,0.2425,10
0.455,0.355,0.594,0.332,0.1335,8
0.46,0.345,0.4595,0.235,0.116,7
0.49,0.37,0.538,0.271,0.139,8
0.585,0.485,1.079,0.4145,0.356,11
0.62,0.49,1.056,0.493,0.2725,9
0.705,0.57,1.761,0.747,0.488,10
0.53,0.425,0.7455,0.2995,0.245,10
0.425,0.33,0.361,0.134,0.125,7
0.665,0.535,2.1835,0.7535,0.885,27
0.385,0.295,0.335,0.147,0.09,7
0.55,0.44,0.879,0.368,0.265,10
0.69,0.55,1.8465,0.732,0.57,19
0.55,0.47,0.897,0.377,0.29,9
0.19,0.13,0.0295,0.0155,0.01,6
0.445,0.34,0.4475,0.193,0.13,9
0.645,0.495,1.4935,0.5265,0.455,15
0.65,0.515,1.4005,0.5195,0.44,13
0.42,0.34,0.4215,0.175,0.135,8
0.625,0.525,1.5765,0.5115,0.665,16
0.555,0.43,0.7575,0.2735,0.275,13
0.6,0.485,1.2675,0.4995,0.38,13
0.645,0.5,1.4285,0.639,0.36,11
0.72,0.575,2.226,0.8955,0.62,13
0.52,0.41,0.8705,0.3735,0.25,14
0.67,0.52,1.406,0.519,0.37,13
0.485,0.415,0.5705,0.25,0.185,8
0.475,0.375,0.563,0.2525,0.185,10
0.52,0.425,0.813,0.385,0.23,10
0.53,0.435,0.7365,0.3275,0.22,12
0.45,0.36,0.4715,0.2035,0.149,9
0.585,0.455,1.027,0.391,0.25,17
0.435,0.335,0.383,0.1555,0.135,12
0.44,0.345,0.4285,0.165,0.132,11
0.625,0.465,0.972,0.404,0.35,14
0.555,0.455,0.8435,0.309,0.3,15
0.5,0.39,0.709,0.275,0.18,11
0.51,0.415,0.8185,0.3025,0.235,16
0.59,0.455,1.161,0.38,0.28,12
0.39,0.285,0.271,0.11,0.08,8
0.49,0.39,0.592,0.242,0.1835,15
0.415,0.325,0.4665,0.2285,0.114,7
0.415,0.315,0.33,0.1405,0.095,6
0.42,0.32,0.34,0.1745,0.0945,8
0.54,0.42,0.8115,0.392,0.2235,9
0.37,0.29,0.2545,0.108,0.07,6
0.38,0.285,0.237,0.115,0.07,6
0.46,0.35,0.46,0.2025,0.1165,6
0.48,0.37,0.5135,0.243,0.135,8
0.62,0.485,1.2155,0.545,0.345,10
0.62,0.475,1.3245,0.6865,0.3275,9
0.635,0.495,1.596,0.617,0.37,11
0.475,0.365,0.1315,0.2025,0.123,7
0.5,0.39,0.583,0.294,0.1605,8
0.545,0.4,0.778,0.368,0.18,9
0.565,0.43,0.784,0.3495,0.213,9
0.595,0.47,1.108,0.4915,0.3345,9
0.605,0.48,1.079,0.4505,0.293,10
0.625,0.49,1.115,0.484,0.3095,9
0.625,0.48,1.085,0.4645,0.327,10
0.65,0.51,1.407,0.7215,0.335,9
0.37,0.275,0.2065,0.096,0.058,7
0.385,0.285,0.244,0.1215,0.068,8
0.405,0.31,0.91,0.416,0.0995,8
0.405,0.3,0.2885,0.138,0.0765,6
0.43,0.34,0.3645,0.159,0.105,7
0.48,0.375,0.5895,0.2535,0.172,11
0.66,0.525,1.463,0.6525,0.422,11
0.5,0.375,0.529,0.2235,0.16,8
0.665,0.515,1.6385,0.831,0.371,11
0.72,0.565,1.613,0.723,0.4945,12
0.735,0.57,2.2355,1.1705,0.5315,10
0.315,0.235,0.1285,0.051,0.0405,4
0.335,0.26,0.1965,0.0875,0.056,7
0.425,0.34,0.371,0.15,0.115,8
0.505,0.425,0.6115,0.245,0.2,9
0.575,0.455,0.9895,0.495,0.246,9
0.575,0.45,0.9655,0.498,0.23,8
0.605,0.48,0.9995,0.425,0.3,10
0.61,0.48,1.0625,0.516,0.2915,11
0.67,0.525,1.4005,0.715,0.387,9
0.69,0.515,1.8445,0.9815,0.341,13
0.745,0.575,1.884,0.954,0.495,12
0.51,0.37,1.183,0.508,0.343,9
0.535,0.405,1.2705,0.548,0.337,13
0.56,0.425,0.9415,0.509,0.1975,9
0.64,0.485,1.006,0.456,0.2835,9
0.455,0.355,0.372,0.138,0.135,9
0.47,0.375,0.5225,0.2265,0.162,8
0.52,0.41,0.6625,0.2775,0.196,11
