@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.44,11
F,0.335,9
I,0.41,8
M,0.325,7
M,0.51,12
M,0.475,21
M,0.465,13
M,0.435,9
F,0.375,10
F,0.4,10
M,0.34,10
I,0.195,5
F,0.35,9
M,0.375,10
F,0.545,16
F,0.575,20
F,0.475,10
F,0.48,11
M,0.46,10
F,0.325,12
M,0.445,13
I,0.23,8
F,0.455,12
M,0.45,15
F,0.505,15
I,0.205,6
M,0.395,11
F,0.305,9
I,0.12,3
M,0.44,14
M,0.485,23
M,0.35,10
M,0.265,7
M,0.475,13
I,0.31,11
M,0.455,11
M,0.44,8
M,0.5,15
F,0.5,20
I,0.38,11
I,0.2,6
M,0.455,18
M,0.42,22
M,0.41,11
I,0.31,10
M,0.455,15
M,0.435,11
F,0.38,10
F,0.195,5
M,0.11,3
I,0.405,11
M,0.325,15
I,0.425,11
I,0.355,12
I,0.35,16
I,0.475,10
F,0.31,13
F,0.3,13
I,0.345,11
F,0.345,12
M,0.345,13
I,0.38,18
I,0.36,15
F,0.34,7
F,0.45,19
F,0.475,11
F,0.34,10
F,0.295,10
I,0.275,7
F,0.4,13
M,0.44,11
F,0.26,10
M,0.265,8
M,0.255,9
I,0.2,7
F,0.375,12
F,0.405,17
M,0.435,10
M,0.42,11
M,0.405,12
I,0.365,9
M,0.4,9
M,0.45,10
M,0.475,9
F,0.52,10
M,0.505,14
M,0.595,17
I,0.14,6
I,0.175,5
I,0.18,4
I,0.23,5
I,0.22,5
I,0.235,6
I,0.29,6
I,0.315,6
I,0.355,7
M,0.435,8
F,0.455,8
F,0.49,9
F,0.475,10
M,0.525,10
F,0.46,9
I,0.13,4
I,0.32,6
I,0.3,7
I,0.33,7
I,0.33,7
I,0.33,6
M,0.41,9
M,0.415,8
M,0.455,9
M,0.46,9
F,0.47,9
F,0.48,8
F,0.48,10
M,0.525,8
M,0.56,10
M,0.565,11
F,0.63,11
I,0.215,5
I,0.255,6
I,0.275,6
I,0.305,8
I,0.335,7
I,0.355,8
I,0.38,9
M,0.42,9
I,0.41,9
I,0.42,10
I,0.42,9
F,0.405,9
I,0.425,9
F,0.45,8
I,0.44,10
M,0.435,9
M,0.46,10
I,0.445,9
M,0.49,10
M,0.48,9
M,0.51,10
M,0.495,12
M,0.51,11
F,0.53,11
F,0.505,10
F,0.6,11
I,0.29,7
M,0.315,9
M,0.32,8
I,0.335,7
M,0.39,8
F,0.485,11
F,0.515,10
F,0.5,9
F,0.54,11
M,0.525,12
M,0.555,11
I,0.285,7
I,0.3,8
I,0.335,7
M,0.425,10
I,0.42,9
F,0.44,9
M,0.44,9
F,0.45,8
I,0.435,9
I,0.45,10
I,0.46,11
F,0.46,8
F,0.48,8
I,0.465,9
F,0.49,10
F,0.495,9
M,0.525,11
M,0.52,11
F,0.54,11
F,0.565,11
F,0.535,15
F,0.525,7
M,0.63,12
M,0.32,7
I,0.325,8
I,0.345,8
F,0.415,10
M,0.455,9
M,0.495,9
F,0.475,8
F,0.545,13
I,0.27,6
I,0.335,7
I,0.33,7
I,0.415,10
I,0.405,9
I,0.45,6
F,0.45,9
M,0.485,12
F,0.51,12
M,0.49,11
M,0.515,12
F,0.535,10
I,0.325,7
I,0.365,8
M,0.385,10
I,0.19,5
I,0.215,5
I,0.255,8
I,0.295,7
I,0.305,7
I,0.32,8
M,0.35,8
F,0.38,7
I,0.35,8
F,0.47,10
M,0.57,17
F,0.455,10
M,0.31,8
I,0.2,5
F,0.565,11
M,0.305,5
F,0.5,13
M,0.43,13
M,0.4,6
F,0.375,13
I,0.28,7
F,0.435,15
M,0.465,17
M,0.36,10
F,0.46,14
M,0.495,14
F,0.465,13
M,0.405,9
M,0.36,8
M,0.49,11
I,0.345,9
M,0.55,21
F,0.565,17
M,0.43,16
M,0.47,13
M,0.545,15
M,0.29,10
F,0.5,8
M,0.235,11
F,0.515,16
I,0.5,16
M,0.355,13
M,0.38,12
M,0.325,9
M,0.49,14
M,0.485,18
M,0.4,12
F,0.415,14
M,0.325,7
M,0.36,12
M,0.4,15
I,0.255,6
M,0.46,11
I,0.35,6
I,0.385,7
M,0.375,7
M,0.415,7
F,0.445,8
M,0.48,8
F,0.49,9
M,0.5,12
I,0.32,7
I,0.34,7
M,0.38,8
I,0.395,8
F,0.45,7
M,0.47,8
F,0.465,8
F,0.475,9
M,0.45,7
F,0.47,9
M,0.55,9
I,0.245,6
I,0.255,7
I,0.3,7
I,0.305,7
I,0.38,9
M,0.475,10
F,0.475,10
M,0.52,9
I,0.195,4
I,0.27,8
I,0.285,6
I,0.365,7
M,0.4,9
M,0.45,10
F,0.515,11
F,0.565,11
I,0.25,6
I,0.4,8
M,0.365,8
I,0.425,8
F,0.45,9
M,0.47,10
M,0.49,10
M,0.52,11
M,0.485,10
M,0.55,11
M,0.475,9
M,0.47,9
M,0.505,11
M,0.51,12
M,0.52,11
I,0.17,4
M,0.4,9
M,0.415,9
F,0.43,8
I,0.325,8
I,0.32,7
M,0.405,10
F,0.49,10
F,0.39,9
M,0.36,10
M,0.425,20
M,0.44,10
I,0.2,7
M,0.44,11
M,0.335,11
I,0.25,9
M,0.34,10
F,0.505,12
F,0.485,13
M,0.525,14
F,0.55,13
F,0.52,12
F,0.485,14
F,0.475,13
F,0.5,14
M,0.45,14
M,0.26,9
F,0.555,19
I,0.285,8
M,0.255,8
I,0.13,5
F,0.375,12
M,0.395,18
M,0.395,9
F,0.48,8
I,0.265,5
I,0.27,6
I,0.35,8
F,0.39,8
F,0.58,9
M,0.44,8
M,0.44,8
F,0.5,11
I,0.265,6
I,0.355,8
I,0.455,8
F,0.52,11
M,0.515,10
M,0.46,10
F,0.49,11
F,0.5,9
M,0.525,10
F,0.565,13
I,0.32,8
I,0.35,9
I,0.45,9
F,0.49,10
M,0.45,10
M,0.31,9
M,0.375,9
F,0.5,11
M,0.465,9
I,0.42,9
F,0.42,13
I,0.48,12
M,0.49,12
F,0.365,8
M,0.385,10
M,0.445,9
M,0.54,11
F,0.535,14
F,0.45,12
F,0.465,14
M,0.395,19
F,0.4,9
F,0.41,12
M,0.225,9
I,0.225,9
M,0.47,16
M,0.27,6
I,0.39,19
F,0.41,10
I,0.46,13
F,0.35,8
I,0.38,12
I,0.55,10
F,0.275,10
I,0.175,6
F,0.55,11
F,0.575,10
I,0.3,6
M,0.315,8
I,0.33,7
I,0.135,4
I,0.31,6
I,0.39,8
M,0.475,9
I,0.28,7
I,0.27,6
M,0.495,9
F,0.485,10
M,0.465,10
M,0.385,8
M,0.445,10
F,0.5,12
I,0.375,8
M,0.525,11
M,0.55,11
I,0.25,6
F,0.455,11
M,0.475,9
F,0.485,10
