@relation abalone

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.14,0.2865,15
M,0.175,0.4865,15
F,0.13,0.2475,15
F,0.15,0.3445,15
F,0.185,0.314,15
M,0.17,0.5905,15
M,0.23,0.644,15
F,0.145,0.3345,15
M,0.165,0.428,15
M,0.175,0.3835,15
F,0.19,0.464,15
F,0.145,0.3535,15
M,0.145,0.4415,15
F,0.2,0.392,15
M,0.19,0.588,15
M,0.195,0.579,15
F,0.185,0.422,15
I,0.17,0.4805,15
M,0.135,0.341,15
F,0.19,0.469,15
M,0.225,0.3815,15
M,0.18,0.3755,15
M,0.125,0.3785,15
M,0.135,0.377,15
M,0.195,0.693,15
F,0.15,0.5235,15
F,0.14,0.3605,15
M,0.2,0.751,15
M,0.14,0.2015,15
F,0.185,0.4485,15
I,0.18,0.6025,15
M,0.165,0.4565,15
F,0.165,0.6055,15
F,0.14,0.213,15
F,0.16,0.391,15
F,0.175,0.391,15
M,0.12,0.2605,15
M,0.2,0.733,15
M,0.16,0.316,15
M,0.16,0.487,15
M,0.165,0.485,15
M,0.12,0.348,15
F,0.14,0.242,15
I,0.105,0.214,15
F,0.225,0.378,15
M,0.15,0.435,15
M,0.15,0.416,15
I,0.17,0.309,15
I,0.125,0.2105,15
F,0.13,0.2505,15
F,0.145,0.1725,15
I,0.16,0.2105,15
M,0.225,0.56,15
M,0.185,0.5265,15
M,0.145,0.236,15
M,0.14,0.2055,15
F,0.12,0.261,15
M,0.19,0.5825,15
M,0.16,0.275,15
M,0.175,0.3295,15
M,0.095,0.2245,15
F,0.135,0.291,15
I,0.145,0.2315,15
F,0.16,0.5985,15
F,0.175,0.51,15
M,0.18,0.394,15
F,0.2,0.358,15
F,0.18,0.562,15
M,0.175,0.578,15
F,0.15,0.4425,15
I,0.145,0.5265,15
F,0.17,0.605,15
M,0.185,0.344,15
M,0.175,0.3895,15
F,0.15,0.2155,15
M,0.155,0.503,15
M,0.21,0.6535,15
M,0.14,0.2015,15
F,0.175,0.6465,15
M,0.115,0.1,15
I,0.145,0.2085,15
F,0.13,0.215,15
F,0.175,0.6805,15
M,0.165,0.2875,15
M,0.145,0.215,15
F,0.185,0.456,15
F,0.16,0.2935,15
M,0.135,0.242,15
M,0.115,0.3925,15
M,0.14,0.4445,15
F,0.145,0.2695,15
M,0.13,0.3865,15
F,0.185,0.6935,15
I,0.095,0.139,7
I,0.135,0.2855,7
I,0.075,0.0485,7
I,0.09,0.114,7
I,0.09,0.108,7
M,0.125,0.302,7
I,0.075,0.0945,7
I,0.1,0.1255,7
I,0.145,0.1945,7
F,0.16,0.173,7
F,0.18,0.5735,7
I,0.11,0.174,7
I,0.085,0.0915,7
I,0.11,0.175,7
I,0.1,0.129,7
I,0.125,0.225,7
I,0.135,0.108,7
I,0.1,0.2325,7
I,0.115,0.2365,7
M,0.1,0.1365,7
M,0.075,0.055,7
M,0.17,0.535,7
I,0.145,0.156,7
F,0.09,0.0745,7
I,0.115,0.279,7
M,0.125,0.4035,7
I,0.09,0.112,7
F,0.105,0.249,7
I,0.08,0.0975,7
M,0.11,0.235,7
F,0.15,0.523,7
I,0.1,0.192,7
M,0.14,0.402,7
I,0.1,0.169,7
I,0.115,0.2315,7
I,0.08,0.122,7
M,0.145,0.3745,7
I,0.11,0.311,7
I,0.09,0.148,7
I,0.105,0.213,7
I,0.085,0.0945,7
I,0.095,0.095,7
I,0.095,0.118,7
I,0.1,0.126,7
I,0.065,0.0565,7
I,0.1,0.0885,7
I,0.075,0.076,7
I,0.115,0.21,7
I,0.09,0.0715,7
I,0.125,0.25,7
I,0.1,0.1445,7
F,0.15,0.5575,7
I,0.08,0.131,7
M,0.075,0.043,7
I,0.1,0.177,7
I,0.095,0.1505,7
I,0.13,0.191,7
F,0.105,0.194,7
M,0.09,0.0755,7
I,0.08,0.0895,7
I,0.115,0.167,7
F,0.15,0.4145,7
I,0.1,0.2285,7
I,0.07,0.104,7
I,0.075,0.0945,7
I,0.12,0.13,7
I,0.1,0.2745,7
I,0.09,0.097,7
F,0.08,0.0675,7
M,0.135,0.377,7
I,0.11,0.23,7
M,0.11,0.1365,7
I,0.12,0.231,7
M,0.12,0.312,7
I,0.1,0.176,7
F,0.115,0.154,7
I,0.1,0.1725,7
M,0.115,0.295,7
M,0.095,0.147,7
I,0.135,0.105,7
I,0.095,0.1615,7
I,0.09,0.128,7
I,0.11,0.157,7
F,0.18,0.631,7
I,0.115,0.2375,7
I,0.13,0.2835,7
I,0.075,0.0305,7
F,0.12,0.2655,7
M,0.08,0.097,7
I,0.095,0.152,7
M,0.085,0.0655,7
M,0.09,0.073,7
F,0.125,0.246,7
I,0.07,0.0875,7
I,0.11,0.082,7
I,0.1,0.073,7
I,0.095,0.138,7
F,0.115,0.416,7
I,0.09,0.117,7
I,0.1,0.0965,7
I,0.105,0.1575,7
M,0.105,0.296,7
M,0.14,0.4695,7
I,0.105,0.2085,7
F,0.11,0.2865,7
M,0.105,0.0935,7
I,0.09,0.07,7
F,0.145,0.466,7
I,0.12,0.233,7
I,0.13,0.281,7
I,0.09,0.1005,7
M,0.13,0.3135,7
I,0.11,0.2355,7
M,0.065,0.034,7
I,0.1,0.1625,7
I,0.1,0.1215,7
I,0.13,0.2355,7
M,0.15,0.412,7
I,0.09,0.1385,7
I,0.085,0.118,7
I,0.095,0.119,7
I,0.105,0.2335,7
I,0.11,0.1355,7
F,0.115,0.323,7
M,0.075,0.05,7
I,0.105,0.1865,7
F,0.115,0.281,7
I,0.105,0.1255,7
I,0.085,0.078,7
M,0.045,0.017,7
I,0.09,0.057,7
