@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.365,0.516,10
I,0.255,0.205,7
I,0.3,0.3515,8
F,0.415,0.7775,20
F,0.355,0.4755,10
M,0.29,0.3275,9
M,0.37,0.5795,9
I,0.245,0.161,6
M,0.31,0.385,7
M,0.425,0.8115,15
M,0.265,0.214,6
I,0.275,0.238,6
I,0.29,0.2505,8
M,0.535,1.7255,19
F,0.325,0.3555,9
I,0.205,0.127,9
M,0.475,1.053,15
F,0.56,2.141,18
M,0.57,2.55,14
I,0.16,0.048,5
M,0.48,0.9395,14
F,0.41,0.644,11
M,0.5,1.3035,16
I,0.34,0.3795,8
M,0.405,0.6155,9
I,0.27,0.205,7
I,0.35,0.435,12
I,0.245,0.1585,13
I,0.245,0.156,7
F,0.475,1.1015,13
I,0.195,0.095,4
M,0.5,1.187,16
M,0.505,1.525,15
M,0.54,1.844,22
M,0.525,1.484,20
M,0.355,0.4775,9
M,0.475,1.116,15
M,0.495,1.0575,26
F,0.435,0.892,13
I,0.255,0.172,6
F,0.325,0.3185,8
F,0.375,0.568,12
M,0.39,0.707,13
F,0.465,0.997,12
M,0.465,0.887,11
F,0.545,1.566,16
F,0.575,1.31,14
I,0.325,0.3215,10
F,0.365,0.5885,9
F,0.39,0.5785,13
I,0.225,0.101,8
I,0.275,0.2335,10
F,0.55,1.7445,17
F,0.585,1.8075,29
M,0.455,1.073,14
M,0.125,0.024,4
M,0.3,0.24,9
F,0.335,0.38,9
F,0.45,0.795,12
I,0.37,0.514,13
F,0.415,0.7335,11
I,0.33,0.406,12
I,0.445,0.8865,11
F,0.48,1.3675,17
I,0.41,0.874,18
I,0.455,0.8525,13
M,0.26,0.1905,6
M,0.24,0.173,7
M,0.34,0.3715,9
I,0.35,0.466,11
I,0.525,1.626,18
F,0.325,0.3915,7
I,0.11,0.019,4
M,0.285,0.2905,12
F,0.33,0.4525,9
I,0.25,0.176,7
I,0.205,0.1135,7
M,0.425,0.8665,18
M,0.39,0.6565,10
F,0.46,1.122,13
F,0.455,0.9805,11
I,0.375,0.521,8
M,0.415,1.042,15
M,0.45,0.9215,12
M,0.335,0.349,10
M,0.33,0.4405,9
I,0.275,0.22,7
F,0.365,0.6835,21
I,0.31,0.306,6
I,0.325,0.378,7
M,0.475,1.3445,11
I,0.25,0.2225,7
I,0.325,0.3645,7
F,0.335,0.4355,6
I,0.375,0.497,6
F,0.365,0.582,8
M,0.365,0.6015,7
M,0.385,0.649,8
M,0.4,0.61,7
M,0.4,0.7325,11
M,0.45,1.1935,10
F,0.46,1.103,9
M,0.47,1.1625,11
F,0.495,1.3075,11
F,0.505,1.4325,8
F,0.505,1.528,11
M,0.535,1.607,12
M,0.505,1.872,10
F,0.535,1.8385,10
M,0.565,1.9525,10
I,0.275,0.2325,6
M,0.465,0.5225,7
I,0.38,0.5545,8
M,0.39,0.7835,7
F,0.43,0.84,8
M,0.43,0.8995,9
M,0.455,1.114,8
M,0.455,1.1915,8
M,0.475,1.1175,9
F,0.57,2.236,11
I,0.225,0.139,6
I,0.255,0.1785,8
I,0.265,0.213,7
I,0.3,0.302,7
I,0.285,0.2645,6
I,0.31,0.301,7
I,0.355,0.4725,8
I,0.395,0.6215,9
I,0.43,0.7285,10
M,0.44,0.8705,9
I,0.425,0.688,9
M,0.455,0.7955,10
M,0.465,0.9145,9
M,0.47,1.409,10
F,0.475,1.023,12
M,0.455,1.082,9
F,0.485,1.3205,9
M,0.49,1.3585,10
F,0.57,2.25,9
I,0.265,0.2215,7
I,0.3,0.247,5
I,0.295,0.3025,5
I,0.365,0.4465,9
I,0.4,0.5625,7
M,0.455,0.906,8
M,0.51,1.308,8
M,0.515,1.466,10
M,0.355,0.464,8
I,0.375,0.4615,8
I,0.4,0.624,8
I,0.4,0.616,8
I,0.395,0.6025,7
I,0.36,0.4725,9
I,0.38,0.615,8
I,0.42,0.6275,9
I,0.395,0.5585,9
M,0.45,0.795,9
I,0.445,0.7405,12
I,0.45,0.807,10
I,0.445,0.7095,9
M,0.49,1.207,10
M,0.47,1.194,10
M,0.475,1.0845,10
M,0.51,1.33,9
F,0.535,1.5175,12
M,0.53,1.5505,10
M,0.52,1.4535,10
F,0.54,1.5805,10
I,0.325,0.7615,10
I,0.345,0.869,9
M,0.41,0.7545,8
F,0.385,1.1185,9
F,0.38,1.205,10
I,0.45,0.8915,8
M,0.485,1.7395,10
M,0.53,1.726,11
I,0.31,0.2805,6
I,0.31,0.311,8
I,0.38,0.5095,8
I,0.395,0.575,9
M,0.455,0.9355,11
F,0.465,1.099,9
M,0.44,1.0465,10
M,0.48,1.031,8
M,0.47,1.0875,9
M,0.495,1.0485,11
F,0.505,1.2895,11
M,0.5,1.273,12
M,0.53,1.1895,11
F,0.485,1.4195,11
F,0.52,1.5535,16
I,0.52,1.238,10
M,0.51,1.218,11
M,0.515,1.312,11
F,0.51,1.473,11
M,0.55,1.6915,11
F,0.575,1.773,13
F,0.57,1.6195,11
F,0.55,1.8325,11
I,0.27,0.271,9
M,0.385,0.6435,7
M,0.385,0.5115,8
F,0.385,0.7655,10
F,0.42,0.7505,9
F,0.44,0.83,9
M,0.585,1.914,11
F,0.31,0.3465,10
M,0.455,0.97,9
M,0.42,0.8085,14
F,0.565,2.1995,17
I,0.15,0.0385,5
F,0.48,0.975,15
M,0.37,0.547,12
M,0.48,1.36,18
M,0.465,1.035,17
F,0.455,0.958,14
F,0.4,0.729,9
F,0.365,0.543,9
F,0.455,0.998,12
M,0.415,0.7485,13
F,0.455,0.9215,17
M,0.45,0.8615,12
F,0.475,1.1805,19
I,0.27,0.185,6
M,0.265,0.2965,7
M,0.47,0.991,16
M,0.435,0.805,17
M,0.345,0.3045,11
M,0.55,1.5515,13
M,0.455,0.86,11
F,0.47,0.9,11
I,0.185,0.075,6
I,0.125,0.0235,6
F,0.505,1.065,12
M,0.57,1.885,19
I,0.325,0.354,8
I,0.375,0.6505,10
I,0.33,0.437,13
I,0.515,1.25,15
I,0.43,1.411,12
F,0.365,0.4805,12
M,0.19,0.0945,6
F,0.255,0.197,9
I,0.17,0.0625,6
M,0.35,0.5905,14
F,0.425,0.7,13
F,0.39,0.6905,12
I,0.31,0.365,6
F,0.375,0.6015,8
I,0.39,0.6125,7
M,0.48,1.262,9
I,0.195,0.0875,4
I,0.22,0.126,6
I,0.225,0.155,6
I,0.235,0.149,7
I,0.295,0.279,7
I,0.325,0.3335,7
I,0.325,0.4165,6
I,0.355,0.495,7
F,0.49,1.1075,8
F,0.495,1.297,11
M,0.52,1.6385,9
M,0.54,1.71,8
F,0.55,1.8495,10
M,0.525,1.742,12
I,0.34,0.3515,7
I,0.395,0.633,9
M,0.42,0.778,7
M,0.42,0.7865,7
M,0.455,0.852,8
M,0.48,1.1015,10
M,0.505,1.3165,11
M,0.515,1.4465,10
M,0.525,1.7585,10
F,0.575,2.012,12
I,0.315,0.3,8
M,0.325,0.4305,8
M,0.43,0.7845,10
I,0.465,0.936,9
M,0.465,0.885,10
F,0.455,0.8755,8
M,0.505,1.221,12
F,0.525,1.711,9
I,0.375,0.589,8
M,0.405,0.818,7
F,0.425,0.782,8
M,0.435,1.057,9
M,0.475,1.1255,10
M,0.475,1.3405,10
I,0.28,0.198,5
I,0.28,0.2145,7
I,0.315,0.3245,8
I,0.385,0.587,8
I,0.375,0.494,8
I,0.375,0.614,8
I,0.4,0.597,8
M,0.405,0.8315,10
M,0.46,1.049,10
M,0.5,1.142,9
M,0.45,1.34,10
F,0.485,1.167,10
M,0.51,1.1885,7
F,0.51,1.3805,10
I,0.33,0.449,6
F,0.44,1.007,9
F,0.43,1.5245,11
F,0.51,1.2235,9
F,0.525,1.3695,11
M,0.545,1.6135,11
I,0.285,0.237,8
I,0.445,0.9175,9
F,0.495,1.089,11
M,0.5,1.154,9
F,0.485,1.1335,11
F,0.555,1.666,11
I,0.17,0.057,5
M,0.395,0.5805,11
I,0.34,0.379,7
M,0.46,1.206,10
M,0.515,1.1735,11
M,0.505,1.532,11
M,0.45,1.047,14
F,0.41,0.6765,9
I,0.195,0.102,8
M,0.515,1.3315,13
I,0.215,0.116,8
M,0.305,0.2775,9
I,0.35,0.375,9
M,0.535,1.383,14
M,0.435,0.906,13
I,0.375,0.533,8
F,0.35,0.4195,7
F,0.435,0.8775,13
M,0.45,0.81,11
F,0.57,1.522,13
F,0.575,1.555,15
M,0.2,0.099,5
M,0.2,0.084,7
F,0.37,0.5885,15
M,0.32,0.3005,11
M,0.215,0.106,5
I,0.445,1.178,20
M,0.315,0.306,9
M,0.375,0.721,14
M,0.515,1.4605,19
M,0.46,1.0165,9
M,0.55,1.9045,13
I,0.27,0.219,6
I,0.3,0.279,8
F,0.44,0.8815,8
F,0.47,1.0745,8
I,0.345,0.4015,6
M,0.505,1.469,9
M,0.52,1.492,11
M,0.525,1.6615,10
F,0.525,1.492,12
I,0.265,0.2775,9
I,0.435,0.4265,8
I,0.35,0.498,7
I,0.425,0.8725,10
F,0.47,1.0805,9
F,0.48,1.043,10
M,0.495,1.304,14
M,0.46,0.9505,9
F,0.5,1.2645,9
M,0.53,1.5955,10
I,0.22,0.1195,5
I,0.335,0.4425,9
I,0.39,0.511,9
I,0.425,0.781,9
F,0.44,0.964,10
F,0.46,1.0455,10
F,0.52,1.281,10
M,0.525,1.4275,13
F,0.54,1.46,9
F,0.53,1.4985,9
M,0.55,1.4385,11
M,0.505,1.167,10
F,0.525,1.37,12
I,0.205,0.101,5
M,0.425,0.702,9
M,0.46,0.86,10
M,0.45,0.8275,8
M,0.5,1.2425,10
F,0.51,1.129,10
F,0.56,1.4575,11
M,0.58,2.381,12
I,0.155,0.0495,3
M,0.37,0.655,10
I,0.235,0.1385,5
F,0.39,0.6355,15
F,0.34,0.3975,8
M,0.45,0.8615,16
M,0.355,0.478,10
I,0.105,0.0145,4
M,0.18,0.0635,4
M,0.42,0.8695,14
M,0.41,0.8005,13
M,0.51,1.5945,10
M,0.6,2.003,10
M,0.6,2.2385,12
F,0.465,1.011,8
M,0.48,1.181,10
F,0.525,1.382,9
F,0.58,1.658,10
I,0.245,0.1445,6
I,0.365,0.651,8
F,0.5,1.2565,10
M,0.51,1.403,11
I,0.3,0.318,6
