@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1-2,9'

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.565,12
M,0.58,10
F,0.68,15
I,0.24,5
I,0.245,4
M,0.475,8
F,0.595,20
F,0.555,11
F,0.52,16
M,0.555,12
M,0.47,8
F,0.52,12
F,0.53,11
F,0.56,9
M,0.71,18
I,0.35,7
M,0.345,9
M,0.645,16
M,0.605,13
F,0.605,13
F,0.645,12
I,0.355,8
M,0.5,13
M,0.335,7
F,0.445,11
M,0.6,15
F,0.46,11
M,0.47,9
F,0.535,10
M,0.59,16
I,0.375,8
M,0.63,19
F,0.68,19
M,0.46,10
F,0.47,10
F,0.515,10
F,0.525,12
F,0.67,14
F,0.565,11
M,0.38,11
M,0.655,13
M,0.665,17
M,0.54,11
M,0.28,5
F,0.38,10
I,0.525,14
F,0.44,8
I,0.45,14
F,0.61,11
I,0.45,15
I,0.53,21
F,0.475,9
F,0.615,16
M,0.455,11
F,0.5,11
M,0.525,11
I,0.255,5
M,0.395,12
I,0.18,4
M,0.555,13
M,0.545,13
F,0.53,17
F,0.53,17
M,0.465,15
M,0.47,9
M,0.515,10
F,0.52,12
I,0.315,7
F,0.6,10
F,0.635,9
F,0.64,8
M,0.66,15
F,0.675,12
F,0.685,11
I,0.3,4
I,0.315,8
I,0.335,7
I,0.34,5
I,0.37,7
I,0.41,7
I,0.41,6
I,0.45,7
F,0.465,6
M,0.5,6
F,0.515,8
M,0.57,10
M,0.575,9
F,0.58,7
F,0.615,8
M,0.66,10
F,0.675,12
F,0.735,11
I,0.275,6
I,0.37,6
I,0.42,6
I,0.425,7
M,0.5,6
I,0.52,8
F,0.55,8
F,0.575,7
M,0.58,8
M,0.59,8
F,0.6,8
M,0.62,8
F,0.65,9
F,0.69,9
F,0.69,9
I,0.375,7
I,0.38,8
I,0.43,8
I,0.465,11
I,0.475,8
I,0.495,8
I,0.495,7
I,0.5,9
I,0.515,7
I,0.515,13
I,0.52,10
M,0.525,9
I,0.53,9
I,0.55,11
I,0.555,10
F,0.56,10
M,0.565,11
F,0.57,9
M,0.585,10
M,0.6,11
M,0.61,12
