@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2,6,8-9'

@attribute Length numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.55,0.3145,0.32,19
0.55,0.318,0.2,9
0.615,0.513,0.305,10
0.605,0.394,0.295,15
0.45,0.18,0.135,7
0.31,0.063,0.045,6
0.615,0.4695,0.345,14
0.695,0.588,0.485,15
0.53,0.316,0.335,15
0.53,0.3105,0.205,10
0.47,0.163,0.14,9
0.515,0.304,0.255,14
0.17,0.013,0.01,4
0.575,0.392,0.34,13
0.52,0.32,0.22,8
0.315,0.06,0.035,5
0.58,0.276,0.36,14
0.4,0.109,0.12,9
0.55,0.244,0.255,10
0.36,0.0745,0.07,9
0.53,0.319,0.245,11
0.27,0.0465,0.04,6
0.455,0.177,0.15,9
0.485,0.2285,0.225,14
0.295,0.049,0.04,6
0.36,0.0885,0.0715,6
0.47,0.182,0.15,10
0.55,0.2505,0.195,14
0.45,0.194,0.14,8
0.265,0.0425,0.03,5
0.385,0.1065,0.1,11
0.265,0.039,0.035,5
0.32,0.073,0.065,7
0.5,0.2135,0.2,12
0.6,0.403,0.325,14
0.61,0.56,0.28,14
0.585,0.3325,0.27,22
0.7,0.7415,0.58,20
0.675,0.6935,0.395,13
0.645,0.7035,0.395,18
0.745,0.9265,0.7,17
0.685,0.7495,0.485,16
0.675,0.6845,0.605,20
0.63,0.4935,0.285,11
0.485,0.313,0.2,10
0.44,0.1655,0.11,7
0.63,0.367,0.36,16
0.545,0.223,0.235,13
0.605,0.4765,0.375,12
0.675,0.545,0.465,21
0.615,0.427,0.345,11
0.62,0.378,0.395,23
0.455,0.221,0.135,10
0.44,0.1585,0.131,11
0.57,0.3785,0.305,17
0.605,0.3385,0.32,13
0.195,0.01,0.012,4
0.62,0.4675,0.39,13
0.48,0.216,0.17,9
0.295,0.05,0.04,7
0.58,0.5305,0.41,18
0.53,0.24,0.24,19
0.37,0.093,0.08,8
0.565,0.344,0.255,15
0.28,0.0545,0.03,5
0.25,0.036,0.0245,6
0.525,0.3865,0.295,15
0.465,0.191,0.155,11
0.52,0.2385,0.205,12
0.36,0.078,0.06,8
0.485,0.1925,0.1685,10
0.28,0.041,0.03,6
0.235,0.027,0.018,6
0.36,0.1185,0.0745,7
0.38,0.086,0.0605,7
