@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R4,7,9'

@attribute Height numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.11,0.081,10
0.085,0.0395,7
0.175,0.3925,19
0.155,0.3075,16
0.05,0.0125,4
0.12,0.1155,10
0.14,0.216,14
0.165,0.318,10
0.145,0.1915,15
0.085,0.0575,7
0.09,0.036,7
0.065,0.0205,7
0.19,0.305,10
0.16,0.2355,10
0.13,0.131,10
0.16,0.178,15
0.12,0.07,7
0.13,0.0755,8
0.065,0.0105,5
0.18,0.2805,13
0.17,0.1965,10
0.105,0.0585,9
0.155,0.1385,18
0.09,0.04,8
0.195,0.4085,16
0.195,0.2505,15
0.205,0.2565,14
0.17,0.286,16
0.15,0.2705,16
0.145,0.189,10
0.145,0.144,8
0.16,0.1735,19
0.1,0.0905,13
0.095,0.055,14
0.19,0.129,9
0.185,0.136,13
0.185,0.1575,16
0.14,0.1735,11
0.105,0.045,9
0.07,0.018,6
0.055,0.012,5
0.05,0.0035,5
0.155,0.2445,17
0.13,0.181,13
0.155,0.2855,11
0.175,0.2635,15
0.18,0.1635,12
0.155,0.209,16
0.05,0.0085,3
0.13,0.1055,13
0.16,0.203,17
0.155,0.195,13
0.145,0.1055,13
0.115,0.1005,11
0.155,0.2275,20
0.15,0.171,14
0.14,0.076,14
0.115,0.057,9
0.145,0.2255,12
0.14,0.095,12
0.075,0.0335,9
0.055,0.0105,7
0.115,0.1235,9
0.12,0.105,11
0.09,0.04,6
0.155,0.243,13
0.18,0.11,22
0.115,0.1065,11
0.13,0.1825,11
0.12,0.1805,15
0.135,0.1525,14
0.09,0.074,10
0.14,0.2035,9
0.165,0.3005,13
0.135,0.158,9
0.11,0.096,9
0.125,0.179,15
0.13,0.1425,8
0.125,0.1915,9
0.15,0.2155,9
0.175,0.276,11
0.15,0.361,10
0.205,0.3415,17
0.155,0.3405,9
0.11,0.0905,7
0.12,0.15,8
0.13,0.141,9
0.15,0.131,8
0.145,0.1815,8
0.155,0.137,7
0.17,0.1935,7
0.18,0.2595,8
0.165,0.262,11
0.18,0.276,11
0.16,0.312,9
0.175,0.3365,10
0.18,0.294,6
0.175,0.362,8
0.04,0.009,4
0.055,0.0175,7
0.1,0.1,6
0.115,0.098,7
0.125,0.1075,6
0.14,0.112,7
