@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R4,9'

@attribute Height numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.155,12
0.165,10
0.165,15
0.045,5
0.06,4
0.12,8
0.17,20
0.14,11
0.165,16
0.15,12
0.13,8
0.155,12
0.115,11
0.15,9
0.165,18
0.095,7
0.09,9
0.215,16
0.165,13
0.16,13
0.2,12
0.085,8
0.165,13
0.09,7
0.15,11
0.165,15
0.13,11
0.15,9
0.16,10
0.185,16
0.115,8
0.16,19
0.2,19
0.135,10
0.125,10
0.14,10
0.15,12
0.165,14
0.155,11
0.1,11
0.195,13
0.175,17
0.135,11
0.08,5
0.105,10
0.15,14
0.105,8
0.135,14
0.14,11
0.145,15
0.145,21
0.125,9
0.17,16
0.12,11
0.115,11
0.17,11
0.075,5
0.115,12
0.035,4
0.16,13
0.13,13
0.13,17
0.17,17
0.14,15
0.18,9
0.135,10
0.115,12
0.085,7
0.155,10
0.165,9
0.165,8
0.17,15
0.17,12
0.16,11
0.08,4
0.07,8
0.075,7
0.075,5
0.095,7
0.09,7
0.09,6
0.13,7
0.125,6
0.135,6
0.14,8
0.155,10
0.16,9
0.15,7
0.16,8
0.195,10
0.195,12
0.22,11
0.065,6
0.1,6
0.095,6
0.115,7
0.125,6
0.135,8
0.135,8
0.145,7
0.145,8
0.15,8
0.15,8
0.135,8
0.19,9
0.155,9
0.17,9
0.085,7
0.08,8
0,8
0.11,11
0.11,8
0.12,8
0.13,7
0.145,9
0.12,7
0.135,13
0.13,10
0.155,9
0.13,9
0.145,11
0.155,10
0.155,10
0.125,11
0.135,9
0.15,10
0.155,11
0.165,12
0.155,10
0.23,15
0.18,10
0.195,10
0.19,11
0.235,14
0.095,6
0.11,6
0.095,8
0.105,6
0.14,9
0.125,8
0.13,6
0.125,8
0.15,9
0.16,9
0.155,8
0.225,10
0.18,10
0.18,11
0.085,6
0.075,5
0.09,8
0.095,8
0.12,8
0.155,9
0.14,10
0.135,12
0.135,10
0.17,9
0.15,8
0.15,9
0.18,11
0.16,10
0.15,12
0.175,9
0.18,12
0.17,12
0.195,10
0.18,10
0.195,10
0.155,9
0.185,11
0.16,9
0.055,4
0.095,7
0.1,11
0.105,8
0.14,8
0.115,10
0.14,10
0.13,7
0.145,9
0.155,9
0.145,9
0.165,10
0.15,10
0.15,9
0.165,11
0.18,11
0.195,13
0.19,11
0.065,7
0.09,7
0.095,7
0.105,8
0.15,9
0.13,9
0.145,9
0.1,8
0.135,8
0.115,11
0.165,8
0.15,10
0.155,14
0.08,7
0.115,8
0.125,10
0.11,9
0.18,16
0.11,9
0.2,12
0.16,9
0.055,6
0.08,5
0.09,11
0.105,7
0.2,18
0.155,13
0.115,8
0.15,13
0.175,13
0.21,15
0.135,10
0.13,10
0.155,10
0.125,8
0.1,10
0.19,17
0.15,23
0.17,12
0.19,18
0.15,11
0.05,3
0.11,12
0.09,10
0.025,5
0.12,9
0.11,10
0.095,9
0.125,9
0.14,11
0.09,7
0.065,5
0.09,8
0.155,12
0.11,8
0.12,7
0.12,7
0.17,6
0.14,9
0.16,8
0.135,8
0.18,9
0.15,9
0.175,10
0.165,11
0.045,4
0.095,6
0.14,8
0.125,8
0.125,9
0.12,9
0.145,10
0.145,10
0.185,11
0.185,10
0.17,10
0.175,12
0.19,9
0.205,9
0.105,7
0.155,9
0.16,9
0.07,6
0.09,7
0.14,9
0.11,8
0.12,8
0.175,11
0.16,11
0.19,12
0.205,11
0.16,11
0.15,9
0.165,11
0.225,14
0.11,6
0.11,8
0.11,9
0.125,7
0.15,9
0.155,9
0.165,11
0.18,10
0.155,10
0.205,14
0.2,11
0.145,11
0.08,7
0.085,7
0.155,9
0.18,13
0.215,24
0.165,10
0.135,15
0.16,12
0.075,5
0.155,9
0.1,6
0.185,15
0.19,16
0.175,8
0.15,13
0.16,14
0.075,5
0.125,11
0.19,18
0.16,15
0.165,14
0.185,12
0.135,9
0.15,17
0.155,16
0.115,13
0.14,8
0.175,19
0.1,9
0.15,10
0.065,5
0.09,6
0.13,10
0.16,13
0.08,6
0.095,7
0.2,13
0.115,7
0.11,8
0.155,9
0.16,11
0.17,10
0.23,10
0.11,6
0.16,8
0.13,8
0.16,12
0.2,11
0.055,3
0.085,6
0.09,7
0.09,7
0.125,9
0.165,9
0.17,10
0.165,8
0.17,12
0.175,10
0.07,7
0.105,8
0.115,9
0.125,9
0.14,7
0.15,10
0.165,10
0.135,14
0.16,10
0.19,11
0.17,10
0.185,11
0.115,7
0.115,9
0.17,9
0.205,13
0.14,8
0.14,10
0.135,9
0.14,10
0.125,9
0.175,10
0.18,14
0.075,6
0.125,8
0.035,4
0.11,7
0.15,12
0.155,11
0.075,5
0.15,13
0.19,14
0.165,17
0.15,10
0.14,15
0.08,12
0.165,20
0.16,14
0.15,13
0.13,13
0.12,9
0.14,12
0.095,6
0.12,7
0.08,6
0.14,9
0.15,11
0.175,10
0.195,11
0.15,10
0.145,11
0.155,9
0.15,9
0.13,8
0.155,10
0.13,8
0.18,9
0.155,10
0.145,8
0.14,10
0.11,6
0.1,7
0.085,7
