@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R3,6,8-9'

@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.44,0.3825,0.3,11
0.335,0.1865,0.115,9
0.41,0.2385,0.19,8
0.325,0.1705,0.1,7
0.51,0.5105,0.675,12
0.475,0.408,0.58,21
0.465,0.4825,0.4,13
0.435,0.269,0.25,9
0.375,0.2775,0.155,10
0.4,0.261,0.22,10
0.34,0.1305,0.165,10
0.195,0.0285,0.03,5
0.35,0.175,0.129,9
0.375,0.2075,0.17,10
0.545,0.5605,0.815,16
0.575,0.765,0.85,20
0.475,0.4355,0.325,10
0.48,0.5265,0.315,11
0.46,0.3635,0.285,10
0.325,0.1595,0.12,12
0.445,0.336,0.275,13
0.23,0.0435,0.04,8
0.455,0.5135,0.3,12
0.45,0.3835,0.37,15
0.505,0.605,0.365,15
0.205,0.045,0.035,6
0.395,0.2215,0.15,11
0.305,0.1455,0.1,9
0.12,0.007,0.005,3
0.44,0.443,0.265,14
0.485,0.4335,0.46,23
0.35,0.1465,0.12,10
0.265,0.0935,0.075,7
0.475,0.6045,0.33,13
0.31,0.116,0.115,11
0.455,0.4355,0.31,11
0.44,0.3395,0.235,8
0.5,0.4565,0.34,15
0.5,0.5595,0.4,20
0.38,0.2165,0.155,11
0.2,0.037,0.03,6
0.455,0.342,0.32,18
0.42,0.2475,0.255,22
0.41,0.2815,0.22,11
0.31,0.123,0.0995,10
0.455,0.3815,0.365,15
0.435,0.36,0.25,11
0.38,0.249,0.21,10
0.195,0.031,0.025,5
0.11,0.0065,0.005,3
0.405,0.2,0.179,11
0.325,0.1,0.1135,15
0.425,0.3695,0.255,11
0.355,0.245,0.168,12
0.35,0.21,0.1275,16
0.475,0.4145,0.345,10
0.31,0.138,0.095,13
0.3,0.1075,0.0865,13
0.345,0.2005,0.166,11
0.345,0.15,0.1515,12
0.345,0.128,0.148,13
0.38,0.2175,0.195,18
0.36,0.214,0.14,15
0.34,0.1555,0.1405,7
0.45,0.358,0.315,19
0.475,0.4145,0.33,11
0.34,0.146,0.12,10
0.295,0.078,0.08,10
0.275,0.0885,0.07,7
0.4,0.3345,0.21,13
