@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-7,9'

@attribute Length numeric
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Viscera_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.475,0.37,0.5095,0.2165,0.1125,9
0.525,0.38,0.6065,0.194,0.1475,14
0.45,0.32,0.381,0.1705,0.075,9
0.355,0.28,0.2455,0.0955,0.062,11
0.705,0.55,1.7095,0.633,0.4115,13
0.465,0.355,0.4795,0.227,0.124,8
0.39,0.295,0.203,0.0875,0.045,7
0.52,0.4,0.58,0.234,0.1315,8
0.46,0.355,0.517,0.2205,0.114,9
0.545,0.43,0.802,0.2935,0.183,11
0.435,0.395,0.3635,0.136,0.098,9
0.435,0.32,0.3325,0.1485,0.0635,9
0.545,0.41,0.6935,0.2975,0.146,11
0.36,0.28,0.1755,0.081,0.0505,6
0.68,0.515,1.6185,0.5125,0.409,12
0.63,0.48,1.0525,0.392,0.336,12
0.615,0.48,1.1595,0.4845,0.2165,13
0.61,0.485,1.0225,0.419,0.2405,12
0.5,0.405,0.772,0.346,0.1535,12
0.53,0.435,0.8155,0.2985,0.155,13
0.47,0.35,0.5175,0.187,0.1235,11
0.425,0.38,0.3265,0.1285,0.0785,10
0.275,0.215,0.1155,0.0485,0.029,7
0.565,0.425,0.9425,0.3495,0.2185,17
0.52,0.45,0.895,0.3615,0.186,14
0.64,0.525,1.779,0.4535,0.2855,22
0.53,0.435,0.699,0.288,0.1595,10
0.54,0.435,0.996,0.3835,0.226,17
0.28,0.21,0.1065,0.039,0.0295,4
0.3,0.22,0.121,0.0475,0.042,5
0.575,0.455,1.165,0.581,0.2275,14
0.57,0.46,0.9535,0.4465,0.2065,12
0.605,0.49,1.227,0.48,0.287,18
0.465,0.375,0.471,0.222,0.119,9
0.535,0.44,0.6765,0.256,0.139,12
0.435,0.325,0.4335,0.178,0.0985,7
0.555,0.45,0.915,0.4,0.246,11
0.61,0.485,1.0915,0.3935,0.2435,18
0.6,0.47,1.036,0.4375,0.196,20
0.645,0.55,1.2915,0.57,0.3045,14
0.67,0.55,1.3905,0.5425,0.3035,12
0.545,0.415,0.7715,0.272,0.1455,10
0.63,0.48,1.0115,0.4235,0.237,12
0.585,0.465,0.908,0.381,0.1615,13
0.55,0.45,0.92,0.378,0.2385,11
0.625,0.5,1.369,0.5875,0.2185,17
0.625,0.5,0.953,0.3445,0.2235,15
0.625,0.485,1.1745,0.4385,0.2305,17
0.275,0.205,0.094,0.0335,0.02,5
0.5,0.385,0.6265,0.2605,0.1665,10
0.475,0.35,0.452,0.1715,0.092,11
0.41,0.305,0.363,0.1735,0.065,11
0.495,0.39,0.6655,0.284,0.162,11
0.52,0.425,0.6805,0.28,0.174,10
0.535,0.42,0.6995,0.2575,0.153,12
0.55,0.43,0.7135,0.2565,0.186,9
0.56,0.445,0.981,0.305,0.2245,16
0.515,0.39,0.5555,0.2,0.1135,12
0.525,0.405,0.658,0.2655,0.1125,12
0.255,0.18,0.079,0.034,0.014,5
0.485,0.38,0.605,0.2155,0.14,15
0.49,0.39,0.573,0.225,0.124,21
0.485,0.37,0.5725,0.204,0.1415,10
0.535,0.405,0.927,0.26,0.1425,16
0.43,0.335,0.444,0.155,0.1145,13
0.315,0.25,0.203,0.0615,0.037,11
0.295,0.225,0.1105,0.0405,0.0245,7
0.485,0.355,0.547,0.215,0.1615,10
0.62,0.505,1.5275,0.69,0.368,13
0.57,0.43,1.0615,0.348,0.167,15
0.505,0.385,0.6775,0.236,0.179,15
0.56,0.41,0.93,0.3505,0.237,13
0.505,0.385,0.6415,0.246,0.152,12
0.515,0.405,0.695,0.215,0.1635,15
0.53,0.41,0.7155,0.2805,0.1685,11
0.46,0.34,0.495,0.1655,0.117,10
0.255,0.185,0.088,0.0365,0.021,5
0.35,0.25,0.18,0.0655,0.048,6
0.41,0.325,0.394,0.208,0.0655,6
0.415,0.32,0.3735,0.175,0.0755,7
0.49,0.385,0.609,0.3065,0.096,8
0.55,0.45,1.0145,0.407,0.2015,10
0.57,0.435,0.7535,0.349,0.1755,10
0.605,0.455,1.1035,0.421,0.3015,9
0.615,0.505,1.34,0.5315,0.2815,12
0.62,0.5,1.307,0.6355,0.2545,9
0.24,0.175,0.0665,0.031,0.0135,3
0.325,0.24,0.187,0.0825,0.0445,6
0.41,0.31,0.339,0.155,0.0695,7
0.435,0.34,0.3925,0.1825,0.078,6
0.45,0.345,0.47,0.2355,0.0855,7
0.45,0.335,0.447,0.2335,0.153,7
0.475,0.37,0.537,0.222,0.1215,9
0.53,0.425,0.8495,0.328,0.232,8
0.535,0.4,0.8215,0.3935,0.196,8
0.55,0.43,0.8105,0.368,0.161,9
0.565,0.4,0.6975,0.3075,0.1665,8
0.57,0.445,1.0635,0.5265,0.2195,8
0.58,0.455,1.012,0.4985,0.2115,10
0.595,0.455,1.044,0.518,0.2205,9
0.64,0.505,1.4025,0.705,0.2655,10
0.645,0.5,1.3385,0.633,0.299,11
0.65,0.525,1.622,0.6645,0.3225,10
0.675,0.57,1.587,0.739,0.2995,10
0.715,0.525,1.56,0.6655,0.383,11
0.225,0.165,0.059,0.027,0.0125,4
0.285,0.22,0.096,0.0405,0.0205,5
0.3,0.22,0.1255,0.055,0.0265,6
0.385,0.29,0.2485,0.122,0.0495,7
0.445,0.34,0.434,0.1945,0.0905,7
0.475,0.35,0.4545,0.2165,0.111,7
0.575,0.445,0.847,0.415,0.1945,9
0.615,0.46,1.0565,0.4815,0.272,10
0.64,0.515,1.369,0.632,0.3415,10
0.655,0.515,1.31,0.553,0.369,11
0.665,0.5,1.2975,0.6035,0.291,9
0.7,0.525,1.6465,0.8545,0.307,9
0.72,0.55,1.9965,0.9035,0.469,10
0.72,0.565,1.187,0.691,0.1945,8
0.25,0.185,0.0685,0.0295,0.014,5
0.31,0.225,0.1055,0.435,0.015,5
0.315,0.23,0.1145,0.046,0.0235,5
0.43,0.315,0.378,0.175,0.08,8
0.455,0.33,0.372,0.358,0.0775,8
0.515,0.4,0.6965,0.32,0.1255,9
0.545,0.435,0.7715,0.372,0.148,8
0.565,0.445,0.796,0.3635,0.184,8
0.58,0.445,0.858,0.4,0.156,8
0.605,0.435,0.9025,0.432,0.174,11
0.615,0.475,1.004,0.4475,0.193,10
0.63,0.475,1.0605,0.5165,0.2195,10
0.635,0.5,1.4595,0.705,0.2645,9
0.675,0.545,1.7375,0.876,0.3135,13
0.73,0.58,1.7375,0.6785,0.4345,11
0.475,0.365,0.566,0.281,0.117,7
0.505,0.385,0.5525,0.239,0.1245,9
0.52,0.4,0.559,0.254,0.139,8
0.59,0.46,0.9905,0.453,0.2205,8
0.605,0.515,1.289,0.6,0.2945,9
0.615,0.475,0.8425,0.353,0.1915,8
0.705,0.56,1.675,0.797,0.4095,10
0.305,0.225,0.1465,0.063,0.034,6
0.355,0.26,0.1985,0.0715,0.0495,7
0.425,0.325,0.317,0.135,0.048,8
0.46,0.35,0.4,0.176,0.083,7
0.475,0.36,0.4905,0.205,0.1305,8
0.495,0.4,0.602,0.2505,0.1265,8
0.54,0.425,0.7205,0.2955,0.169,10
0.545,0.4,0.686,0.3285,0.1455,9
0.545,0.42,0.717,0.358,0.112,8
0.55,0.425,0.639,0.269,0.1345,9
0.555,0.435,0.765,0.3945,0.15,8
0.555,0.46,0.9005,0.3845,0.158,11
0.575,0.465,0.9965,0.417,0.247,8
0.58,0.435,0.834,0.428,0.1515,8
0.585,0.445,0.913,0.4305,0.2205,10
0.61,0.475,1.1155,0.3835,0.223,10
0.625,0.485,1.362,0.6765,0.2615,10
0.63,0.5,1.1965,0.514,0.2325,8
0.635,0.5,1.489,0.715,0.3445,13
0.645,0.51,1.363,0.573,0.362,10
0.665,0.505,1.2915,0.631,0.2925,11
0.71,0.57,1.9805,0.9925,0.4925,12
0.72,0.55,2.125,1.1455,0.4425,13
0.465,0.36,0.5795,0.295,0.1395,7
0.5,0.37,1.0615,0.494,0.223,9
0.515,0.35,0.9225,0.4185,0.198,9
0.525,0.365,0.9605,0.438,0.2225,10
0.525,0.38,0.65,0.303,0.155,7
0.535,0.425,0.771,0.3765,0.1815,8
0.575,0.45,0.8145,0.403,0.1715,10
0.58,0.43,1.48,0.6535,0.324,10
0.6,0.465,1.038,0.4975,0.2205,9
0.635,0.495,1.172,0.445,0.3115,11
0.31,0.215,0.1275,0.0565,0.0275,7
0.365,0.27,0.197,0.0815,0.0325,6
0.365,0.275,0.223,0.098,0.0375,7
0.415,0.31,0.2815,0.1245,0.0615,6
0.51,0.4,0.7005,0.347,0.1105,10
0.515,0.42,0.6725,0.2555,0.1335,10
0.52,0.415,0.6375,0.308,0.1335,9
0.525,0.405,0.6965,0.3045,0.1535,8
0.55,0.435,0.7995,0.295,0.1905,10
0.575,0.45,0.9765,0.495,0.2145,9
0.575,0.435,0.992,0.432,0.2225,10
0.58,0.44,0.7905,0.3525,0.1645,10
0.61,0.46,0.957,0.4255,0.1975,8
0.625,0.445,1.09,0.46,0.2965,11
0.635,0.52,1.3405,0.5065,0.296,11
0.7,0.55,1.4405,0.6565,0.2985,12
0.135,0.13,0.029,0.0125,0.0065,4
0.285,0.215,0.0935,0.031,0.023,6
0.29,0.21,0.1115,0.048,0.0205,5
0.325,0.25,0.1745,0.0875,0.0355,7
0.47,0.375,0.441,0.167,0.0865,10
0.51,0.455,0.6855,0.2875,0.154,9
0.58,0.46,1.063,0.513,0.2705,9
0.59,0.465,1.115,0.5165,0.273,10
0.66,0.515,1.5655,0.7345,0.353,9
0.42,0.315,0.355,0.1895,0.065,6
0.5,0.38,0.6355,0.277,0.143,8
0.535,0.42,0.699,0.3125,0.1565,8
0.685,0.55,1.7725,0.813,0.387,11
0.5,0.39,0.651,0.273,0.132,11
0.5,0.38,0.66,0.2655,0.1365,19
0.49,0.385,0.5395,0.2175,0.128,11
0.585,0.48,1.04,0.434,0.265,10
0.675,0.55,1.6885,0.562,0.3705,15
0.475,0.36,0.4555,0.177,0.0965,9
0.435,0.35,0.4585,0.192,0.1,11
0.565,0.425,0.7145,0.3055,0.166,12
