@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.52,15
M,0.495,15
M,0.59,15
M,0.555,15
F,0.605,15
F,0.6,15
M,0.56,15
M,0.605,15
M,0.635,15
M,0.695,15
F,0.525,15
M,0.465,15
F,0.52,15
F,0.61,15
I,0.465,15
F,0.62,15
M,0.565,15
M,0.66,15
I,0.66,15
M,0.55,15
M,0.605,15
M,0.66,15
F,0.48,15
M,0.57,15
I,0.555,15
I,0.45,15
F,0.69,15
F,0.595,15
M,0.6,15
M,0.65,15
F,0.61,15
F,0.5,15
M,0.455,15
M,0.585,15
M,0.555,15
M,0.6,15
I,0.655,15
F,0.465,15
F,0.675,15
F,0.71,15
M,0.695,15
M,0.64,15
I,0.48,15
M,0.535,15
I,0.62,15
F,0.535,15
M,0.65,15
F,0.62,15
F,0.64,15
M,0.49,15
F,0.47,15
M,0.565,15
F,0.54,15
F,0.68,15
F,0.6,15
F,0.625,15
M,0.605,15
F,0.56,15
F,0.52,15
F,0.7,15
M,0.585,15
M,0.515,15
F,0.67,15
F,0.52,15
M,0.635,15
M,0.42,15
M,0.605,15
F,0.625,15
M,0.525,15
F,0.635,15
M,0.61,15
M,0.445,15
F,0.665,15
M,0.57,15
M,0.645,15
F,0.575,15
M,0.695,15
F,0.5,15
M,0.62,15
F,0.485,15
I,0.52,15
M,0.64,15
M,0.565,15
I,0.48,15
M,0.495,15
M,0.505,15
F,0.505,15
M,0.545,15
M,0.53,15
F,0.53,15
F,0.505,15
M,0.63,15
M,0.59,15
I,0.365,7
I,0.32,7
I,0.48,7
F,0.46,7
I,0.505,7
I,0.515,7
M,0.4,7
I,0.43,7
I,0.465,7
M,0.335,7
I,0.455,7
I,0.445,7
I,0.45,7
I,0.475,7
I,0.325,7
I,0.425,7
I,0.495,7
I,0.52,7
M,0.565,7
I,0.335,7
I,0.42,7
M,0.555,7
I,0.36,7
I,0.36,7
I,0.34,7
F,0.525,7
M,0.38,7
I,0.435,7
F,0.43,7
M,0.55,7
F,0.375,7
F,0.575,7
M,0.425,7
I,0.45,7
F,0.435,7
I,0.33,7
M,0.31,7
I,0.41,7
I,0.33,7
F,0.305,7
I,0.42,7
I,0.465,7
I,0.365,7
I,0.445,7
M,0.545,7
I,0.365,7
F,0.39,7
I,0.425,7
I,0.37,7
I,0.44,7
I,0.44,7
I,0.375,7
I,0.41,7
M,0.505,7
F,0.495,7
I,0.46,7
M,0.545,7
I,0.32,7
I,0.41,7
I,0.355,7
I,0.445,7
I,0.475,7
I,0.52,7
I,0.31,7
I,0.39,7
I,0.455,7
I,0.325,7
F,0.485,7
I,0.435,7
I,0.39,7
I,0.345,7
I,0.425,7
I,0.53,7
I,0.365,7
I,0.415,7
I,0.37,7
I,0.37,7
M,0.5,7
M,0.28,7
F,0.53,7
I,0.31,7
I,0.275,7
I,0.445,7
I,0.435,7
I,0.315,7
I,0.475,7
M,0.425,7
I,0.445,7
I,0.3,7
M,0.35,7
I,0.44,7
M,0.425,7
M,0.525,7
I,0.365,7
I,0.51,7
I,0.365,7
F,0.585,7
F,0.485,7
I,0.305,7
M,0.54,7
M,0.46,7
M,0.43,7
F,0.52,7
F,0.46,7
I,0.395,7
I,0.41,7
I,0.355,7
I,0.39,7
I,0.36,7
I,0.37,7
I,0.365,7
I,0.445,7
I,0.5,7
I,0.405,7
I,0.395,7
I,0.465,7
I,0.525,7
M,0.285,7
I,0.435,7
M,0.545,7
F,0.505,7
M,0.47,7
I,0.425,7
I,0.35,7
I,0.38,7
M,0.295,7
I,0.475,7
I,0.385,7
I,0.43,7
I,0.41,7
M,0.365,7
I,0.455,7
I,0.335,7
I,0.355,7
I,0.36,7
I,0.41,7
I,0.515,7
I,0.435,7
I,0.465,7
I,0.32,7
I,0.315,7
M,0.505,7
F,0.58,7
M,0.465,7
I,0.52,7
F,0.38,7
F,0.475,7
I,0.415,7
F,0.495,7
I,0.425,7
I,0.4,7
M,0.59,7
I,0.375,7
I,0.36,7
M,0.37,7
M,0.53,7
I,0.37,7
M,0.63,7
I,0.375,7
M,0.435,7
M,0.535,7
M,0.455,7
M,0.35,7
I,0.395,7
I,0.35,7
M,0.485,7
M,0.45,7
I,0.315,7
I,0.37,7
I,0.46,7
I,0.325,7
I,0.32,7
I,0.28,7
I,0.39,7
I,0.39,7
I,0.48,7
I,0.43,7
I,0.415,7
I,0.405,7
I,0.33,7
M,0.325,7
M,0.265,7
I,0.375,7
I,0.445,7
F,0.435,7
I,0.41,7
F,0.37,7
F,0.61,7
I,0.39,7
I,0.435,7
M,0.535,7
I,0.465,7
I,0.39,7
M,0.405,7
I,0.355,7
I,0.375,7
I,0.515,7
I,0.365,7
I,0.45,7
I,0.43,7
M,0.49,7
F,0.4,7
I,0.415,7
I,0.475,7
F,0.305,7
I,0.34,7
I,0.33,7
I,0.435,7
I,0.43,7
I,0.46,7
I,0.45,7
I,0.465,7
I,0.435,7
I,0.37,7
F,0.35,7
M,0.56,7
M,0.39,7
M,0.585,7
I,0.44,7
I,0.44,7
I,0.385,7
I,0.35,7
I,0.365,7
I,0.41,7
I,0.45,7
F,0.465,7
I,0.475,7
M,0.47,7
I,0.405,7
F,0.375,7
M,0.32,7
M,0.5,7
F,0.425,7
I,0.47,7
I,0.44,7
I,0.335,7
M,0.27,7
M,0.29,7
I,0.375,7
I,0.505,7
M,0.31,7
M,0.52,7
I,0.51,7
I,0.385,7
I,0.44,7
I,0.375,7
I,0.385,7
I,0.43,7
I,0.495,7
I,0.435,7
I,0.38,7
I,0.415,7
I,0.435,7
F,0.385,7
I,0.415,7
I,0.275,7
I,0.45,7
I,0.33,7
I,0.37,7
I,0.46,7
I,0.275,7
I,0.45,7
I,0.46,7
I,0.375,7
F,0.455,7
I,0.535,7
F,0.49,7
I,0.475,7
I,0.42,7
F,0.55,7
M,0.44,7
M,0.335,7
I,0.46,7
I,0.455,7
I,0.485,7
I,0.36,7
M,0.62,7
I,0.415,7
M,0.445,7
M,0.415,7
M,0.475,7
I,0.45,7
I,0.385,7
I,0.36,7
I,0.405,7
I,0.405,7
I,0.415,7
I,0.39,7
I,0.485,7
M,0.615,7
I,0.45,7
I,0.47,7
I,0.405,7
M,0.48,7
M,0.33,7
I,0.345,7
I,0.38,7
M,0.42,7
I,0.435,7
I,0.5,7
I,0.425,7
I,0.36,7
M,0.525,7
I,0.4,7
M,0.52,7
M,0.205,7
F,0.435,7
I,0.375,7
I,0.39,7
F,0.475,7
I,0.39,7
I,0.31,7
I,0.395,7
I,0.51,7
F,0.375,7
I,0.35,7
I,0.46,7
I,0.275,7
M,0.505,7
I,0.425,7
M,0.465,7
I,0.355,7
I,0.475,7
F,0.51,7
I,0.285,7
M,0.385,7
I,0.34,7
I,0.415,7
I,0.42,7
I,0.33,7
I,0.435,7
M,0.5,7
I,0.495,7
I,0.35,7
I,0.405,7
I,0.36,7
I,0.295,7
I,0.28,7
I,0.46,7
I,0.46,7
I,0.38,7
M,0.35,7
I,0.475,7
I,0.335,7
M,0.495,7
I,0.425,7
I,0.33,7
F,0.72,7
F,0.525,7
F,0.555,7
I,0.44,7
M,0.615,9
M,0.63,9
F,0.58,9
F,0.59,9
M,0.495,9
F,0.55,9
M,0.59,9
M,0.555,9
F,0.625,9
I,0.46,9
I,0.505,9
M,0.635,9
F,0.615,9
F,0.49,9
M,0.45,9
I,0.51,9
M,0.575,9
I,0.565,9
F,0.455,9
F,0.515,9
M,0.57,9
I,0.465,9
I,0.5,9
M,0.36,9
M,0.55,9
F,0.55,9
F,0.745,9
M,0.555,9
I,0.61,9
I,0.52,9
F,0.675,9
F,0.525,9
M,0.595,9
M,0.575,9
M,0.47,9
I,0.32,9
F,0.575,9
M,0.59,9
I,0.525,9
F,0.485,9
M,0.685,9
F,0.56,9
F,0.715,9
F,0.515,9
I,0.4,9
F,0.635,9
M,0.605,9
F,0.615,9
I,0.475,9
M,0.62,9
F,0.435,9
M,0.59,9
F,0.615,9
M,0.525,9
I,0.295,9
F,0.655,9
F,0.605,9
M,0.645,9
I,0.355,9
M,0.4,9
F,0.5,9
F,0.6,9
F,0.58,9
F,0.46,9
F,0.6,9
M,0.445,9
F,0.47,9
F,0.61,9
F,0.575,9
I,0.46,9
I,0.5,9
F,0.58,9
M,0.46,9
I,0.55,9
M,0.625,9
I,0.5,9
F,0.58,9
M,0.65,9
I,0.56,9
M,0.45,9
I,0.525,9
M,0.58,9
M,0.34,9
F,0.53,9
F,0.53,9
M,0.655,9
M,0.635,9
F,0.675,9
I,0.475,9
M,0.5,9
M,0.625,9
F,0.64,9
M,0.615,9
F,0.49,9
F,0.435,9
M,0.6,9
M,0.41,9
F,0.5,9
F,0.345,9
I,0.435,9
F,0.575,9
F,0.57,9
F,0.54,9
I,0.53,9
I,0.665,9
M,0.55,9
M,0.6,9
F,0.525,9
I,0.565,9
M,0.56,9
M,0.575,9
M,0.575,9
F,0.55,9
M,0.64,9
F,0.45,9
M,0.58,9
M,0.625,9
M,0.35,9
F,0.515,9
M,0.335,9
M,0.645,9
F,0.45,9
M,0.56,9
M,0.6,9
I,0.485,9
F,0.65,9
M,0.375,9
M,0.565,9
M,0.58,9
F,0.465,9
M,0.61,9
M,0.52,9
F,0.44,9
F,0.635,9
M,0.345,9
M,0.35,9
M,0.565,9
F,0.69,9
M,0.64,9
I,0.505,9
F,0.705,9
M,0.375,9
F,0.405,9
I,0.47,9
F,0.56,9
F,0.625,9
M,0.58,9
I,0.335,9
M,0.565,9
I,0.475,9
F,0.435,9
F,0.69,9
M,0.48,9
M,0.415,9
F,0.58,9
F,0.57,9
M,0.665,9
F,0.535,9
F,0.605,9
M,0.64,9
I,0.555,9
F,0.455,9
F,0.655,9
F,0.56,9
F,0.64,9
I,0.515,9
F,0.62,9
I,0.44,9
F,0.615,9
I,0.54,9
M,0.345,9
I,0.575,9
M,0.61,9
I,0.55,9
M,0.475,9
M,0.475,9
I,0.55,9
I,0.565,9
F,0.415,9
M,0.53,9
I,0.55,9
M,0.66,9
M,0.63,9
I,0.42,9
F,0.61,9
F,0.61,9
I,0.59,9
F,0.605,9
M,0.595,9
F,0.53,9
F,0.595,9
M,0.425,9
M,0.545,9
M,0.365,9
F,0.575,9
M,0.55,9
F,0.63,9
M,0.575,9
M,0.4,9
I,0.565,9
F,0.65,9
M,0.615,9
F,0.575,9
M,0.41,9
F,0.605,9
M,0.6,9
M,0.41,9
M,0.545,9
I,0.47,9
M,0.67,9
I,0.52,9
M,0.295,9
M,0.505,9
F,0.665,9
I,0.51,9
M,0.62,9
I,0.585,9
M,0.53,9
F,0.565,9
F,0.56,9
I,0.535,9
F,0.605,9
F,0.65,9
I,0.49,9
F,0.57,9
M,0.585,9
M,0.65,9
M,0.445,9
M,0.58,9
M,0.4,9
I,0.505,9
M,0.575,9
M,0.505,9
M,0.595,9
M,0.49,9
F,0.64,9
M,0.52,9
M,0.535,9
M,0.325,9
F,0.625,9
I,0.47,9
