@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,8-9'

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.365,0.516,0.155,10
I,0.255,0.205,0.055,7
I,0.3,0.3515,0.12,8
F,0.415,0.7775,0.33,20
F,0.355,0.4755,0.185,10
M,0.29,0.3275,0.09,9
M,0.37,0.5795,0.14,9
I,0.245,0.161,0.045,6
M,0.31,0.385,0.11,7
M,0.425,0.8115,0.255,15
M,0.265,0.214,0.07,6
I,0.275,0.238,0.07,6
I,0.29,0.2505,0.08,8
M,0.535,1.7255,0.54,19
F,0.325,0.3555,0.117,9
I,0.205,0.127,0.042,9
M,0.475,1.053,0.325,15
F,0.56,2.141,1.005,18
M,0.57,2.55,0.725,14
I,0.16,0.048,0.015,5
M,0.48,0.9395,0.295,14
F,0.41,0.644,0.21,11
M,0.5,1.3035,0.465,16
I,0.34,0.3795,0.12,8
M,0.405,0.6155,0.205,9
I,0.27,0.205,0.07,7
I,0.35,0.435,0.125,12
I,0.245,0.1585,0.05,13
I,0.245,0.156,0.045,7
F,0.475,1.1015,0.295,13
I,0.195,0.095,0.026,4
M,0.5,1.187,0.37,16
M,0.505,1.525,0.45,15
M,0.54,1.844,0.585,22
M,0.525,1.484,0.43,20
M,0.355,0.4775,0.19,9
M,0.475,1.116,0.315,15
M,0.495,1.0575,0.375,26
F,0.435,0.892,0.335,13
I,0.255,0.172,0.06,6
F,0.325,0.3185,0.095,8
F,0.375,0.568,0.17,12
M,0.39,0.707,0.18,13
F,0.465,0.997,0.34,12
M,0.465,0.887,0.265,11
F,0.545,1.566,0.415,16
F,0.575,1.31,0.42,14
I,0.325,0.3215,0.105,10
F,0.365,0.5885,0.175,9
F,0.39,0.5785,0.2,13
I,0.225,0.101,0.035,8
I,0.275,0.2335,0.085,10
F,0.55,1.7445,0.625,17
F,0.585,1.8075,0.475,29
M,0.455,1.073,0.285,14
M,0.125,0.024,0.005,4
M,0.3,0.24,0.085,9
F,0.335,0.38,0.11,9
F,0.45,0.795,0.23,12
I,0.37,0.514,0.155,13
F,0.415,0.7335,0.2185,11
I,0.33,0.406,0.096,12
I,0.445,0.8865,0.255,11
F,0.48,1.3675,0.515,17
I,0.41,0.874,0.205,18
I,0.455,0.8525,0.3,13
M,0.26,0.1905,0.055,6
M,0.24,0.173,0.05,7
M,0.34,0.3715,0.105,9
I,0.35,0.466,0.145,11
I,0.525,1.626,0.53,18
F,0.325,0.3915,0.12,7
I,0.11,0.019,0.005,4
M,0.285,0.2905,0.0875,12
F,0.33,0.4525,0.123,9
I,0.25,0.176,0.063,7
I,0.205,0.1135,0.0335,7
M,0.425,0.8665,0.29,18
M,0.39,0.6565,0.175,10
F,0.46,1.122,0.315,13
F,0.455,0.9805,0.2965,11
I,0.375,0.521,0.17,8
M,0.415,1.042,0.2905,15
M,0.45,0.9215,0.256,12
M,0.335,0.349,0.115,10
M,0.33,0.4405,0.155,9
I,0.275,0.22,0.065,7
F,0.365,0.6835,0.205,21
I,0.31,0.306,0.094,6
I,0.325,0.378,0.089,7
M,0.475,1.3445,0.36,11
I,0.25,0.2225,0.055,7
I,0.325,0.3645,0.105,7
F,0.335,0.4355,0.1195,6
I,0.375,0.497,0.1295,6
F,0.365,0.582,0.146,8
M,0.365,0.6015,0.14,7
M,0.385,0.649,0.1695,8
M,0.4,0.61,0.144,7
M,0.4,0.7325,0.17,11
M,0.45,1.1935,0.343,10
F,0.46,1.103,0.249,9
M,0.47,1.1625,0.3085,11
F,0.495,1.3075,0.315,11
F,0.505,1.4325,0.336,8
F,0.505,1.528,0.441,11
M,0.535,1.607,0.498,12
M,0.505,1.872,0.48,10
F,0.535,1.8385,0.503,10
M,0.565,1.9525,0.4135,10
I,0.275,0.2325,0.065,6
M,0.465,0.5225,0.141,7
I,0.38,0.5545,0.167,8
M,0.39,0.7835,0.156,7
F,0.43,0.84,0.223,8
M,0.43,0.8995,0.234,9
M,0.455,1.114,0.265,8
M,0.455,1.1915,0.24,8
M,0.475,1.1175,0.274,9
F,0.57,2.236,0.545,11
I,0.225,0.139,0.09,6
I,0.255,0.1785,0.0525,8
I,0.265,0.213,0.06,7
I,0.3,0.302,0.0735,7
I,0.285,0.2645,0.075,6
I,0.31,0.301,0.08,7
I,0.355,0.4725,0.132,8
I,0.395,0.6215,0.195,9
I,0.43,0.7285,0.2545,10
M,0.44,0.8705,0.255,9
I,0.425,0.688,0.2165,9
M,0.455,0.7955,0.204,10
M,0.465,0.9145,0.235,9
M,0.47,1.409,0.295,10
F,0.475,1.023,0.3035,12
M,0.455,1.082,0.315,9
F,0.485,1.3205,0.345,9
M,0.49,1.3585,0.365,10
F,0.57,2.25,0.558,9
I,0.265,0.2215,0.0605,7
I,0.3,0.247,0.0675,5
I,0.295,0.3025,0.0765,5
I,0.365,0.4465,0.1135,9
I,0.4,0.5625,0.17,7
M,0.455,0.906,0.2335,8
M,0.51,1.308,0.377,8
M,0.515,1.466,0.4,10
M,0.355,0.464,0.239,8
I,0.375,0.4615,0.143,8
I,0.4,0.624,0.169,8
I,0.4,0.616,0.1935,8
I,0.395,0.6025,0.162,7
I,0.36,0.4725,0.138,9
I,0.38,0.615,0.175,8
I,0.42,0.6275,0.235,9
I,0.395,0.5585,0.17,9
M,0.45,0.795,0.245,9
I,0.445,0.7405,0.1825,12
I,0.45,0.807,0.254,10
I,0.445,0.7095,0.235,9
M,0.49,1.207,0.309,10
M,0.47,1.194,0.2635,10
M,0.475,1.0845,0.3105,10
M,0.51,1.33,0.317,9
F,0.535,1.5175,0.415,12
M,0.53,1.5505,0.495,10
M,0.52,1.4535,0.4125,10
F,0.54,1.5805,0.435,10
I,0.325,0.7615,0.209,10
I,0.345,0.869,0.319,9
M,0.41,0.7545,0.2105,8
F,0.385,1.1185,0.2845,9
F,0.38,1.205,0.3345,10
I,0.45,0.8915,0.253,8
M,0.485,1.7395,0.3075,10
M,0.53,1.726,0.455,11
I,0.31,0.2805,0.0975,6
I,0.31,0.311,0.115,8
I,0.38,0.5095,0.165,8
I,0.395,0.575,0.183,9
M,0.455,0.9355,0.26,11
F,0.465,1.099,0.35,9
M,0.44,1.0465,0.2795,10
M,0.48,1.031,0.27,8
M,0.47,1.0875,0.2685,9
M,0.495,1.0485,0.3215,11
F,0.505,1.2895,0.345,11
M,0.5,1.273,0.365,12
M,0.53,1.1895,0.35,11
F,0.485,1.4195,0.3255,11
F,0.52,1.5535,0.474,16
I,0.52,1.238,0.3305,10
M,0.51,1.218,0.37,11
M,0.515,1.312,0.4115,11
F,0.51,1.473,0.4245,11
M,0.55,1.6915,0.5,11
F,0.575,1.773,0.538,13
F,0.57,1.6195,0.488,11
F,0.55,1.8325,0.44,11
I,0.27,0.271,0.0735,9
M,0.385,0.6435,0.1515,7
M,0.385,0.5115,0.1455,8
F,0.385,0.7655,0.2365,10
F,0.42,0.7505,0.1845,9
F,0.44,0.83,0.238,9
M,0.585,1.914,0.479,11
F,0.31,0.3465,0.115,10
M,0.455,0.97,0.295,9
M,0.42,0.8085,0.285,14
F,0.565,2.1995,0.885,17
I,0.15,0.0385,0.01,5
F,0.48,0.975,0.34,15
M,0.37,0.547,0.17,12
M,0.48,1.36,0.47,18
M,0.465,1.035,0.385,17
F,0.455,0.958,0.39,14
F,0.4,0.729,0.25,9
F,0.365,0.543,0.15,9
F,0.455,0.998,0.315,12
M,0.415,0.7485,0.285,13
F,0.455,0.9215,0.3,17
M,0.45,0.8615,0.255,12
F,0.475,1.1805,0.425,19
I,0.27,0.185,0.065,6
M,0.265,0.2965,0.085,7
M,0.47,0.991,0.34,16
M,0.435,0.805,0.27,17
M,0.345,0.3045,0.12,11
M,0.55,1.5515,0.445,13
M,0.455,0.86,0.245,11
F,0.47,0.9,0.25,11
I,0.185,0.075,0.025,6
I,0.125,0.0235,0.008,6
F,0.505,1.065,0.315,12
M,0.57,1.885,0.5,19
I,0.325,0.354,0.105,8
I,0.375,0.6505,0.2215,10
I,0.33,0.437,0.17,13
I,0.515,1.25,0.315,15
I,0.43,1.411,0.395,12
F,0.365,0.4805,0.1475,12
M,0.19,0.0945,0.03,6
F,0.255,0.197,0.06,9
I,0.17,0.0625,0.022,6
M,0.35,0.5905,0.19,14
F,0.425,0.7,0.24,13
F,0.39,0.6905,0.2,12
I,0.31,0.365,0.105,6
F,0.375,0.6015,0.135,8
I,0.39,0.6125,0.172,7
M,0.48,1.262,0.335,9
I,0.195,0.0875,0.0255,4
I,0.22,0.126,0.035,6
I,0.225,0.155,0.0365,6
I,0.235,0.149,0.047,7
I,0.295,0.279,0.08,7
I,0.325,0.3335,0.095,7
I,0.325,0.4165,0.11,6
I,0.355,0.495,0.125,7
F,0.49,1.1075,0.3595,8
F,0.495,1.297,0.37,11
M,0.52,1.6385,0.391,9
M,0.54,1.71,0.4325,8
F,0.55,1.8495,0.4175,10
M,0.525,1.742,0.505,12
I,0.34,0.3515,0.094,7
I,0.395,0.633,0.175,9
M,0.42,0.778,0.205,7
M,0.42,0.7865,0.17,7
M,0.455,0.852,0.225,8
M,0.48,1.1015,0.305,10
M,0.505,1.3165,0.37,11
M,0.515,1.4465,0.3755,10
M,0.525,1.7585,0.47,10
