@relation wine

@attribute Alcohol numeric
@attribute OD280/OD315 numeric
@attribute Class {1,2,3}

@data
14.21,3.33,1
14.38,3,1
14.22,3.53,1
13.72,2.87,1
14.22,3.31,1
13.07,2.69,1
13.51,2.87,1
12.93,3.52,1
13.29,2.84,1
14.06,3.71,1
13.86,3.55,1
13.56,3.38,1
14.38,3.44,1
13.05,2.51,1
14.1,2.75,1
12.85,3.63,1
13.75,2.9,1
13.83,3.37,1
13.74,3.2,1
13.48,3.47,1
13.88,3.56,1
13.73,2.71,1
14.1,3.17,1
13.71,4,1
13.56,3.03,1
13.3,2.77,1
14.02,3.59,1
13.5,3.82,1
13.58,2.88,1
13.05,3.35,1
14.06,3.58,1
13.82,3.26,1
13.05,2.91,1
13.41,3,1
13.2,3.4,1
13.05,3.2,1
14.83,2.85,1
13.87,3.4,1
13.24,3,1
13.76,3,1
13.64,3.36,1
13.94,3.1,1
14.23,3.92,1
14.39,3.58,1
13.77,2.93,1
14.12,2.82,1
13.68,2.87,1
13.24,2.93,1
14.2,2.85,1
14.75,2.73,1
14.3,2.65,1
14.19,2.82,1
13.28,2.78,1
11.87,3.64,2
12.47,2.63,2
12.33,1.67,2
11.65,3.21,2
12.69,2.06,2
11.61,3.26,2
12.08,3.19,2
11.45,3.39,2
12,3.12,2
11.84,3.08,2
12.42,2.96,2
12.08,2.27,2
12.34,3.38,2
12.07,3.28,2
13.11,3.18,2
12.25,3.17,2
11.66,2.14,2
12.77,2.12,2
12.22,3.02,2
13.67,2.46,2
12.42,3.3,2
13.03,2.48,2
11.79,2.44,2
12.72,2.42,2
12.52,2.78,2
11.41,2.31,2
13.05,3.1,2
12.37,3.48,2
11.81,2.26,2
11.96,3.13,2
12.17,2.23,2
12.04,2.57,2
12.43,2.84,2
13.86,3.16,2
11.46,2.81,2
12.21,3.07,2
12.08,2.96,2
11.62,2.96,2
12.29,2.74,2
11.03,2.87,2
12.64,1.59,2
12.29,1.82,2
12.08,2.72,2
12.67,3.16,2
11.82,2.44,2
12.08,3.21,2
11.76,2.5,2
12.37,2.3,2
12.29,3.3,2
11.82,3.33,2
12.37,2.77,2
12.33,2.31,2
13.34,1.93,2
12.37,2.87,2
13.49,2.78,2
12.6,2.77,2
11.64,2.75,2
12.51,3.57,2
11.84,2.52,2
13.05,2.01,2
12.99,3.5,2
12.16,2.26,2
12.37,1.82,2
12.37,2.78,2
12.81,1.36,3
14.13,1.6,3
12.51,1.51,3
13.58,1.8,3
13.84,1.64,3
13.48,1.78,3
12.53,1.69,3
13.08,1.33,3
12.79,1.47,3
13.52,2.06,3
13.88,1.33,3
13.36,2.47,3
14.34,1.96,3
13.49,1.82,3
13.16,1.68,3
12.85,2.11,3
13.32,1.62,3
12.7,1.29,3
13.27,1.56,3
13.62,2.05,3
13.69,1.82,3
12.84,2.15,3
12.96,1.75,3
12.6,1.58,3
13.73,1.75,3
12.87,1.86,3
13.23,1.51,3
13.4,1.92,3
12.36,1.58,3
12.82,1.75,3
12.77,1.63,3
13.78,1.68,3
12.88,1.42,3
12.45,1.73,3
13.45,1.56,3
12.93,2.31,3
12.25,2,3
12.58,1.55,3
13.17,1.62,3
12.2,1.83,3
13.5,1.3,3
12.86,1.29,3
13.4,1.56,3
