@relation wine

@attribute TotalPhenols numeric
@attribute Class {1,2,3}

@data
2.6,1
3.85,1
2.95,1
3,1
2.85,1
3,1
3.3,1
3.27,1
3.88,1
2.86,1
2.85,1
2.2,1
2.75,1
2.64,1
3,1
2.7,1
2.61,1
2.95,1
2.88,1
3.25,1
2.95,1
2.5,1
3.4,1
2.41,1
2.35,1
2.8,1
2.6,1
2.95,1
2.48,1
2.53,1
2.8,1
2.65,1
2.7,1
2.6,1
2.98,1
3,1
2.85,1
3.15,1
2.45,1
2.63,1
2.6,1
3.1,1
2.45,1
2.42,1
2.65,1
3.1,1
2.8,1
3,1
3.25,1
2.8,1
2.4,1
2.4,1
2.72,1
1.75,2
1.6,2
2.2,2
1.45,2
2.2,2
1.78,2
1.6,2
2.5,2
2.11,2
1.95,2
1.92,2
2.98,2
2.55,2
1.85,2
2.62,2
2.56,2
1.65,2
2.22,2
3.02,2
2.02,2
1.38,2
1.65,2
2.42,2
3.38,2
1.9,2
2.42,2
1.68,2
1.63,2
2.1,2
2.74,2
2.9,2
1.95,2
2.1,2
1.1,2
2.53,2
1.38,2
2.05,2
2,2
2,2
2.2,2
2.2,2
2.48,2
1.72,2
2.2,2
1.61,2
1.98,2
2.55,2
2.2,2
2.85,2
2,2
3.5,2
2.45,2
3.52,2
3.18,2
3.3,2
1.89,2
2.13,2
2.74,2
1.45,2
2.46,2
2.95,2
2.86,2
2.83,2
1.88,2
1.9,3
1.48,3
2.05,3
1.48,3
1.55,3
1.5,3
1.93,3
1.7,3
1.48,3
1.74,3
1.55,3
1.7,3
1.54,3
1.4,3
1.59,3
1.98,3
1.8,3
1.35,3
1.41,3
1.8,3
1.7,3
2.2,3
2.6,3
1.62,3
1.4,3
1.68,3
1.51,3
1.3,3
2,3
1.62,3
2.3,3
1.28,3
1.65,3
1.65,3
1.39,3
2.8,3
2.32,3
1.38,3
1.79,3
1.68,3
1.38,3
2,3
1.39,3
