@relation wine

@attribute MalicAcid numeric
@attribute flavanoids numeric
@attribute Class {1,2,3}

@data
1.78,2.76,1
1.73,3.54,1
1.63,3.17,1
1.87,3.64,1
2.59,2.69,1
1.81,2.98,1
1.7,3,1
1.59,3.93,1
1.73,3.27,1
1.57,3.4,1
1.43,3.67,1
1.68,2.33,1
1.95,3.49,1
1.73,3.69,1
2.15,2.51,1
1.71,3.29,1
1.87,2.52,1
1.8,2.53,1
1.68,3.39,1
3.8,2.41,1
2.02,2.92,1
1.81,2.91,1
1.77,2.94,1
1.72,2.19,1
1.65,2.99,1
1.64,2.98,1
1.65,2.43,1
1.73,2.78,1
3.1,3.03,1
1.9,2.97,1
1.5,3.25,1
1.75,3.74,1
1.76,3.39,1
1.92,3.14,1
2.16,3.32,1
1.66,3.19,1
1.83,2.69,1
2.05,2.68,1
1.73,2.76,1
1.53,2.74,1
3.98,2.63,1
2.36,3.24,1
1.89,3.56,1
1.71,3.06,1
1.48,2.43,1
1.67,2.9,1
3.59,3.17,1
1.97,3.23,1
1.77,3,1
1.64,2.68,1
1.9,2.79,1
1.5,2.64,1
3.99,3.04,1
1.66,1.84,2
1.41,2.5,2
1.21,2.65,2
2.43,2.27,2
1.13,3.1,2
0.98,1.94,2
1.61,2.09,2
0.9,2.03,2
1.07,3.75,2
4.3,1.75,2
3.43,1.64,2
0.99,1.85,2
3.43,1.25,2
1.75,1.76,2
0.74,2.01,2
2.68,2.03,2
1.25,1.79,2
1.1,1.09,2
1.61,1.02,2
1.09,2.14,2
1.34,1.36,2
2.89,1.32,2
0.89,2.21,2
0.94,0.57,2
1.01,3.18,2
0.92,2.26,2
3.87,2.55,2
1.19,1.28,2
2.06,1.69,2
3.17,2.99,2
1.51,2.86,2
1.52,2.27,2
1.33,1.59,2
1.39,2.29,2
1.63,2.45,2
2.4,2.79,2
1.73,1.92,2
1.67,2.89,2
2.08,2.17,2
3.86,1.59,2
4.31,3.03,2
2.05,5.08,2
4.43,2.13,2
1.13,1.58,2
1.45,1.75,2
2.45,2.11,2
5.8,2.65,2
0.94,1.3,2
1.51,1.25,2
1.51,2.17,2
1.83,1.5,2
1.53,3.15,2
1.73,2.03,2
3.74,2.58,2
2.13,2.24,2
1.35,2.92,2
2.12,0.99,2
1.99,2.26,2
1.81,2.53,2
1.72,1.64,2
2.16,2.65,2
1.47,1.6,2
2.55,1.84,2
1.29,2.04,2
3.7,0.92,3
1.67,1.1,3
2.59,0.68,3
4.61,0.65,3
2.58,0.84,3
4.12,0.83,3
3.24,0.76,3
3.12,1.57,3
4.1,0.76,3
4.36,0.47,3
1.35,1.25,3
3.26,0.56,3
1.24,0.58,3
2.81,0.5,3
3.03,0.58,3
3.45,0.7,3
4.95,0.8,3
3.55,1.2,3
4.6,0.96,3
1.68,1.31,3
5.19,0.63,3
4.28,0.69,3
2.51,0.7,3
3.88,0.78,3
3.27,0.6,3
3.91,0.75,3
2.76,0.68,3
2.31,1.09,3
3.03,0.49,3
3.37,0.66,3
3.9,1.39,3
4.72,0.47,3
3.3,0.83,3
2.56,0.5,3
2.46,0.66,3
5.04,0.34,3
3.83,0.92,3
2.39,0.51,3
2.99,1.22,3
1.9,1.28,3
2.96,0.6,3
1.29,0.58,3
3.17,0.52,3
5.65,0.61,3
