@relation wine

@attribute Ash numeric
@attribute flavanoids numeric
@attribute Class {1,2,3}

@data
2.1,3,1
2.27,3.54,1
2.55,2.43,1
2.1,2.64,1
2.7,2.74,1
2.3,3,1
2.5,3.49,1
2.8,2.97,1
2.28,3.17,1
2.48,3.93,1
2.39,3.69,1
2.87,2.69,1
2.41,2.76,1
2.52,2.37,1
2.72,3.14,1
2.28,3.17,1
2.36,2.69,1
2.32,2.43,1
2.25,2.9,1
2.12,3.39,1
2.44,2.65,1
2.61,2.51,1
2.51,3.04,1
2.5,3.67,1
2.14,2.76,1
2.29,2.63,1
2.41,2.98,1
2.04,3.27,1
2.59,3.56,1
2.62,2.94,1
2.65,2.53,1
2.27,3.15,1
2.36,2.88,1
2.43,3.06,1
2.7,2.91,1
2.68,2.79,1
2.31,3.29,1
2.46,2.78,1
2.62,3.4,1
2.67,3.24,1
2.7,3.25,1
2.17,2.98,1
2.61,2.61,1
2.21,2.33,1
2.56,3.03,1
2.68,3.23,1
2.65,2.41,1
2.6,2.99,1
2.42,3.74,1
3.22,2.68,1
2.12,2.68,1
2.84,2.68,1
2.4,2.92,1
2.2,2.53,2
1.92,1.79,2
1.92,1.57,2
2,2.26,2
2.23,1.32,2
2.28,2.26,2
2.92,2.03,2
2.17,2.27,2
2.5,2.01,2
2.46,2.11,2
2.58,2.21,2
3.23,5.08,2
1.92,2,2
2.7,2.92,2
2.73,2.13,2
2.5,2.29,2
2.78,2.24,2
1.7,3.18,2
2.51,1.58,2
1.88,1.64,2
2.56,2.65,2
2.17,2.65,2
2.53,1.75,2
1.7,2.17,2
2.28,1.09,2
1.98,2.5,2
2.26,1.46,2
2.12,2.03,2
2.13,2.65,2
2.22,2.25,2
2.21,1.02,2
2.4,2.55,2
2.1,3.75,2
2.21,2.99,2
2,1.64,2
2.28,1.76,2
2.31,1.69,2
1.98,1.92,2
2.2,2.17,2
2.62,1.61,2
1.94,2.04,2
1.36,0.57,2
2.32,1.59,2
1.82,2.58,2
2.3,1.59,2
2.74,0.99,2
2.42,1.25,2
2.6,2.89,2
1.9,1.36,2
2.2,2.27,2
2.42,2.79,2
1.75,1.28,2
1.95,1.85,2
2.24,1.84,2
2.39,3.03,2
2.24,1.94,2
2.16,3.1,2
2.02,1.41,2
2.67,2.86,2
2.19,2.09,2
1.71,2.03,2
2.46,1.69,2
2.27,1.84,2
1.99,1.6,2
2.35,0.5,3
2.38,0.76,3
2.26,0.47,3
2.48,0.7,3
2.48,1.36,3
2.36,1.39,3
2.37,0.68,3
2.86,0.96,3
2.64,0.6,3
2.32,0.49,3
2.54,0.56,3
2.35,0.7,3
2.1,0.58,3
2.19,0.48,3
2.54,0.47,3
2.61,0.6,3
2.72,0.52,3
2.45,0.61,3
2.2,0.66,3
2.15,0.55,3
2.7,1.31,3
2.28,0.83,3
2.4,1.09,3
2.32,0.63,3
2.7,0.5,3
2.25,0.58,3
2.64,0.58,3
2.48,0.75,3
2.64,1.1,3
2.4,1.22,3
2.6,0.92,3
2.38,0.92,3
2.2,0.78,3
2.3,0.66,3
2.23,0.34,3
2.58,0.6,3
2.28,0.51,3
2.48,0.65,3
2.38,0.83,3
2.75,1.28,3
2.36,1.2,3
2.3,0.68,3
2.32,1.25,3
