@relation wine

@attribute flavanoids numeric
@attribute Class {1,2,3}

@data
2.91,1
2.98,1
2.68,1
3.29,1
2.78,1
3.4,1
3.56,1
2.64,1
3.24,1
2.92,1
2.9,1
2.74,1
3.32,1
2.69,1
2.76,1
3.49,1
2.43,1
3.64,1
2.53,1
3.17,1
2.51,1
2.99,1
3.25,1
3.03,1
2.33,1
3.74,1
3.27,1
2.79,1
2.68,1
3.23,1
3.39,1
3.69,1
2.94,1
2.76,1
3.67,1
2.52,1
3.17,1
2.19,1
2.41,1
3.14,1
3.93,1
2.98,1
3.54,1
2.69,1
3,1
3,1
2.97,1
3.04,1
3.06,1
2.43,1
3.39,1
2.63,1
3.19,1
2.89,2
2.58,2
1.32,2
2.65,2
1.02,2
1.84,2
2.24,2
2.86,2
1.69,2
3.1,2
2.29,2
2.45,2
2.17,2
1.09,2
1.75,2
1.94,2
1.76,2
1.75,2
1.64,2
2.26,2
2.65,2
1.79,2
2.53,2
1.25,2
3.75,2
2.01,2
2.03,2
2.27,2
2.11,2
0.99,2
3.03,2
1.5,2
1.25,2
1.6,2
2.04,2
1.64,2
2.14,2
2.55,2
3.18,2
1.59,2
2.17,2
1.58,2
2.65,2
2.79,2
1.3,2
1.28,2
2.99,2
1.36,2
2.26,2
2.92,2
1.92,2
1.59,2
2.03,2
2.5,2
2.27,2
2.03,2
2.21,2
2.13,2
1.84,2
0.57,2
5.08,2
1.85,2
2.09,2
3.15,2
1.57,3
0.51,3
0.58,3
0.6,3
1.31,3
0.7,3
0.75,3
0.83,3
0.84,3
1.39,3
0.78,3
0.49,3
0.34,3
0.61,3
0.76,3
1.25,3
0.92,3
1.2,3
0.66,3
1.1,3
0.65,3
0.96,3
0.8,3
0.63,3
0.7,3
0.52,3
0.92,3
1.09,3
0.76,3
0.83,3
0.56,3
0.47,3
0.58,3
0.58,3
0.5,3
1.22,3
1.28,3
0.66,3
0.68,3
0.68,3
0.5,3
0.47,3
0.6,3
0.69,3
