@relation wine

@attribute Proline numeric
@attribute Class {1,2,3}

@data
1065,1
1375,1
1060,1
760,1
1295,1
880,1
1480,1
1285,1
1510,1
1015,1
1020,1
1280,1
1185,1
1150,1
680,1
1290,1
780,1
1195,1
1280,1
1285,1
1680,1
795,1
1035,1
1150,1
1095,1
1060,1
985,1
830,1
1270,1
1547,1
1065,1
1035,1
1105,1
1310,1
1320,1
735,1
1235,1
1450,1
845,1
1080,1
1260,1
1095,1
1035,1
1285,1
915,1
1515,1
1045,1
970,1
1120,1
885,1
1130,1
920,1
845,1
680,2
465,2
678,2
630,2
750,2
630,2
406,2
450,2
562,2
495,2
580,2
562,2
495,2
680,2
365,2
407,2
378,2
434,2
372,2
438,2
502,2
290,2
500,2
510,2
718,2
466,2
886,2
625,2
450,2
315,2
564,2
562,2
488,2
342,2
352,2
520,2
325,2
714,2
345,2
472,2
428,2
463,2
355,2
380,2
495,2
420,2
380,2
510,2
985,2
710,2
480,2
520,2
450,2
607,2
515,2
392,2
312,2
625,2
937,2
672,2
385,2
750,2
410,2
415,2
675,3
650,3
680,3
570,3
550,3
750,3
425,3
630,3
740,3
415,3
835,3
750,3
600,3
620,3
650,3
695,3
470,3
550,3
530,3
500,3
625,3
520,3
675,3
480,3
510,3
515,3
640,3
685,3
560,3
855,3
600,3
480,3
695,3
780,3
630,3
660,3
580,3
725,3
830,3
660,3
590,3
720,3
560,3
