@relation wine

@attribute MalicAcid numeric
@attribute Class {1,2,3}

@data
1.77,1
2.16,1
2.36,1
1.75,1
1.87,1
1.92,1
3.84,1
1.83,1
1.57,1
1.73,1
1.68,1
2.05,1
3.98,1
1.95,1
2.59,1
1.81,1
2.02,1
1.89,1
1.8,1
1.81,1
1.73,1
1.71,1
1.97,1
1.67,1
1.43,1
2.15,1
1.68,1
1.53,1
3.1,1
1.86,1
1.73,1
1.77,1
1.9,1
4.04,1
1.73,1
1.87,1
1.35,1
3.99,1
1.9,1
1.76,1
1.72,1
1.63,1
1.48,1
1.6,1
1.81,1
1.65,1
3.8,1
3.59,1
1.5,1
1.64,1
1.66,1
1.64,1
1.78,1
2.83,2
1.75,2
1.73,2
1.25,2
2.4,2
1.72,2
0.94,2
1.88,2
2.45,2
3.43,2
1.09,2
1.53,2
2.12,2
0.89,2
1.51,2
0.9,2
1.51,2
1.13,2
2.05,2
1.35,2
1.33,2
5.8,2
0.99,2
2.68,2
2.89,2
1.61,2
2.13,2
1.41,2
1.1,2
1.07,2
1.67,2
1.81,2
3.87,2
1.73,2
1.51,2
1.61,2
1.36,2
1.61,2
1.67,2
1.21,2
0.98,2
2.43,2
2.55,2
4.31,2
1.17,2
1.63,2
2.06,2
1.19,2
0.92,2
1.47,2
1.13,2
1.34,2
1.66,2
3.86,2
1.99,2
1.45,2
3.17,2
1.83,2
4.3,2
0.74,2
1.01,2
1.53,2
3.43,2
4.43,2
3.24,3
4.28,3
3.45,3
1.24,3
3.3,3
3.55,3
1.9,3
3.12,3
2.81,3
2.76,3
3.59,3
2.46,3
3.37,3
5.19,3
3.83,3
5.51,3
2.59,3
2.39,3
4.72,3
2.51,3
2.56,3
4.6,3
4.1,3
5.65,3
3.7,3
3.91,3
1.68,3
3.03,3
1.67,3
3.17,3
1.35,3
4.61,3
4.95,3
2.58,3
3.57,3
2.96,3
2.67,3
1.29,3
3.27,3
2.99,3
3.88,3
4.36,3
3.9,3
