@relation wine

@attribute flavanoids numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
3,970,1
2.69,735,1
2.64,1020,1
2.79,1375,1
2.19,1285,1
3.93,1680,1
3.27,1150,1
3.32,1510,1
2.92,1060,1
2.53,1095,1
3.39,985,1
3.03,845,1
2.33,1035,1
2.68,880,1
2.76,1320,1
2.68,830,1
3.14,1280,1
2.51,1295,1
2.37,1015,1
3.64,1547,1
2.69,990,1
2.78,1120,1
3.74,1190,1
2.9,1060,1
2.68,1035,1
2.94,1195,1
3.06,1065,1
2.43,1105,1
3.29,795,1
3.4,1130,1
2.91,1310,1
2.88,1035,1
2.98,1045,1
2.99,1265,1
3,885,1
2.98,920,1
2.76,1050,1
3.49,1480,1
2.65,1080,1
3.39,1450,1
2.74,1235,1
3.17,1065,1
2.43,1280,1
2.52,1290,1
3.04,760,1
2.61,845,1
3.19,1515,1
3.15,1045,1
3.54,1260,1
2.41,770,1
3.25,1285,1
3.17,780,1
3.24,1185,1
2.45,342,2
2.25,290,2
2.5,428,2
1.41,450,2
1.36,562,2
2.14,886,2
1.92,672,2
1.25,372,2
1.25,450,2
1.94,450,2
2.24,466,2
3.18,502,2
1.02,870,2
1.75,355,2
1.69,495,2
1.6,495,2
1.28,718,2
2.58,562,2
2.09,345,2
1.46,495,2
1.61,562,2
0.57,520,2
1.85,750,2
2.17,710,2
2,510,2
2.65,678,2
1.5,480,2
1.64,564,2
1.57,428,2
1.59,515,2
2.65,378,2
3.75,660,2
1.64,415,2
2.79,625,2
1.32,500,2
2.89,985,2
2.26,278,2
1.3,750,2
3.15,352,2
1.84,472,2
2.21,520,2
1.76,488,2
1.58,630,2
1.75,580,2
2.53,714,2
2.99,406,2
1.79,630,2
1.59,625,2
2.55,463,2
2.04,312,2
0.99,625,2
2.03,392,2
2.29,385,2
2.27,325,2
2.26,345,2
2.92,680,2
1.69,680,2
2.03,510,2
1.09,680,2
2.27,937,2
3.03,380,2
2.65,380,2
2.13,365,2
5.08,465,2
0.76,560,3
0.66,695,3
0.58,650,3
0.6,515,3
1.1,620,3
0.5,780,3
0.8,550,3
0.5,600,3
0.7,675,3
0.75,750,3
0.83,480,3
1.31,660,3
1.25,630,3
0.49,510,3
0.6,570,3
1.36,480,3
0.52,520,3
0.47,720,3
0.58,880,3
0.7,660,3
1.57,500,3
0.69,835,3
0.83,675,3
1.28,425,3
0.6,590,3
0.48,580,3
0.68,615,3
0.66,685,3
1.09,560,3
0.84,750,3
0.55,830,3
0.76,650,3
0.63,725,3
0.78,855,3
0.68,840,3
0.47,520,3
0.61,740,3
1.2,600,3
1.22,530,3
0.56,680,3
0.92,520,3
0.65,625,3
0.34,415,3
