@relation wine

@attribute Alcohol numeric
@attribute ColorIntensity numeric
@attribute OD280/OD315 numeric
@attribute Class {1,2,3}

@data
13.86,7.22,3.55,1
13.05,3.58,3.2,1
13.87,4.5,3.4,1
13.39,4.8,3.22,1
13.77,6.3,2.93,1
13.94,8.9,3.1,1
13.05,5.04,3.35,1
14.06,5.05,3.58,1
14.22,5.1,3.53,1
13.64,5.1,3.36,1
12.85,3.93,3.63,1
13.05,4.25,2.51,1
13.48,5.1,3.47,1
13.72,6.8,2.87,1
13.56,6.13,3.38,1
13.24,4.36,3,1
14.23,5.64,3.92,1
13.24,4.32,2.93,1
14.12,5,2.82,1
13.88,5.43,3.56,1
13.07,3.7,2.69,1
13.05,7.2,2.91,1
14.37,7.8,3.45,1
13.63,7.3,2.88,1
13.16,5.68,3.17,1
13.68,3.84,2.87,1
13.56,6.25,3.03,1
13.2,4.38,3.4,1
13.28,4.6,2.78,1
14.19,8.7,2.82,1
13.83,6.6,2.57,1
13.5,3.52,3.82,1
13.83,5.6,3.37,1
13.71,3.8,4,1
14.21,5.24,3.33,1
13.82,7.05,3.26,1
13.41,4.28,3,1
13.29,6,2.84,1
14.22,6.38,3.31,1
13.74,5.85,3.2,1
14.3,6.2,2.65,1
13.51,4.2,2.87,1
13.75,5.6,2.9,1
14.38,4.9,3.44,1
14.02,4.7,3.59,1
13.73,5.7,2.71,1
14.83,5.2,2.85,1
13.76,5.4,3,1
14.75,5.4,2.73,1
14.06,5.65,3.71,1
12.93,4.5,3.52,1
14.1,6.2,2.75,1
13.9,6.1,3.33,1
12.47,2.6,2.63,2
12.37,4.5,2.77,2
12.64,5.75,1.59,2
11.84,2.65,2.52,2
12.37,1.95,1.82,2
13.67,3.8,2.46,2
12.16,2.45,2.26,2
11.46,2.9,2.81,2
12.6,2.45,2.77,2
11.66,3.8,2.14,2
11.64,2.8,2.75,2
12.37,4.6,2.3,2
12.22,2.7,3.02,2
11.81,2.5,2.26,2
12.21,2.85,3.07,2
12.67,2.62,3.16,2
12.42,2.06,2.96,2
13.03,4.6,2.48,2
11.56,6,3.69,2
11.41,3.08,2.31,2
12.17,2.95,2.23,2
11.87,2.8,3.64,2
11.82,1.95,3.33,2
11.45,3.25,3.39,2
12.7,2.57,3.13,2
12.69,3.05,2.06,2
12.29,2.15,3.3,2
13.05,4.8,2.01,2
12.37,4.68,3.48,2
11.62,3.25,2.96,2
12.33,3.4,2.31,2
12,1.28,3.05,2
12.72,3.9,3.14,2
12.51,2.94,3.57,2
12.29,3.05,1.82,2
11.84,3.05,3.08,2
12.08,3.3,2.96,2
12.08,2.9,3.19,2
12,3.6,2.65,2
11.82,2.06,2.44,2
13.86,3.38,3.16,2
11.03,1.9,2.87,2
12.52,2,2.78,2
12.42,2.7,3.3,2
13.49,3.74,2.78,2
12.08,2.2,2.72,2
12.33,3.27,1.67,2
12.29,2.9,2.74,2
12.72,3.3,2.42,2
12.25,3.4,3.17,2
12.34,2.8,3.38,2
12.42,2.08,3.12,2
12.99,3.35,3.5,2
13.11,5.3,3.18,2
11.79,3,2.44,2
11.76,3.8,2.5,2
12.07,2.76,3.28,2
11.61,2.65,3.26,2
12.37,4.45,2.87,2
12,2.5,3.12,2
13.05,2.6,3.1,2
12.29,2.3,2.83,2
12.08,1.74,3.21,2
11.65,2.6,3.21,2
13.84,9.01,1.64,3
13.17,7.9,1.48,3
14.16,9.7,1.71,3
12.25,3.85,1.27,3
13.71,7.7,1.74,3
13.73,6.62,1.75,3
12.7,5,1.29,3
13.88,4.9,1.33,3
13.08,9.4,1.33,3
12.86,4.1,1.29,3
12.53,5,1.69,3
13.4,7.3,1.56,3
12.45,7.5,1.73,3
12.85,5.58,2.11,3
12.58,7.6,1.55,3
13.4,8.5,1.92,3
13.17,9.3,1.62,3
12.87,7.65,1.86,3
13.48,11.75,1.78,3
14.34,13,1.96,3
13.49,5.7,1.82,3
12.77,9.899999,1.63,3
13.45,10.68,1.56,3
12.2,5.5,1.83,3
12.25,8.21,2,3
12.51,5.45,1.51,3
13.36,5.6,2.47,3
12.88,5.4,1.42,3
13.23,10.52,1.51,3
12.96,5.28,1.75,3
12.93,4.6,2.31,3
12.36,7.65,1.58,3
12.81,5.7,1.36,3
13.32,8.42,1.62,3
13.16,4,1.68,3
12.79,10.8,1.47,3
12.84,4.92,2.15,3
13.78,9.58,1.68,3
12.6,7.1,1.58,3
12.82,10.26,1.75,3
13.69,5.88,1.82,3
13.52,4.35,2.06,3
13.11,7.1,1.33,3
