@relation wine

@attribute Magnesium numeric
@attribute flavanoids numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
105,3.32,1510,1
103,2.92,1060,1
91,3.69,1150,1
100,2.76,1050,1
102,3.64,1547,1
103,2.63,680,1
93,2.94,1195,1
98,2.43,1105,1
102,3.17,1065,1
107,2.97,915,1
96,2.61,845,1
108,3.54,1260,1
111,2.65,1080,1
90,2.68,1035,1
101,3.39,985,1
117,3.29,795,1
116,2.78,1120,1
106,3.19,1515,1
102,3.23,1270,1
118,2.9,1060,1
112,2.91,1310,1
118,3,970,1
128,3.04,760,1
118,2.69,735,1
113,3.49,1480,1
95,2.37,1015,1
94,2.99,1265,1
115,2.79,1375,1
102,2.41,770,1
124,2.68,830,1
98,3.15,1045,1
110,2.53,1095,1
96,2.52,1290,1
95,2.43,1280,1
112,3.39,1450,1
111,3.74,1190,1
108,3.93,1680,1
101,3.56,1095,1
101,2.88,1035,1
108,3.67,1285,1
127,3.06,1065,1
92,3.27,1150,1
104,2.69,990,1
98,2.64,1020,1
120,3.14,1280,1
101,3.24,1185,1
97,2.98,1045,1
115,3.4,1130,1
101,3.25,1285,1
96,2.33,1035,1
94,2.19,1285,1
121,2.51,1295,1
107,3,885,1
80,2.03,510,2
101,2.55,463,2
86,2.65,380,2
98,2.65,678,2
88,0.57,520,2
162,2.27,937,2
82,3.03,380,2
86,3.15,352,2
80,1.46,495,2
85,2.65,378,2
97,2.17,710,2
151,1.28,718,2
101,2.14,886,2
98,2.26,345,2
86,1.25,450,2
80,1.75,580,2
108,2.09,345,2
88,2.99,406,2
86,1.6,495,2
96,2.79,625,2
85,2.17,407,2
86,2.26,278,2
78,3.18,502,2
86,1.64,415,2
98,2.11,438,2
88,2.25,290,2
136,1.85,750,2
87,1.64,564,2
84,1.76,488,2
102,2.13,365,2
110,1.3,750,2
86,2.53,714,2
88,2.01,434,2
80,1.25,372,2
88,1.36,562,2
78,2,510,2
87,1.84,472,2
94,2.92,680,2
81,1.5,480,2
103,1.02,870,2
107,2.58,562,2
90,1.84,315,2
88,3.75,660,2
97,1.57,428,2
86,2.86,410,2
88,2.45,342,2
90,1.69,495,2
119,5.08,465,2
103,2.03,607,2
85,2.5,428,2
139,2.89,985,2
100,1.41,450,2
94,1.79,630,2
87,3.1,420,2
84,1.69,680,2
70,1.59,625,2
134,0.99,625,2
92,2.04,312,2
84,2.29,385,2
85,1.59,515,2
88,2.27,325,2
92,2.24,466,2
85,1.92,672,2
88,1.61,562,2
95,0.61,740,3
120,0.69,835,3
106,0.7,675,3
88,0.66,685,3
111,0.92,695,3
89,0.47,720,3
94,0.66,695,3
91,0.7,660,3
98,1.09,560,3
89,0.83,480,3
112,0.96,630,3
102,0.75,750,3
80,0.34,415,3
96,0.76,560,3
98,1.31,660,3
103,0.58,640,3
104,1.22,530,3
105,0.84,750,3
97,0.52,520,3
89,1.1,620,3
113,1.39,550,3
88,0.48,580,3
101,0.6,590,3
107,0.56,680,3
88,0.92,520,3
96,0.49,510,3
93,0.63,725,3
106,0.6,570,3
92,0.76,650,3
85,0.58,650,3
102,0.55,830,3
88,0.47,520,3
97,0.58,880,3
86,0.51,470,3
112,1.36,480,3
92,0.8,550,3
123,1.57,500,3
96,0.5,600,3
96,0.6,515,3
120,0.68,840,3
106,1.2,600,3
90,0.68,615,3
116,1.28,425,3
