@relation wine

@attribute Hue numeric
@attribute Class {1,2,3}

@data
1.03,1
1.06,1
1.09,1
1.12,1
0.88,1
1.17,1
1.28,1
0.88,1
1.04,1
1.1,1
1.2,1
0.92,1
1.23,1
1.01,1
1.07,1
1.13,1
1.15,1
1.09,1
0.91,1
0.87,1
1.09,1
1.12,1
1.25,1
1.19,1
1.07,1
0.96,1
1.11,1
1.04,1
0.98,1
0.91,1
0.82,1
1.25,1
1.13,1
1.08,1
0.94,1
1.02,1
1.04,1
0.89,1
1.23,1
0.86,1
1.05,1
1.07,1
1.02,1
1.09,1
1.25,1
1.13,1
1.24,1
1.25,1
1.12,1
1.04,1
1.05,1
1.03,1
1.04,1
1.01,1
1.23,2
0.92,2
1.25,2
0.75,2
1.02,2
0.73,2
1.06,2
1.04,2
1.31,2
0.96,2
0.906,2
1.28,2
0.79,2
0.79,2
0.96,2
1.23,2
1.15,2
1.08,2
1.19,2
0.8,2
1.12,2
0.86,2
0.86,2
1.16,2
1.19,2
1.07,2
1.22,2
1.05,2
1.23,2
0.93,2
0.93,2
0.7,2
1,2
1.04,2
0.99,2
1.23,2
0.8,2
1.04,2
1.36,2
1.45,2
1.31,2
0.89,2
0.86,2
0.98,2
1.42,2
0.95,2
0.75,2
1.16,2
1.36,2
1.38,2
1.27,2
1.71,2
1.23,2
0.69,2
1.19,2
0.93,2
1.33,2
1.1,2
1.06,2
1.05,2
0.9,2
1.16,2
0.96,2
0.66,3
0.6,3
0.6,3
0.54,3
0.57,3
0.61,3
0.57,3
0.67,3
0.56,3
0.67,3
0.66,3
0.75,3
0.7,3
0.74,3
0.89,3
0.78,3
0.91,3
0.6,3
0.77,3
0.48,3
0.57,3
0.59,3
0.65,3
0.75,3
0.58,3
0.87,3
0.74,3
0.62,3
0.68,3
0.73,3
0.81,3
0.61,3
0.85,3
0.76,3
0.57,3
0.7,3
0.58,3
0.59,3
0.57,3
0.96,3
0.64,3
0.82,3
0.89,3
