@relation wine

@attribute Alcohol numeric
@attribute Ash numeric
@attribute flavanoids numeric
@attribute Class {1,2,3}

@data
13.9,2.12,3.39,1
14.75,2.39,3.69,1
12.85,2.52,2.37,1
13.74,2.25,2.9,1
13.2,2.14,2.76,1
13.58,2.36,3.19,1
13.05,3.22,2.68,1
13.39,2.62,2.94,1
13.76,2.7,2.74,1
14.12,2.32,2.43,1
12.93,2.65,2.41,1
14.02,2.21,2.33,1
13.16,2.67,3.24,1
13.07,2.1,2.64,1
14.37,2.5,3.49,1
13.5,2.61,2.61,1
13.51,2.65,2.53,1
13.77,2.68,2.79,1
13.83,2.6,2.99,1
13.71,2.36,2.88,1
13.48,2.41,2.98,1
13.29,2.68,3.23,1
13.83,2.62,3.4,1
14.1,2.4,2.92,1
13.72,2.5,3.67,1
14.21,2.44,2.65,1
14.39,2.45,2.52,1
13.82,2.42,3.74,1
13.24,2.87,2.69,1
14.38,2.28,3.17,1
13.28,2.84,2.68,1
14.06,2.61,2.51,1
13.88,2.59,3.56,1
14.38,2.38,3.64,1
13.24,2.29,2.63,1
13.56,2.31,3.29,1
13.94,2.27,3.54,1
13.68,2.36,2.69,1
13.63,2.7,2.91,1
13.41,2.12,2.68,1
14.3,2.72,3.14,1
14.22,2.51,3.04,1
14.06,2.28,3.17,1
13.87,2.8,2.97,1
14.83,2.17,2.98,1
13.05,2.1,3,1
13.3,2.14,2.19,1
13.05,2.04,3.27,1
13.75,2.41,2.76,1
14.2,2.45,3.39,1
13.64,2.56,3.03,1
13.86,2.27,3.15,1
14.1,2.3,3.32,1
12.72,2.28,1.76,2
11.82,1.99,1.6,2
11.96,2.3,2.14,2
13.86,2.67,2.86,2
12.29,2.21,1.02,2
11.45,2.42,2.79,2
13.11,1.7,3.18,2
12.17,2.53,1.75,2
13.67,1.92,1.79,2
11.81,2.74,0.99,2
12.08,2.3,1.59,2
11.56,3.23,5.08,2
12.69,2.26,1.46,2
12.42,2.19,2.09,2
12,2,2.26,2
11.87,2.39,3.03,2
12.64,2.02,1.41,2
12.77,1.98,1.25,2
13.05,2.13,2.65,2
12.99,2.6,2.89,2
11.64,2.46,1.69,2
11.62,2.28,2.26,2
12.33,1.95,1.85,2
12.21,1.75,1.28,2
12.37,2.56,2.65,2
12.33,2.28,1.09,2
12.72,2.2,2.53,2
12.6,1.9,1.36,2
11.84,2.23,1.32,2
12.37,2.16,3.1,2
11.82,1.88,1.64,2
12.25,2.12,2.03,2
12.7,2.4,2.55,2
12.16,2.31,1.69,2
13.03,1.71,2.03,2
11.65,2.62,1.61,2
12.37,2.1,3.75,2
12.08,2.51,1.58,2
12.29,1.98,2.5,2
12.51,1.98,1.92,2
11.61,2.7,2.92,2
12.37,2.3,2.45,2
12.04,2.38,1.75,2
13.05,2.32,1.59,2
12.29,2.22,2.25,2
13.49,2.24,1.84,2
11.76,2.92,2.03,2
11.84,2.58,2.21,2
11.41,2.5,2.01,2
12.42,2.27,1.84,2
11.79,2.78,2.24,2
11.66,1.92,1.57,2
12.34,2.46,2.11,2
12.67,2.24,1.94,2
12.37,1.92,2,2
12.52,2.17,2.27,2
11.03,2.2,2.17,2
12,2,1.64,2
12.42,2.73,2.13,2
12.29,2.21,2.99,2
12.08,2.32,1.5,2
12,2.42,1.25,2
12.43,2.29,3.15,2
13.34,2.36,1.3,2
13.71,2.45,0.61,3
12.36,2.38,0.92,3
13.49,2.19,0.48,3
14.34,2.7,1.31,3
12.53,2.64,0.6,3
12.25,2.2,0.78,3
12.6,2.2,0.66,3
13.52,2.72,0.52,3
12.79,2.48,1.36,3
13.17,2.37,0.68,3
13.73,2.26,0.47,3
12.45,2.64,0.58,3
14.13,2.74,0.76,3
12.7,2.36,1.2,3
13.27,2.26,0.69,3
12.88,2.4,1.22,3
12.86,2.32,1.25,3
12.51,2.25,0.58,3
12.58,2.1,0.58,3
13.62,2.35,0.8,3
12.87,2.48,0.65,3
13.36,2.35,0.5,3
12.84,2.61,0.6,3
13.4,2.48,0.75,3
13.58,2.69,0.84,3
13.78,2.3,0.68,3
12.82,2.3,0.66,3
13.32,2.38,0.76,3
12.77,2.28,0.51,3
13.4,2.86,0.96,3
13.16,2.15,0.55,3
13.23,2.28,0.83,3
12.85,2.58,0.6,3
12.96,2.35,0.7,3
13.11,2.75,1.28,3
13.45,2.6,0.92,3
13.5,2.62,1.57,3
13.08,2.36,1.39,3
13.17,2.32,0.63,3
12.93,2.7,0.5,3
13.48,2.64,1.1,3
14.16,2.48,0.7,3
12.25,2.54,0.47,3
