@relation wine

@attribute Alcohol numeric
@attribute Hue numeric
@attribute OD280/OD315 numeric
@attribute Class {1,2,3}

@data
14.38,1.04,3.44,1
13.39,0.92,3.22,1
14.3,1.07,2.65,1
13.83,1.13,2.57,1
13.48,1.04,3.47,1
13.2,1.05,3.4,1
13.94,1.12,3.1,1
13.83,1.24,3.37,1
12.85,1.09,3.63,1
14.22,0.94,3.31,1
14.02,1.04,3.59,1
13.82,1.01,3.26,1
13.05,1.13,3.2,1
13.75,1.15,2.9,1
12.93,1.03,3.52,1
13.74,0.92,3.2,1
14.38,1.2,3,1
13.58,1.09,2.88,1
13.28,1.09,2.78,1
13.9,0.91,3.33,1
13.56,0.95,3.38,1
14.23,1.04,3.92,1
13.76,1.25,3,1
13.3,1.02,2.77,1
13.07,1.18,2.69,1
13.68,1.23,2.87,1
13.73,1.19,2.71,1
14.37,0.86,3.45,1
14.06,1.09,3.71,1
13.77,1.13,2.93,1
14.19,1.23,2.82,1
13.64,0.96,3.36,1
13.71,1.11,4,1
14.39,1.02,3.58,1
13.05,1.12,2.91,1
14.2,1.05,2.85,1
13.41,0.91,3,1
14.06,1.06,3.58,1
14.1,1.07,2.75,1
14.21,0.87,3.33,1
13.51,1.1,2.87,1
14.12,1.17,2.82,1
13.86,1.01,3.55,1
13.24,1.04,2.93,1
13.56,0.98,3.03,1
13.5,1.12,3.82,1
13.16,1.03,3.17,1
14.83,1.08,2.85,1
13.05,1.12,2.51,1
14.22,0.89,3.53,1
14.1,1.25,3.17,1
13.63,1.28,2.88,1
13.05,0.88,3.35,1
12.37,0.89,2.78,2
12.69,0.96,2.06,2
11.65,1.36,3.21,2
11.96,0.99,3.13,2
12,1.38,3.12,2
12.37,1.12,3.48,2
12.64,0.98,1.59,2
12.72,0.88,2.42,2
12.67,1.23,3.16,2
13.03,1.19,2.48,2
11.46,0.75,2.81,2
12.72,1.16,3.14,2
12.29,1.15,3.3,2
12.08,1.08,2.27,2
11.87,0.75,3.64,2
13.05,0.73,3.1,2
12.08,0.93,3.19,2
12.25,1,3.17,2
12.43,0.69,2.84,2
13.05,0.84,2.01,2
11.61,0.96,3.26,2
12.04,0.79,2.57,2
12.29,1.42,2.83,2
11.66,1.23,2.14,2
12.99,1.31,3.5,2
12.6,1.04,2.77,2
11.84,0.79,3.08,2
13.67,1.23,2.46,2
12.33,1.06,2.31,2
13.11,1.12,3.18,2
11.82,0.94,2.44,2
12.29,0.906,1.82,2
12.37,1.05,1.82,2
11.56,0.93,3.69,2
12.52,0.9,2.78,2
12.08,1.27,2.96,2
12.37,1.19,2.3,2
12.33,1.25,1.67,2
12.47,1.16,2.63,2
11.79,0.97,2.44,2
12.42,0.92,3.12,2
13.49,0.98,2.78,2
12.22,0.86,3.02,2
12.07,0.86,3.28,2
12.21,1.28,3.07,2
11.82,0.95,3.33,2
12.29,1.23,2.74,2
12.77,0.7,2.12,2
12.08,1.07,3.21,2
12,0.93,3.05,2
11.45,0.8,3.39,2
12,1.05,2.65,2
12.37,1.04,2.77,2
11.84,0.96,2.52,2
11.64,1,2.75,2
12.16,1.33,2.26,2
11.81,0.95,2.26,2
12.17,1.45,2.23,2
11.62,1.16,2.96,2
12.08,1.31,2.72,2
12.51,1.04,3.57,2
12.42,1.06,2.96,2
13.34,1.02,1.93,2
12.7,1.19,3.13,2
13.16,0.6,1.68,3
13.4,0.7,1.56,3
13.73,0.78,1.75,3
13.49,0.81,1.82,3
12.79,0.48,1.47,3
12.2,0.66,1.83,3
12.53,0.82,1.69,3
13.78,0.7,1.68,3
12.45,0.67,1.73,3
12.25,0.75,1.27,3
14.34,0.57,1.96,3
13.27,0.59,1.56,3
13.5,0.59,1.3,3
12.51,0.75,1.51,3
13.17,0.6,1.62,3
12.86,0.76,1.29,3
12.7,0.78,1.29,3
13.32,0.55,1.62,3
13.84,0.57,1.64,3
13.58,0.74,1.8,3
13.69,0.96,1.82,3
12.25,0.65,2,3
12.82,0.72,1.75,3
12.96,0.68,1.75,3
12.87,0.54,1.86,3
12.36,0.56,1.58,3
13.88,0.58,1.33,3
13.62,0.91,2.05,3
13.52,0.89,2.06,3
13.11,0.61,1.33,3
13.23,0.56,1.51,3
14.13,0.61,1.6,3
13.48,0.57,1.78,3
12.93,0.77,2.31,3
12.85,0.87,2.11,3
13.36,0.7,2.47,3
12.84,0.89,2.15,3
14.16,0.62,1.71,3
12.6,0.73,1.58,3
13.71,0.64,1.74,3
12.81,0.66,1.36,3
13.17,0.6,1.48,3
12.88,0.74,1.42,3
