@relation wine

@attribute Proanthocyanins numeric
@attribute ColorIntensity numeric
@attribute OD280/OD315 numeric
@attribute Class {1,2,3}

@data
1.7,5.43,3.56,1
2.03,5.04,3.35,1
1.98,5.2,2.85,1
2.04,6.8,2.87,1
1.87,7.05,3.26,1
2.91,7.2,2.91,1
1.86,5.1,3.47,1
1.82,4.32,2.93,1
1.97,6.75,2.85,1
1.76,4.5,3.4,1
2.38,5.7,2.71,1
2.29,5.64,3.92,1
1.48,4.28,3,1
2.96,7.5,3,1
1.97,3.84,2.87,1
1.81,5.6,2.9,1
1.85,7.22,3.55,1
2.03,6.38,3.31,1
1.98,5.25,3.58,1
1.62,5.85,3.2,1
2.45,6.25,3.03,1
1.35,5.4,3,1
1.25,5.05,3.58,1
2.38,6.2,2.75,1
1.69,3.8,4,1
1.66,4.36,3,1
1.57,5,2.82,1
1.37,3.7,2.69,1
2.1,5.65,3.71,1
2.34,6.13,3.38,1
2.29,5.6,3.37,1
1.66,6,2.84,1
2.08,8.9,3.1,1
1.92,3.58,3.2,1
2.81,5.4,2.73,1
1.28,4.38,3.4,1
1.98,4.5,3.52,1
1.68,6.3,2.93,1
2.38,5.75,3.17,1
2.08,5.1,3.53,1
2.19,4.9,3.44,1
1.98,4.7,3.59,1
1.54,4.2,2.87,1
1.66,5.1,3.36,1
1.25,5.24,3.33,1
1.86,8.7,2.82,1
1.97,6.2,2.65,1
1.35,3.95,2.77,1
1.36,4.6,2.78,1
1.66,3.52,3.82,1
1.44,4.25,2.51,1
1.46,3.93,3.63,1
1.95,6.9,2.88,1
1.76,3,2.44,2
1.83,3.25,3.39,2
1.15,3.8,2.14,2
0.41,3.27,1.67,2
1.96,3.35,3.5,2
1.38,1.74,3.21,2
3.58,2.9,2.81,2
1.77,3.94,2.84,2
1.46,3.05,1.82,2
1.62,4.8,2.01,2
1.04,2.9,3.19,2
1.35,2.76,3.28,2
0.42,3.17,1.93,2
2.91,2.8,3.64,2
1.35,2.8,2.75,2
1.56,2.45,2.26,2
1.35,3.25,2.96,2
2.08,2.7,3.02,2
0.62,5.75,1.59,2
1.05,3.8,2.5,2
1.99,2.15,3.3,2
1.53,1.95,3.33,2
1.35,2.6,2.57,2
1.65,3.21,3.13,2
1.42,2.06,2.44,2
2.01,2.6,3.1,2
1.9,2.12,2.78,2
1.46,4.6,2.48,2
1.44,3.08,2.31,2
1.22,2,2.78,2
1.34,2.6,3.21,2
1.03,2.95,2.23,2
2.5,2.85,3.07,2
1.87,4.45,2.87,2
3.28,2.6,2.63,2
2.28,5.3,3.18,2
1.43,2.5,3.12,2
1.04,4.68,3.48,2
1.87,3.38,3.16,2
1.4,3.3,2.96,2
0.95,2.65,2.52,2
1.46,2.62,3.16,2
1.64,2.4,2.27,2
2.35,3.05,3.08,2
1.48,2.94,3.57,2
2.08,4.6,2.3,2
2.76,3.4,2.31,2
1.77,2.9,2.74,2
1.95,4.5,2.77,2
1.62,3.05,2.06,2
1.63,3.3,2.42,2
1.56,2.5,2.26,2
1.4,2.2,2.72,2
1.03,3.74,2.78,2
2.01,1.9,2.87,2
1.42,2.7,3.3,2
0.73,3.8,2.46,2
0.42,1.95,1.82,2
1.35,2.45,2.77,2
1.63,3.4,3.17,2
0.83,3.4,2.12,2
1.31,2.8,3.38,2
2.49,2.65,3.26,2
1.61,2.06,2.96,2
1.35,9.2,1.6,3
0.94,5.28,1.75,3
0.84,5,1.29,3
2.29,11.75,1.78,3
0.94,7.1,1.58,3
0.64,5.6,2.47,3
1.15,6.62,1.75,3
1.4,7.6,1.55,3
1.46,9.3,1.62,3
0.68,4.9,1.33,3
1.25,5.45,1.51,3
2.7,13,1.96,3
1.54,8.66,1.8,3
0.83,5.4,1.42,3
0.55,4.35,2.06,3
1.26,10.8,1.47,3
0.94,4.1,1.29,3
0.86,7.65,1.86,3
0.96,5.58,2.11,3
0.81,4.92,2.15,3
0.88,5.7,1.82,3
1.56,9.01,1.64,3
1.25,8.42,1.62,3
0.8,5.88,1.82,3
0.73,5.5,1.83,3
0.75,4.6,2.31,3
1.03,9.58,1.68,3
1.14,8.21,2,3
0.64,9.899999,1.63,3
1.25,8.6,1.3,3
1.35,10.2,1.56,3
1.41,7.3,1.56,3
1.14,7.5,1.73,3
0.97,10.26,1.75,3
1.04,7.65,1.58,3
1.11,8.5,1.92,3
1.87,10.52,1.51,3
1.02,4.4,2.05,3
1.46,10.68,1.56,3
1.14,9.4,1.33,3
0.83,5.7,1.36,3
1.3,4,1.68,3
1.1,5,1.69,3
