@relation wine

@attribute NonflavanoidsPhenols numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
0.32,1680,1
0.2,1120,1
0.17,845,1
0.29,1095,1
0.29,1105,1
0.26,970,1
0.29,1045,1
0.28,845,1
0.31,1295,1
0.2,760,1
0.34,795,1
0.28,1065,1
0.34,1450,1
0.22,1265,1
0.25,770,1
0.26,920,1
0.47,830,1
0.3,1185,1
0.42,990,1
0.32,1060,1
0.24,1480,1
0.3,1310,1
0.5,1235,1
0.21,1060,1
0.22,1045,1
0.39,735,1
0.26,1035,1
0.28,885,1
0.24,780,1
0.33,1280,1
0.27,1035,1
0.22,1510,1
0.34,880,1
0.34,1195,1
0.32,1260,1
0.32,1190,1
0.39,1375,1
0.22,1515,1
0.26,1015,1
0.27,1285,1
0.26,1280,1
0.21,985,1
0.4,1130,1
0.29,1285,1
0.26,1050,1
0.29,1320,1
0.17,1150,1
0.3,1290,1
0.29,1547,1
0.27,1065,1
0.27,1035,1
0.28,1020,1
0.3,1080,1
0.43,495,2
0.37,870,2
0.37,564,2
0.3,450,2
0.37,415,2
0.42,625,2
0.25,290,2
0.58,466,2
0.37,378,2
0.3,380,2
0.29,428,2
0.17,345,2
0.47,465,2
0.43,365,2
0.21,380,2
0.48,488,2
0.43,385,2
0.39,312,2
0.3,495,2
0.26,714,2
0.32,937,2
0.14,625,2
0.29,562,2
0.5,450,2
0.43,500,2
0.45,355,2
0.14,718,2
0.58,495,2
0.22,520,2
0.37,510,2
0.26,502,2
0.34,345,2
0.32,625,2
0.24,562,2
0.27,510,2
0.34,428,2
0.43,463,2
0.26,325,2
0.21,985,2
0.52,480,2
0.13,886,2
0.24,392,2
0.53,450,2
0.29,680,2
0.27,472,2
0.55,750,2
0.45,406,2
0.61,515,2
0.32,672,2
0.4,562,2
0.63,680,2
0.42,580,2
0.48,680,2
0.43,372,2
0.26,710,2
0.4,630,2
0.24,660,2
0.37,678,2
0.4,342,2
0.3,278,2
0.35,750,2
0.32,630,2
0.39,352,2
0.28,520,2
0.53,660,3
0.48,480,3
0.53,840,3
0.61,725,3
0.45,650,3
0.44,660,3
0.27,560,3
0.52,740,3
0.37,780,3
0.63,695,3
0.4,685,3
0.6,570,3
0.39,750,3
0.24,480,3
0.17,600,3
0.52,520,3
0.63,515,3
0.5,520,3
0.41,615,3
0.53,720,3
0.5,680,3
0.47,550,3
0.24,530,3
0.47,625,3
0.29,855,3
0.43,830,3
0.5,520,3
0.43,835,3
0.26,425,3
0.53,590,3
0.4,510,3
0.21,630,3
0.56,560,3
0.4,675,3
0.22,500,3
0.52,620,3
0.58,580,3
0.53,600,3
0.61,675,3
0.63,880,3
0.4,415,3
0.6,650,3
0.43,750,3
