@relation wine

@attribute MalicAcid numeric
@attribute AlcalinityOfAsh numeric
@attribute Class {1,2,3}

@data
2.15,17.6,1
1.68,16,1
1.9,19.4,1
1.95,16.8,1
1.81,20,1
1.5,15.5,1
3.8,18.6,1
1.72,17,1
3.84,18.8,1
1.65,18,1
1.89,15,1
1.81,17.2,1
1.59,16.5,1
3.59,16,1
3.99,13.2,1
1.53,19.5,1
2.36,18.6,1
1.92,20,1
1.78,11.2,1
1.97,16.8,1
1.81,20.5,1
1.73,17.4,1
3.98,17.5,1
1.77,16.1,1
1.73,12.4,1
1.87,12,1
1.6,17.8,1
1.35,16,1
1.65,17.2,1
1.83,17.2,1
1.87,14.6,1
4.04,18.9,1
2.16,18,1
1.64,14,1
1.77,17,1
1.73,11.4,1
1.7,16.3,1
1.71,15.6,1
1.75,14,1
1.63,16,1
1.76,15.2,1
1.73,20.5,1
1.73,16,1
1.57,20,1
1.5,22.5,1
1.66,19.1,1
1.86,16.6,1
1.71,16.2,1
1.67,16.4,1
1.48,16.8,1
1.64,15.5,1
1.43,16.7,1
3.1,15.2,1
1.83,18.5,2
1.99,18,2
1.09,21,2
3.74,19.5,2
1.45,19,2
1.01,15,2
2.55,22,2
1.1,16,2
3.17,18,2
1.51,22,2
1.52,19,2
2.16,21,2
1.61,20.4,2
1.75,22.5,2
1.51,21.5,2
0.98,18,2
1.88,16,2
1.34,18.5,2
3.43,16,2
1.36,16.8,2
2.06,21.6,2
3.43,19,2
2.83,18,2
1.67,30,2
1.51,25,2
1.81,18.8,2
1.53,20.7,2
1.13,24,2
0.99,14.8,2
2.13,28.5,2
1.35,20,2
1.53,21.5,2
1.63,24.5,2
0.94,10.6,2
1.29,19,2
1.66,24,2
0.92,19,2
1.72,19.5,2
1.39,22.5,2
1.47,20.8,2
2.89,18,2
4.43,26.5,2
2.05,28.5,2
1.73,20.5,2
0.9,16,2
1.33,23.6,2
1.19,16.8,2
1.41,16,2
1.07,18.5,2
2.68,20,2
0.89,18,2
1.73,19,2
1.13,19,2
3.87,23,2
2.45,21,2
1.17,19.6,2
0.74,21,2
3.86,22.5,2
0.94,17,2
2.08,17.5,2
4.3,22,2
1.67,26,2
1.61,22.8,2
1.25,18,2
3.9,21.5,3
5.65,20.5,3
5.19,22,3
2.58,24.5,3
4.36,22.5,3
4.6,25,3
3.24,21.5,3
2.59,20,3
4.12,19.5,3
5.04,20,3
2.56,20,3
3.03,27,3
1.67,22.5,3
3.55,21.5,3
1.9,25.5,3
5.51,25,3
4.28,20,3
4.95,20,3
2.39,19.5,3
4.1,24.5,3
2.31,24,3
3.45,18.5,3
3.17,23.5,3
3.59,19.5,3
2.76,22,3
4.72,21,3
3.27,22,3
1.29,20,3
2.67,22,3
2.51,20,3
3.3,18.5,3
3.03,19,3
3.83,21,3
3.26,20,3
3.91,23,3
3.88,18.5,3
4.61,21.5,3
3.7,23,3
1.68,25,3
3.12,24,3
3.57,21,3
3.37,19.5,3
1.35,18,3
