@relation wine

@attribute MalicAcid numeric
@attribute OD280/OD315 numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
1.65,3.37,1265,1
4.04,3.33,1080,1
1.77,3.22,1195,1
3.84,3,1035,1
1.5,2.69,1020,1
1.81,2.88,1310,1
3.98,3,680,1
2.05,3.2,830,1
3.99,3.53,760,1
1.78,3.4,1050,1
1.65,2.51,1105,1
1.9,3.4,915,1
1.73,2.91,1150,1
1.71,3.92,1065,1
1.92,2.65,1280,1
1.64,2.78,880,1
1.43,2.87,1285,1
1.35,3.55,1045,1
1.53,3,1235,1
1.75,3.26,1190,1
2.36,3.17,1185,1
3.8,3.52,770,1
1.7,3.31,970,1
1.8,2.87,1095,1
1.64,2.85,1045,1
1.81,3.47,920,1
1.97,2.84,1270,1
2.02,2.75,1060,1
1.89,3.56,1095,1
1.77,3.35,885,1
2.15,3.58,1295,1
1.73,3.03,1120,1
1.63,3.71,780,1
1.73,3.1,1260,1
1.57,2.57,1130,1
1.73,2.73,1150,1
1.59,2.82,1680,1
1.67,3.2,1060,1
1.83,2.87,990,1
1.71,3.38,795,1
1.5,2.71,1285,1
2.59,2.93,735,1
1.6,3.63,1015,1
3.59,3.44,1065,1
1.86,4,1035,1
1.68,3.59,1035,1
1.48,2.82,1280,1
1.95,3.45,1480,1
1.68,3.33,985,1
1.9,2.93,1375,1
3.1,3.36,845,1
1.81,3.82,845,1
1.73,2.9,1320,1
2.06,2.75,680,2
1.81,3.14,714,2
2.45,3.38,438,2
1.52,2.63,937,2
1.88,2.14,428,2
1.29,3.02,312,2
1.51,2.87,407,2
1.73,3.57,672,2
2.08,2.96,710,2
2.43,2.78,325,2
1.19,3.07,718,2
2.16,3.28,378,2
3.87,3.13,463,2
1.36,1.59,450,2
0.99,2.31,750,2
2.12,2.26,625,2
0.94,1.82,520,2
2.55,3.3,315,2
1.73,3.17,510,2
0.92,3.12,278,2
0.74,2.31,434,2
1.66,2.78,472,2
1.51,3.16,410,2
1.61,2.96,345,2
2.68,2.5,607,2
2.89,2.52,500,2
1.75,2.42,488,2
1.61,2.26,495,2
1.33,3.21,625,2
1.67,3.5,985,2
4.43,3.12,365,2
1.41,2.74,428,2
3.17,2.83,406,2
1.17,3.48,510,2
1.35,3.26,680,2
1.47,3.33,495,2
1.13,2.87,420,2
1.21,2.3,678,2
2.83,3.3,290,2
1.53,2.06,495,2
3.43,3.05,564,2
1.07,2.77,660,2
1.67,3.21,562,2
1.13,2.72,630,2
1.25,2.46,630,2
3.74,2.81,562,2
1.01,3.18,502,2
1.45,2.23,355,2
1.72,2.44,415,2
1.39,3.19,385,2
1.51,2.65,450,2
2.05,3.69,465,2
1.1,1.67,680,2
3.86,2.01,515,2
5.8,3.1,380,2
2.13,2.44,466,2
4.31,3.64,380,2
2.4,3.39,625,2
1.61,1.82,870,2
0.98,3.16,450,2
1.34,2.77,562,2
0.9,2.48,392,2
0.89,3.08,520,2
1.99,2.96,345,2
5.51,1.69,515,3
3.03,1.73,880,3
1.68,1.96,660,3
2.31,1.36,560,3
3.7,1.56,695,3
1.29,1.55,640,3
2.56,2.47,780,3
3.26,1.82,680,3
3.37,1.75,685,3
1.24,1.51,650,3
5.65,1.74,740,3
4.36,1.75,520,3
3.83,1.58,520,3
1.67,1.78,620,3
4.72,1.27,720,3
2.99,1.42,530,3
2.76,1.68,615,3
3.03,1.83,510,3
3.24,1.62,650,3
1.35,1.29,630,3
3.3,1.51,675,3
4.61,1.86,625,3
3.27,2.11,570,3
4.6,1.92,630,3
2.51,1.71,660,3
3.45,1.75,675,3
3.59,1.82,580,3
2.96,2.15,590,3
5.04,1.33,415,3
1.9,1.33,425,3
4.12,1.64,480,3
5.19,1.48,725,3
3.55,1.29,600,3
3.9,1.33,550,3
3.91,1.56,750,3
2.59,1.62,840,3
2.39,1.63,470,3
3.57,1.68,830,3
2.46,1.58,695,3
3.17,2.06,520,3
2.67,1.47,480,3
3.88,2,855,3
2.81,2.31,600,3
