@relation wine

@attribute NonflavanoidsPhenols numeric
@attribute Proanthocyanins numeric
@attribute ColorIntensity numeric
@attribute Class {1,2,3}

@data
0.21,1.62,5.85,1
0.28,1.66,3.52,1
0.31,1.66,6,1
0.32,1.66,4.36,1
0.3,1.25,5.24,1
0.2,2.08,5.1,1
0.27,1.35,3.95,1
0.31,1.25,5.05,1
0.2,2.45,6.25,1
0.26,1.57,5,1
0.3,1.46,7.3,1
0.27,1.48,4.28,1
0.28,1.37,3.7,1
0.39,1.68,6.3,1
0.42,1.97,3.84,1
0.39,1.82,4.32,1
0.4,1.72,6.6,1
0.24,2.18,7.8,1
0.37,1.76,4.5,1
0.29,1.44,4.25,1
0.29,1.98,5.2,1
0.28,2.29,5.64,1
0.22,2.29,5.6,1
0.26,1.28,4.38,1
0.32,1.86,8.7,1
0.21,2.14,6.1,1
0.27,2.19,4.9,1
0.26,2.03,6.38,1
0.34,1.97,6.75,1
0.33,1.97,6.2,1
0.19,2.04,6.8,1
0.3,2.81,5.68,1
0.32,2.38,6.2,1
0.27,1.69,3.8,1
0.47,1.92,3.58,1
0.29,1.54,4.2,1
0.26,1.98,4.7,1
0.34,1.45,4.8,1
0.25,1.98,4.5,1
0.32,2.08,8.9,1
0.26,1.46,3.93,1
0.22,1.85,7.22,1
0.22,1.95,6.9,1
0.32,1.87,7.05,1
0.29,2.96,7.5,1
0.22,2.38,5.75,1
0.17,2.91,7.2,1
0.3,1.98,5.25,1
0.17,1.7,5.43,1
0.34,2.34,6.13,1
0.43,2.81,5.4,1
0.28,2.03,5.04,1
0.29,2.38,5.7,1
0.32,1.48,2.94,2
0.6,1.05,3.8,2
0.29,1.35,2.45,2
0.34,1.15,3.8,2
0.26,1.4,3.3,2
0.13,1.65,3.21,2
0.21,1.87,3.38,2
0.43,1.04,2.9,2
0.29,1.77,2.9,2
0.24,1.95,4.5,2
0.48,1.63,3.3,2
0.26,1.22,2,2
0.43,1.56,2.45,2
0.5,1.63,3.6,2
0.26,2.28,5.3,2
0.3,1.53,1.95,2
0.21,1.96,3.35,2
0.43,0.83,3.4,2
0.35,2.76,3.4,2
0.27,1.03,3.74,2
0.45,2.81,2.3,2
0.37,2.08,4.6,2
0.66,1.42,2.7,2
0.42,1.35,2.6,2
0.34,1.61,2.06,2
0.37,1.87,1.28,2
0.34,1.31,2.8,2
0.26,1.77,3.9,2
0.61,1.62,4.8,2
0.42,1.38,1.74,2
0.3,1.43,2.5,2
0.32,0.73,3.8,2
0.37,1.35,2.76,2
0.37,1.46,3.05,2
0.4,1.34,2.6,2
0.24,3.58,2.9,2
0.37,1.63,3.4,2
0.29,2.49,2.65,2
0.53,0.62,5.75,2
0.3,2.01,2.6,2
0.55,0.42,3.17,2
0.21,2.91,2.8,2
0.43,1.71,2.08,2
0.42,1.44,3.08,2
0.28,0.42,1.95,2
0.27,1.04,4.68,2
0.14,2.5,2.85,2
0.39,1.77,3.94,2
0.19,1.87,4.45,2
0.14,1.56,2.5,2
0.52,2.01,1.9,2
0.43,1.95,2.57,2
0.4,1.9,2.12,2
0.52,1.64,2.4,2
0.58,1.62,3.05,2
0.25,1.99,2.15,2
0.58,1.76,3,2
0.37,1.42,2.06,2
0.17,1.35,3.25,2
0.47,1.87,6,2
0.32,3.28,2.6,2
0.32,1.83,3.25,2
0.48,1.35,2.8,2
0.39,2.08,2.7,2
0.52,2.29,11.75,3
0.17,0.84,5,3
0.43,1.46,10.68,3
0.52,1.06,7.7,3
0.61,1.55,7.9,3
0.53,1.46,9.3,3
0.48,0.64,9.899999,3
0.45,1.25,8.42,3
0.34,1.14,9.4,3
0.6,1.25,5.45,3
0.4,0.73,5.5,3
0.27,0.83,5.7,3
0.63,1.14,7.5,3
0.43,1.3,4,3
0.47,1.02,4.4,3
0.63,0.94,7.1,3
0.24,0.83,5.4,3
0.4,0.68,4.9,3
0.58,0.88,5.7,3
0.48,1.56,9.01,3
0.5,0.8,5.88,3
0.53,0.8,3.85,3
0.4,0.94,5.28,3
0.24,1.26,10.8,3
0.22,1.25,8.6,3
0.26,1.56,7.1,3
0.5,1.04,7.65,3
0.52,1.15,6.62,3
0.63,1.1,5,3
0.39,1.54,8.66,3
0.4,0.97,10.26,3
0.6,0.96,5.58,3
0.56,1.35,9.2,3
0.27,1.11,8.5,3
0.43,1.35,10.2,3
0.43,1.41,7.3,3
0.44,1.24,9.7,3
0.53,0.75,4.6,3
0.53,0.81,4.92,3
0.53,1.4,7.6,3
0.5,0.55,4.35,3
0.53,2.7,13,3
0.41,1.03,9.58,3
